Input,R,G,B
0.02745098,1.94,2.65,1.77
0.058823529,2.86,4.69,1.85
0.090196078,3.55,7.16,1.97
0.121568627,4.36,9.94,2.1
0.152941176,5.18,13,2.25
0.184313725,6.1,16.31,2.44
0.215686275,7.1,19.74,2.58
0.247058824,8.16,23.29,2.77
0.278431373,9.31,27.23,2.95
0.309803922,10.54,31.46,3.17
0.341176471,11.79,35.76,3.38
0.37254902,13.15,39.8,3.61
0.403921569,14.69,44.6,3.86
0.435294118,16.23,49.8,4.14
0.466666667,17.77,55.1,4.41
0.498039216,19.45,60.08,4.7
0.529411765,21.25,66.8,5.02
0.560784314,23.08,73.1,5.36
0.592156863,25.01,79.6,5.71
0.623529412,27,86.6,6.1
0.654901961,29.14,93.8,6.49
0.68627451,31.32,101.4,6.91
0.717647059,33.62,109.3,7.37
0.749019608,36.05,117.6,7.84
0.780392157,38.57,126.9,8.4
0.811764706,40.8,136.4,8.97
0.843137255,43.7,146.7,9.64
0.874509804,46.8,158.1,10.32
0.905882353,50.4,170.1,11.18
0.937254902,54.1,183.5,12.189
0.968627451,58.6,201.4,13.48
1,63.7,226.6,18.32
