in,out1,out2,out3,gamma_corrected
-1,0,0,0,0
-0.93548,0,0,0,1.16
-0.87097,0.32,0,0,3.07
-0.80645,0.73,0,0,5.77
-0.74194,1.29,0.6,0.45,8.44
-0.67742,2.09,1.16,0.95,11.1
-0.6129,2.98,1.89,1.58,14.3
-0.54839,4.41,3.12,2.71,17.5
-0.48387,5.76,4.39,3.9,20.6
-0.41935,7.61,6.12,5.51,24.1
-0.35484,9.49,7.91,7.21,27.3
-0.29032,11.6,9.98,9.2,30.9
-0.22581,14.4,12.7,11.8,34.7
-0.16129,17.1,15.4,14.3,38.6
-0.09677,20.2,18.3,17.3,42.2
-0.03226,23,21.2,20.1,45.9
0.03226,27.2,25.2,23.9,49.8
0.09677,31.2,29.2,27.9,53.2
0.16129,35,32.9,31.3,57.5
0.22581,39.4,37.4,35.9,61.3
0.29032,44.2,42.2,40.4,65.9
0.35484,48.8,46.6,44.9,69.9
0.41935,54.2,51.8,50.5,73.1
0.48387,59,56.9,55,77.3
0.54839,64.3,61.9,60.2,81
0.6129,72,69.4,67.7,86.2
0.67742,78.3,75.4,72.6,89.4
0.74194,83.2,81.3,79.3,94
0.80645,90.1,87.6,85.4,99
0.87097,97.5,95,93.3,103
0.93548,106,104,101,106
1,113,110,108,110
