# Time : Wed Jul 17 12:20:00 2013#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# full_screen : True 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.1 
# subject : LAYJ 
# surr_contrast : 0 
# monitor : VISTA_DellP1130 
# refresh_rate : 120 
# res : 128 
# cue_dur : 0 
# temporal_freq : 4 
# center_comparison : [-0.6  -0.3  -0.2  -0.15 -0.1   0.    0.1   0.15  0.2   0.3   0.6 ] 
# center_size : 3 
# ecc : 6 
# stim_dur : 0.3 
# stim_to_stim : 0.2 
# fixation_size : 0.25 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 1 
# center_contrast : [ 0.3   0.45  0.6 ] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.2,0.3,0.25,0,2,-0.1,0.553206920624 
1,l,r,0.6,0.6,0.45,0,1,0.0,0.655942201614 
2,r,l,1.0,0,0.2,0.3,1,-0.1,2.21038508415 
3,r,l,0.9,0,0.4,0.3,2,0.1,0.740754127502 
4,l,r,0.45,0.45,0.4,0,2,0.0,0.52609205246 
5,r,l,0.35,0,0.4,0.6,2,-0.2,0.95556306839 
6,r,l,1.0,0,0.3,0.6,2,-0.3,0.993734121323 
7,l,r,0.9,0.6,0.1,0,2,0.3,0.557979106903 
8,l,r,0.1,0.3,0.75,0,2,-0.2,0.69276714325 
9,l,r,0.0,0.45,1.0,0,2,-0.6,0.526052951813 
10,l,r,0.45,0.6,0.9,0,2,-0.15,0.813390016556 
11,r,l,0.6,0,0.0,0.45,2,-0.6,0.641315937042 
12,r,l,0.45,0,0.3,0.6,2,-0.3,0.652494907379 
13,l,r,0.9,0.6,0.3,0,1,0.3,0.526193857193 
14,r,l,0.25,0,0.6,0.3,1,0.3,1.03078913689 
15,r,l,0.3,0,0.75,0.45,1,0.3,0.52619099617 
16,l,r,0.75,0.45,0.0,0,1,0.3,1.21747779846 
17,l,r,0.3,0.3,0.0,0,2,0.0,0.612589836121 
18,r,l,0.35,0,0.65,0.45,1,0.2,0.928950071335 
19,l,r,0.0,0.3,0.6,0,2,-0.3,0.591975927353 
20,l,r,0.0,0.3,0.6,0,2,-0.3,0.556992053986 
21,l,r,0.0,0.3,0.7,0,2,-0.3,0.526136159897 
22,r,l,0.3,0,0.8,0.6,1,0.2,0.539397001266 
23,l,r,0.9,0.3,0.3,0,1,0.6,0.526181936264 
24,r,l,0.6,0,0.45,0.6,1,-0.15,1.21851205826 
25,l,r,0.35,0.45,0.2,0,2,-0.1,0.709556102753 
26,l,r,0.4,0.6,0.55,0,2,-0.2,0.629750013351 
27,r,l,0.2,0,0.6,0.3,1,0.3,0.817291021347 
28,r,l,0.8,0,0.45,0.3,1,0.15,0.596951961517 
29,l,r,0.5,0.3,0.3,0,2,0.2,0.697849988937 
30,l,r,0.8,0.6,0.45,0,1,0.2,0.526138067245 
31,r,l,0.55,0,0.55,0.45,2,0.1,1.51436376572 
32,l,r,0.35,0.45,0.0,0,1,-0.1,1.03340005875 
33,r,l,0.25,0,0.8,0.6,1,0.2,0.588392019272 
34,r,l,0.1,0,0.35,0.45,2,-0.1,0.593717098236 
35,l,r,0.65,0.45,0.6,0,1,0.2,0.582641124725 
36,l,r,0.2,0.3,0.0,0,1,-0.1,0.780305147171 
37,r,l,0.9,0,0.65,0.45,2,0.2,0.897629976273 
38,l,r,0.75,0.6,0.3,0,1,0.15,0.578150033951 
39,r,l,0.3,0,0.0,0.3,2,-0.6,0.543838977814 
