# Time : Wed Jul 17 12:26:42 2013#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# full_screen : True 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.1 
# subject : LAYJ 
# surr_contrast : 1 
# monitor : VISTA_DellP1130 
# refresh_rate : 120 
# res : 128 
# cue_dur : 0 
# temporal_freq : 4 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# center_size : 3 
# ecc : 6 
# stim_dur : 0.3 
# stim_to_stim : 0.2 
# fixation_size : 0.25 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 1 
# center_contrast : [ 0.3   0.45  0.6 ] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,1.0,0.6,0.7,0,1,0.4,4.80774402618 
1,l,r,0.4,0.3,0.9,0,2,0.1,1.15833616257 
2,l,r,0.85,0.6,0.9,0,2,0.25,1.11617898941 
3,r,l,0.3,0,0.6,0.6,2,0.0,0.771660089493 
4,l,r,0.6,0.6,0.9,0,2,0.0,0.849366188049 
5,r,l,0.8,0,0.2,0.3,2,-0.1,0.844178915024 
6,r,l,0.9,0,0.95,0.6,2,0.35,0.566557884216 
7,l,r,0.7,0.45,0.01,0,1,0.25,0.636964082718 
8,l,r,0.01,0.3,0.16,0,2,-0.29,0.526129961014 
9,r,l,0.5,0,0.6,0.3,2,0.3,0.799924135208 
10,l,r,0.95,0.6,0.16,0,2,0.35,0.532539129257 
11,l,r,0.4,0.6,0.6,0,2,-0.2,0.564342021942 
12,r,l,1.0,0,0.55,0.3,2,0.25,0.890640974045 
13,l,r,0.7,0.3,0.45,0,2,0.4,0.699521064758 
14,r,l,1.0,0,0.55,0.45,2,0.1,1.17228007317 
15,l,r,0.5,0.6,0.7,0,2,-0.1,0.617488861084 
16,r,l,0.25,0,0.7,0.3,1,0.4,0.669486999512 
17,l,r,0.6,0.3,0.95,0,1,0.3,0.623296976089 
18,l,r,0.7,0.45,0.3,0,2,0.25,0.699129104614 
19,r,l,0.8,0,0.95,0.6,2,0.35,0.684038877487 
20,l,r,0.1,0.3,0.5,0,2,-0.2,0.685188055038 
21,l,r,0.8,0.45,0.8,0,2,0.35,0.806344985962 
22,l,r,0.8,0.45,0.55,0,1,0.35,1.04269695282 
23,l,r,1.0,0.6,0.9,0,1,0.4,0.526177883148 
24,l,r,0.2,0.3,0.1,0,2,-0.1,0.676627874374 
25,r,l,0.65,0,0.4,0.3,1,0.1,2.15816020966 
26,r,l,0.9,0,1.0,0.6,1,0.6,0.526109933853 
27,r,l,0.1,0,0.01,0.3,2,-0.29,0.526059150696 
28,r,l,0.65,0,0.5,0.3,2,0.2,1.25008916855 
29,l,r,1.0,0.6,0.5,0,1,0.6,0.868147850037 
30,l,r,0.5,0.6,0.1,0,2,-0.1,1.70962285995 
31,r,l,0.3,0,0.65,0.3,1,0.35,1.71672296524 
32,r,l,0.9,0,0.8,0.45,1,0.35,0.891431093216 
33,r,l,0.01,0,0.3,0.3,2,0.0,1.38028001785 
34,l,r,0.7,0.6,0.31,0,2,0.1,0.688746929169 
35,l,r,0.55,0.45,0.25,0,2,0.1,0.625962018967 
36,r,l,0.85,0,0.7,0.45,1,0.25,1.21353721619 
37,l,r,0.7,0.45,0.65,0,2,0.25,0.824949026108 
38,l,r,0.45,0.45,0.35,0,2,0.0,0.63657283783 
39,r,l,0.7,0,0.6,0.3,1,0.3,0.839823007584 
40,r,l,0.95,0,0.1,0.3,2,-0.2,0.962788105011 
41,r,l,0.6,0,0.65,0.3,2,0.35,0.728466033936 
42,l,r,0.5,0.3,0.95,0,1,0.2,0.671988964081 
43,r,l,0.4,0,1.0,0.6,1,0.4,0.625828027725 
44,r,l,0.85,0,0.9,0.6,1,0.3,0.653375864029 
45,l,r,0.4,0.3,0.95,0,2,0.1,0.671879053116 
46,r,l,0.01,0,0.4,0.3,2,0.1,0.71377491951 
47,r,l,0.85,0,0.9,0.3,1,0.6,0.657880067825 
48,l,r,0.4,0.6,0.7,0,2,-0.2,0.876467943192 
49,r,l,0.1,0,0.65,0.3,1,0.35,0.725672960281 
50,l,r,0.8,0.45,1.0,0,2,0.35,0.949103116989 
51,r,l,0.16,0,0.85,0.6,1,0.25,0.833419799805 
52,r,l,0.7,0,0.9,0.6,1,0.3,0.812700986862 
