# Time : Thu Feb 09 12:38:00 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# full_screen : True 
# break_trials : 50 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : HS_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# n_trials : 250 
# res : 128 
# cue_dur : 0.5 
# center_size : 3 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# refresh_rate : 60 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0564C508> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0564C788> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# rgb : [ 1.  1.  1.] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.01,0.3,0.4,0,2,-0.29,0.837492912354 
1,l,l,0.9,0,0.9,0.3,1,0.6,0.837561175613 
2,r,r,0.1,0.3,0.55,0,2,-0.2,0.837715194591 
3,l,l,0.55,0,0.3,0.3,2,0.0,0.836964725388 
4,l,l,0.01,0,0.6,0.3,1,0.3,0.910125019892 
5,l,l,0.3,0,0.01,0.3,2,-0.29,0.83596040219 
6,r,r,0.9,0.3,0.2,0,1,0.6,0.836071756631 
7,l,r,0.4,0.3,0.01,0,2,0.1,0.83708887919 
8,r,l,0.2,0,0.1,0.3,2,-0.2,0.836282946089 
9,r,r,0.9,0.3,0.3,0,1,0.6,0.836329450434 
10,l,r,0.3,0.3,0.65,0,2,0.0,0.932224823337 
11,r,r,0.4,0.3,0.5,0,2,0.1,0.836980511266 
12,l,r,0.6,0.3,0.1,0,2,0.3,0.837140929925 
13,r,r,0.01,0.3,0.3,0,2,-0.29,0.836303425066 
14,r,r,0.4,0.3,0.2,0,2,0.1,0.836439524939 
15,r,r,0.2,0.3,0.3,0,2,-0.1,0.836529973757 
16,l,r,0.01,0.3,0.3,0,2,-0.29,0.857227393875 
17,l,l,0.5,0,0.3,0.3,2,0.0,0.836508214843 
18,r,l,0.9,0,0.3,0.3,2,0.0,0.837479259702 
19,r,l,0.7,0,0.7,0.3,1,0.4,0.876958035588 
20,r,r,0.4,0.3,0.5,0,2,0.1,0.836231748644 
21,l,r,0.3,0.3,0.3,0,2,0.0,0.888649398622 
22,r,l,0.65,0,0.65,0.3,1,0.35,0.909373697398 
23,r,l,0.65,0,0.01,0.3,2,-0.29,0.836580744556 
24,l,r,0.5,0.3,0.5,0,2,0.2,0.836589277463 
25,l,l,0.6,0,0.65,0.3,1,0.35,0.836717271074 
26,l,r,0.65,0.3,0.55,0,2,0.35,0.837746766348 
27,l,r,0.2,0.3,0.2,0,2,-0.1,0.836945099701 
28,l,l,0.55,0,0.1,0.3,2,-0.2,0.836930167113 
29,l,l,0.5,0,0.3,0.3,2,0.0,0.837069680148 
30,r,r,0.2,0.3,0.9,0,2,-0.1,0.837183594462 
31,l,l,0.7,0,0.6,0.3,1,0.3,0.911000922834 
32,r,r,0.55,0.3,0.1,0,2,0.25,0.837161835548 
