# Time : Thu Feb 09 12:23:45 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# full_screen : True 
# break_trials : 50 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : HS_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# n_trials : 250 
# res : 128 
# cue_dur : 0.5 
# center_size : 3 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# refresh_rate : 60 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05BD3508> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05BD3B70> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# rgb : [ 1.  1.  1.] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,r,0.6,0.3,0.4,0,1,0.3,0.837233938615 
1,l,l,0.7,0,0.2,0.3,1,-0.1,1.53897170787 
2,r,l,0.1,0,0.3,0.3,2,0.0,0.83598898743 
3,r,r,0.65,0.3,0.65,0,1,0.35,0.836954485899 
4,l,r,0.01,0.3,0.2,0,2,-0.29,0.83641819267 
5,l,l,0.55,0,0.4,0.3,2,0.1,1.15233842193 
6,l,l,0.2,0,0.65,0.3,1,0.35,0.890138390958 
7,r,r,0.7,0.3,0.6,0,1,0.4,0.836891342384 
8,r,l,0.5,0,0.55,0.3,1,0.25,0.988791172878 
9,r,l,0.4,0,0.6,0.3,1,0.3,1.00567523669 
10,r,r,0.5,0.3,0.55,0,1,0.2,1.72560900427 
11,l,r,0.7,0.3,0.4,0,1,0.4,1.74229723786 
12,l,l,0.4,0,0.65,0.3,1,0.35,1.71105997055 
13,l,l,0.9,0,0.5,0.3,1,0.2,1.39383847292 
14,r,r,0.1,0.3,0.3,0,2,-0.2,0.836039758229 
15,l,l,0.7,0,0.6,0.3,2,0.3,1.47958992554 
16,r,r,0.01,0.3,0.2,0,2,-0.29,0.836820092608 
17,r,r,0.2,0.3,0.1,0,2,-0.1,0.836922487496 
18,r,r,0.5,0.3,0.01,0,1,0.2,1.15310510366 
19,r,l,0.1,0,0.3,0.3,2,0.0,1.25891486164 
20,r,r,0.1,0.3,0.6,0,2,-0.2,1.49571669382 
21,r,r,0.9,0.3,0.3,0,1,0.6,0.837698555421 
22,l,l,0.3,0,0.65,0.3,1,0.35,0.850405761078 
23,l,l,0.4,0,0.5,0.3,2,0.2,1.00922663274 
24,r,r,0.9,0.3,0.9,0,1,0.6,0.836402833437 
25,l,l,0.4,0,0.6,0.3,2,0.3,1.15985122023 
26,r,r,0.55,0.3,0.5,0,1,0.25,0.836969845132 
27,r,r,0.4,0.3,0.65,0,1,0.1,1.51959006206 
28,l,l,0.1,0,0.6,0.3,1,0.3,0.836918221042 
29,l,l,0.6,0,0.6,0.3,1,0.3,0.837012936314 
30,r,r,0.2,0.3,0.01,0,2,-0.1,0.836287212542 
