# Time : Thu Feb 09 10:35:57 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# full_screen : True 
# break_trials : 50 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : HS_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# n_trials : 250 
# res : 128 
# cue_dur : 0.5 
# center_size : 3 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# refresh_rate : 60 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05A52EE0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05A52F58> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# rgb : [ 1.  1.  1.] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.7,0.3,0.7,0,1,0.4,1.04633966006 
1,l,l,0.55,0,0.2,0.3,1,-0.1,1.70918443751 
2,r,r,0.9,0.3,0.7,0,1,0.6,0.836474509859 
3,r,r,0.9,0.3,0.01,0,1,0.6,0.83749973868 
4,l,r,0.4,0.3,0.4,0,1,0.1,2.06065403882 
5,l,r,0.65,0.3,0.6,0,1,0.35,1.6475213824 
6,r,r,0.3,0.3,0.01,0,2,0.0,2.22013365093 
7,l,r,0.1,0.3,0.3,0,2,-0.2,0.837245031395 
8,l,r,0.55,0.3,0.01,0,1,0.25,1.47183777919 
9,r,r,0.1,0.3,0.4,0,2,-0.2,0.837281296251 
10,r,l,0.1,0,0.4,0.3,2,0.1,2.1464869807 
11,l,r,0.5,0.3,0.7,0,1,0.2,1.83427387305 
12,l,l,0.4,0,0.3,0.3,2,0.0,1.20808902553 
13,l,l,0.9,0,0.3,0.3,1,0.0,2.0628986201 
14,l,l,0.7,0,0.55,0.3,1,0.25,0.850668147979 
15,l,r,0.2,0.3,0.7,0,2,-0.1,1.21758444485 
16,r,r,0.2,0.3,0.1,0,2,-0.1,0.836984351075 
17,r,r,0.01,0.3,0.2,0,2,-0.29,0.920216036149 
18,r,r,0.65,0.3,0.2,0,1,0.35,0.837278736379 
19,l,l,0.9,0,0.6,0.3,1,0.3,2.11389767423 
20,l,l,0.3,0,0.4,0.3,1,0.1,0.95564850736 
21,r,r,0.65,0.3,0.5,0,1,0.35,0.83740758328 
22,l,l,0.3,0,0.7,0.3,1,0.4,0.836555145834 
23,l,l,0.9,0,0.7,0.3,1,0.4,0.837519364367 
24,l,l,0.9,0,0.65,0.3,2,0.35,1.25802999914 
25,l,l,0.4,0,0.4,0.3,2,0.1,1.43882524051 
26,l,r,0.2,0.3,0.5,0,2,-0.1,1.46064559124 
27,r,r,0.01,0.3,0.5,0,2,-0.29,0.836883662768 
28,l,l,0.55,0,0.01,0.3,2,-0.29,1.15937977709 
29,l,l,0.2,0,0.9,0.3,1,0.6,0.836559412287 
30,l,l,0.65,0,0.4,0.3,2,0.1,0.92796775585 
31,l,l,0.4,0,0.6,0.3,1,0.3,0.930790014962 
32,l,l,0.9,0,0.55,0.3,1,0.25,0.934690406922 
33,r,l,0.55,0,0.7,0.3,1,0.4,0.921520717686 
34,l,r,0.65,0.3,0.9,0,2,0.35,1.49228219861 
35,l,l,0.01,0,0.6,0.3,1,0.3,0.836674606537 
36,r,r,0.2,0.3,0.7,0,2,-0.1,1.12705968385 
37,r,r,0.55,0.3,0.7,0,2,0.25,1.23379952873 
38,r,r,0.3,0.3,0.5,0,2,0.0,1.02360543495 
39,r,l,0.65,0,0.6,0.3,1,0.3,0.836862757145 
40,r,l,0.1,0,0.1,0.3,2,-0.2,1.18131873524 
41,r,r,0.1,0.3,0.01,0,2,-0.2,0.836164765322 
42,r,r,0.9,0.3,0.1,0,1,0.6,0.836327317207 
43,r,r,0.7,0.3,0.7,0,1,0.4,0.939819964187 
44,l,l,0.3,0,0.5,0.3,1,0.2,1.95065974307 
45,r,r,0.01,0.3,0.4,0,2,-0.29,0.836236015098 
46,l,l,0.3,0,0.6,0.3,1,0.3,0.836340116568 
47,l,l,0.5,0,0.7,0.3,1,0.4,0.916144986042 
48,l,l,0.65,0,0.1,0.3,2,-0.2,1.00799533421 
49,l,l,0.2,0,0.4,0.3,1,0.1,1.10380537804 
50,r,r,0.1,0.3,0.5,0,2,-0.2,0.866636630833 
51,r,r,0.3,0.3,0.01,0,2,0.0,0.835866966854 
52,l,l,0.01,0,0.3,0.3,2,0.0,0.898393125549 
