# Time : Thu Feb 09 10:50:31 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# full_screen : True 
# break_trials : 50 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : HS_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# n_trials : 250 
# res : 128 
# cue_dur : 0.5 
# center_size : 3 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# refresh_rate : 60 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05E7C8A0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05CB57B0> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# rgb : [ 1.  1.  1.] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.55,0.3,0.1,0,2,0.25,0.83766741031 
1,l,l,0.5,0,0.6,0.3,2,0.3,0.873750089062 
2,r,r,0.5,0.3,0.9,0,2,0.2,0.934622996953 
3,r,r,0.7,0.3,0.4,0,1,0.4,1.06546489199 
4,r,r,0.3,0.3,0.65,0,2,0.0,0.886260611204 
5,r,r,0.3,0.3,0.6,0,2,0.0,1.99515074874 
6,r,r,0.5,0.3,0.6,0,2,0.2,0.836779561298 
7,r,r,0.6,0.3,0.01,0,1,0.3,0.83590792481 
8,l,l,0.1,0,0.55,0.3,2,0.25,0.836959178998 
9,l,r,0.4,0.3,0.65,0,2,0.1,0.949416498462 
10,r,l,0.65,0,0.5,0.3,2,0.2,0.976354460385 
11,l,r,0.9,0.3,0.2,0,1,0.6,1.03316485108 
12,r,r,0.4,0.3,0.65,0,2,0.1,0.87998764435 
13,l,l,0.01,0,0.9,0.3,1,0.6,2.22181335374 
14,r,r,0.5,0.3,0.55,0,2,0.2,0.835974908133 
15,r,r,0.65,0.3,0.4,0,2,0.35,0.837015496186 
16,l,l,0.7,0,0.55,0.3,2,0.25,1.0952464453 
17,l,l,0.5,0,0.3,0.3,2,0.0,0.908118506724 
18,r,r,0.4,0.3,0.1,0,1,0.1,1.00797357529 
19,l,r,0.5,0.3,0.55,0,2,0.2,0.836894328902 
20,r,r,0.01,0.3,0.3,0,2,-0.29,1.35765425257 
21,r,r,0.55,0.3,0.01,0,1,0.25,0.951415758659 
22,l,l,0.65,0,0.55,0.3,2,0.25,0.96125761402 
23,r,r,0.55,0.3,0.3,0,2,0.25,0.836310678038 
24,l,r,0.7,0.3,0.3,0,2,0.4,0.836419899252 
25,l,r,0.2,0.3,0.6,0,2,-0.1,0.837416969478 
26,r,l,0.1,0,0.01,0.3,2,-0.29,0.895694166947 
27,l,l,0.7,0,0.55,0.3,2,0.25,1.44451199663 
28,l,r,0.7,0.3,0.9,0,1,0.4,1.32931348067 
