# Time : Thu Feb 16 12:16:46 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : HSn_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x059F3968> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x059F3B98> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.9,0,0.2,0.3,2,-0.1,0.875117646507 
1,r,l,0.5,0,0.6,0.3,2,0.3,0.99992405774 
2,l,r,0.4,0.3,0.01,0,2,0.1,0.836823121944 
3,r,l,0.7,0,0.1,0.3,2,-0.2,0.836990792214 
4,r,l,0.4,0,0.55,0.3,2,0.25,0.836944288246 
5,l,r,0.01,0.3,0.5,0,2,-0.29,0.837074414029 
6,l,r,0.7,0.3,0.1,0,1,0.4,0.836303045455 
7,l,r,0.5,0.3,0.7,0,2,0.2,0.836374721296 
8,r,l,0.3,0,0.01,0.3,2,-0.29,0.836496740882 
9,r,l,0.55,0,0.01,0.3,2,-0.29,0.83662345353 
10,r,l,0.2,0,0.2,0.3,2,-0.1,0.837652513817 
11,l,r,0.65,0.3,0.7,0,2,0.35,0.835854644808 
12,r,l,0.9,0,0.9,0.3,1,0.6,0.860219737649 
13,r,l,0.2,0,0.01,0.3,2,-0.29,0.837722909732 
14,l,r,0.55,0.3,0.5,0,2,0.25,0.836847440533 
