# Time : Thu Feb 16 12:11:29 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : HSn_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x055C0B98> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x055C05F8> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.7,0.3,0.01,0,1,0.4,0.8377246163 
1,l,r,0.7,0.3,0.7,0,2,0.4,0.837739548766 
2,l,r,0.6,0.3,0.9,0,1,0.3,2.94690185444 
3,r,l,0.9,0,0.3,0.3,2,0.0,0.836798803355 
4,r,l,0.3,0,0.65,0.3,1,0.35,0.836766805212 
5,l,r,0.5,0.3,0.6,0,1,0.2,0.835849098463 
6,r,l,0.01,0,0.5,0.3,1,0.2,0.853240302643 
7,l,r,0.3,0.3,0.4,0,2,0.0,0.836712621689 
8,l,r,0.5,0.3,0.6,0,2,0.2,0.83771352361 
9,l,r,0.3,0.3,0.5,0,2,0.0,0.836970740045 
10,l,r,0.55,0.3,0.4,0,1,0.25,0.836998471769 
11,r,l,0.65,0,0.1,0.3,2,-0.2,1.02232275802 
12,l,r,0.4,0.3,0.4,0,2,0.1,0.836984392586 
13,r,l,0.65,0,0.2,0.3,2,-0.1,0.837062041413 
14,r,l,0.2,0,0.4,0.3,1,0.1,1.10691816923 
15,r,l,0.5,0,0.9,0.3,1,0.6,3.63876954767 
