# Time : Thu Feb 16 11:59:52 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : HSn_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05A455F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05A45D50> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.2,0,0.6,0.3,1,0.3,0.888592277952 
1,l,r,0.9,0.3,0.55,0,1,0.6,0.836830801498 
2,r,l,0.5,0,0.2,0.3,2,-0.1,1.38822536591 
3,r,l,0.55,0,0.65,0.3,1,0.35,0.836208757593 
4,l,r,0.5,0.3,0.6,0,1,0.2,0.836332910389 
5,l,r,0.6,0.3,0.65,0,1,0.3,0.836569270007 
6,r,l,0.2,0,0.9,0.3,1,0.6,0.836538125148 
7,l,r,0.5,0.3,0.5,0,1,0.2,0.926404270515 
8,r,l,0.1,0,0.7,0.3,1,0.4,1.01726406489 
9,r,l,0.9,0,0.1,0.3,2,-0.2,1.57708523367 
10,l,r,0.7,0.3,0.7,0,1,0.4,1.17696765116 
11,r,l,0.5,0,0.65,0.3,1,0.35,1.42577582698 
12,l,r,0.1,0.3,0.3,0,2,-0.2,0.975588829832 
13,r,l,0.01,0,0.2,0.3,2,-0.1,1.02443975518 
14,l,r,0.65,0.3,0.5,0,1,0.35,0.960299263701 
15,l,r,0.6,0.3,0.1,0,1,0.3,1.55401158589 
16,l,r,0.1,0.3,0.3,0,2,-0.2,0.836168226612 
17,l,r,0.2,0.3,0.1,0,2,-0.1,0.837147369795 
18,r,l,0.5,0,0.01,0.3,2,-0.29,0.836470289084 
19,r,l,0.9,0,0.01,0.3,2,-0.29,0.83743663301 
20,l,r,0.65,0.3,0.6,0,1,0.35,0.861260317268 
21,r,l,0.2,0,0.65,0.3,1,0.35,1.23521877771 
22,r,l,0.01,0,0.55,0.3,1,0.25,0.880924669544 
23,l,r,0.1,0.3,0.2,0,2,-0.2,0.837811651249 
24,r,l,0.2,0,0.65,0.3,1,0.35,0.836028714707 
25,l,r,0.7,0.3,0.6,0,2,0.4,1.7635840651 
26,l,r,0.6,0.3,0.65,0,1,0.3,0.836919543015 
27,r,l,0.3,0,0.4,0.3,2,0.1,1.40227724386 
28,r,l,0.6,0,0.01,0.3,2,-0.29,1.1050661167 
29,l,r,0.55,0.3,0.65,0,1,0.25,1.22877648486 
30,r,l,0.7,0,0.3,0.3,2,0.0,0.836654171747 
31,l,r,0.7,0.3,0.1,0,1,0.4,0.954411178701 
32,r,l,0.01,0,0.6,0.3,1,0.3,1.18024639424 
33,l,r,0.65,0.3,0.55,0,2,0.35,1.86810365351 
34,r,l,0.9,0,0.1,0.3,2,-0.2,1.00082512545 
35,r,l,0.65,0,0.6,0.3,1,0.3,0.837186194209 
36,l,r,0.1,0.3,0.7,0,2,-0.2,0.837318026559 
37,l,r,0.9,0.3,0.3,0,1,0.6,0.83741188778 
38,r,l,0.3,0,0.2,0.3,2,-0.1,0.836672943991 
39,l,r,0.6,0.3,0.2,0,1,0.3,0.83724891057 
40,l,r,0.01,0.3,0.6,0,2,-0.29,0.858994422084 
41,l,r,0.2,0.3,0.65,0,1,-0.1,0.968770238826 
42,r,l,0.55,0,0.55,0.3,2,0.25,0.993686979657 
43,l,r,0.55,0.3,0.55,0,2,0.25,0.836853413519 
44,l,r,0.01,0.3,0.3,0,2,-0.29,0.836796243503 
45,l,r,0.4,0.3,0.01,0,2,0.1,0.836933195557 
46,l,r,0.55,0.3,0.4,0,2,0.25,1.19808855891 
47,l,r,0.4,0.3,0.01,0,1,0.1,1.26186213835 
48,r,l,0.7,0,0.4,0.3,1,0.1,1.09166614759 
49,r,l,0.9,0,0.2,0.3,2,-0.1,0.836401173095 
50,l,r,0.1,0.3,0.2,0,2,-0.2,0.837332105742 
51,r,l,0.01,0,0.3,0.3,2,0.0,0.836626440023 
52,l,r,0.55,0.3,0.5,0,2,0.25,0.972152655889 
53,l,r,0.7,0.3,0.4,0,1,0.4,0.836437011015 
54,l,r,0.4,0.3,0.4,0,2,0.1,0.836623026888 
55,r,l,0.4,0,0.5,0.3,2,0.2,1.04266760414 
56,r,l,0.3,0,0.3,0.3,2,0.0,0.836209610877 
57,l,r,0.55,0.3,0.6,0,1,0.25,1.47922595212 
58,l,r,0.7,0.3,0.9,0,2,0.4,0.836112336522 
59,r,l,0.1,0,0.9,0.3,1,0.6,0.836226676553 
60,l,r,0.5,0.3,0.01,0,2,0.2,0.840892859124 
61,r,l,0.7,0,0.5,0.3,2,0.2,0.935635094881 
62,l,r,0.5,0.3,0.1,0,1,0.2,0.836796670145 
63,l,r,0.4,0.3,0.55,0,2,0.1,0.8369071704 
64,l,r,0.2,0.3,0.65,0,2,-0.1,0.836013355598 
65,r,l,0.7,0,0.3,0.3,2,0.0,0.836096550771 
66,r,l,0.5,0,0.9,0.3,1,0.6,0.836224543344 
67,r,l,0.9,0,0.4,0.3,2,0.1,0.931698469977 
68,l,r,0.3,0.3,0.6,0,2,0.0,1.03154419626 
69,l,r,0.01,0.3,0.4,0,2,-0.29,0.836814589105 
70,r,l,0.4,0,0.01,0.3,2,-0.29,0.836788563949 
71,l,r,0.3,0.3,0.55,0,2,0.0,0.875045544024 
72,l,r,0.3,0.3,0.4,0,2,0.0,0.837115371652 
73,r,l,0.1,0,0.9,0.3,1,0.6,0.836320964416 
74,l,r,0.5,0.3,0.65,0,2,0.2,1.22175907873 
