# Time : Thu Feb 16 12:05:06 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : HSn_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05B255F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05B25D50> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.6,0,0.01,0.3,2,-0.29,0.874251136787 
1,r,l,0.1,0,0.5,0.3,2,0.2,0.836298779036 
2,r,l,0.5,0,0.7,0.3,1,0.4,0.836463036172 
3,l,r,0.01,0.3,0.65,0,2,-0.29,1.61276103019 
4,l,r,0.6,0.3,0.01,0,2,0.3,0.837836823122 
5,l,r,0.65,0.3,0.2,0,2,0.35,0.836911863461 
6,r,l,0.7,0,0.1,0.3,2,-0.2,0.992259435826 
7,l,r,0.55,0.3,0.01,0,2,0.25,1.43311321455 
8,r,l,0.9,0,0.7,0.3,1,0.4,0.990968844048 
9,l,r,0.2,0.3,0.3,0,2,-0.1,0.836645212267 
10,l,r,0.7,0.3,0.4,0,1,0.4,0.836891811291 
11,l,r,0.65,0.3,0.3,0,2,0.35,0.837768133774 
12,l,r,0.4,0.3,0.7,0,2,0.1,1.13133403246 
13,r,l,0.1,0,0.6,0.3,1,0.3,0.958276554406 
14,l,r,0.4,0.3,0.7,0,1,0.1,0.98398471598 
15,r,l,0.7,0,0.5,0.3,1,0.2,0.897849980758 
16,l,r,0.1,0.3,0.5,0,2,-0.2,0.893653530931 
17,l,r,0.4,0.3,0.65,0,2,0.1,1.17041101828 
18,l,r,0.2,0.3,0.9,0,2,-0.1,1.23532373161 
19,l,r,0.1,0.3,0.2,0,2,-0.2,0.837236537954 
20,l,r,0.6,0.3,0.5,0,2,0.3,0.837399088522 
21,l,r,0.9,0.3,0.01,0,1,0.6,0.836625586739 
22,r,l,0.2,0,0.65,0.3,1,0.35,0.965592183238 
23,l,r,0.2,0.3,0.3,0,2,-0.1,0.83756163909 
24,l,r,0.6,0.3,0.5,0,2,0.3,1.28639404817 
25,r,l,0.5,0,0.55,0.3,1,0.25,0.836848293816 
26,r,l,0.55,0,0.1,0.3,2,-0.2,0.836945568172 
27,l,r,0.4,0.3,0.4,0,2,0.1,0.8370099911 
28,l,r,0.7,0.3,0.2,0,1,0.4,0.909753716691 
29,l,r,0.7,0.3,0.1,0,1,0.4,1.08972834003 
30,l,r,0.01,0.3,0.4,0,2,-0.29,0.836937888617 
31,r,l,0.1,0,0.5,0.3,2,0.2,0.852206122653 
32,r,l,0.3,0,0.6,0.3,1,0.3,0.836811602612 
33,l,r,0.2,0.3,0.6,0,1,-0.1,1.13794271564 
34,r,l,0.65,0,0.55,0.3,2,0.25,1.66770525529 
35,l,r,0.9,0.3,0.3,0,1,0.6,0.951541158572 
36,r,l,0.6,0,0.65,0.3,2,0.35,1.48148502103 
37,l,r,0.9,0.3,0.65,0,1,0.6,0.836030421275 
38,l,r,0.2,0.3,0.3,0,2,-0.1,0.836121722643 
39,r,l,0.1,0,0.5,0.3,1,0.2,1.61894008497 
40,r,l,0.55,0,0.1,0.3,2,-0.2,0.836665264437 
41,l,r,0.9,0.3,0.5,0,1,0.6,1.60850954355 
42,r,l,0.6,0,0.65,0.3,1,0.35,0.836178039376 
43,l,r,0.55,0.3,0.4,0,2,0.25,0.837256163482 
44,l,r,0.3,0.3,0.2,0,2,0.0,0.836475835429 
45,r,l,0.9,0,0.7,0.3,1,0.4,0.83656756344 
46,l,r,0.5,0.3,0.01,0,2,0.2,0.836717741392 
47,r,l,0.7,0,0.5,0.3,2,0.2,0.896567495177 
48,r,l,0.55,0,0.01,0.3,1,-0.29,0.836028714707 
49,r,l,0.65,0,0.6,0.3,1,0.3,0.836112763163 
50,l,r,0.65,0.3,0.3,0,1,0.35,0.837073134103 
51,r,l,0.4,0,0.01,0.3,2,-0.29,0.837195580331 
52,r,l,0.01,0,0.55,0.3,1,0.25,0.83726896274 
53,r,l,0.9,0,0.9,0.3,1,0.6,0.837489963249 
54,l,r,0.4,0.3,0.65,0,1,0.1,0.836655878315 
55,r,l,0.55,0,0.2,0.3,1,-0.1,1.22836520206 
56,l,r,0.1,0.3,0.2,0,2,-0.2,0.836838481052 
57,l,r,0.01,0.3,0.2,0,2,-0.29,0.837013830877 
58,r,l,0.6,0,0.4,0.3,2,0.1,0.879909261799 
59,r,l,0.55,0,0.2,0.3,2,-0.1,0.835759930304 
60,l,r,0.55,0.3,0.6,0,1,0.25,1.24452042463 
61,l,r,0.3,0.3,0.55,0,2,0.0,0.837263416395 
62,r,l,0.55,0,0.3,0.3,2,0.0,0.912196668268 
63,l,r,0.6,0.3,0.5,0,1,0.3,2.09315939427 
64,r,l,0.4,0,0.01,0.3,2,-0.29,0.837565905509 
65,l,r,0.3,0.3,0.01,0,2,0.0,0.837827010358 
66,r,l,0.65,0,0.4,0.3,2,0.1,0.835921627588 
67,l,r,0.1,0.3,0.6,0,2,-0.2,0.836876025541 
68,l,r,0.3,0.3,0.1,0,2,0.0,0.836245022156 
69,r,l,0.1,0,0.65,0.3,2,0.35,1.1762270008 
70,l,r,0.5,0.3,0.01,0,2,0.2,1.19295008375 
71,r,l,0.9,0,0.9,0.3,1,0.6,0.83716400883 
72,r,l,0.9,0,0.3,0.3,2,0.0,1.04759233171 
73,r,l,0.7,0,0.3,0.3,2,0.0,0.837835969838 
74,r,l,0.4,0,0.55,0.3,1,0.25,0.836919543015 
