# Time : Thu Feb 09 11:28:44 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# full_screen : True 
# break_trials : 50 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : DT_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# n_trials : 250 
# res : 128 
# cue_dur : 0.5 
# center_size : 3 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# refresh_rate : 60 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05A2BDC8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0589F5F8> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# rgb : [ 1.  1.  1.] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.01,0,0.7,0.3,2,0.4,1.19412620255 
1,r,r,0.2,0.3,0.6,0,2,-0.1,0.836835451841 
2,r,r,0.2,0.3,0.1,0,2,-0.1,0.836931447049 
3,r,l,0.7,0,0.3,0.3,2,0.0,0.90268389802 
4,l,l,0.9,0,0.01,0.3,2,-0.29,0.835956989027 
5,l,l,0.7,0,0.55,0.3,2,0.25,0.836071756631 
6,l,l,0.65,0,0.2,0.3,2,-0.1,0.836207429858 
7,l,l,0.7,0,0.1,0.3,2,-0.2,0.836282092798 
8,l,l,0.3,0,0.2,0.3,2,-0.1,0.836389180785 
9,l,l,0.2,0,0.4,0.3,2,0.1,0.836501815163 
10,r,r,0.65,0.3,0.4,0,2,0.35,0.851632793158 
11,l,l,0.6,0,0.5,0.3,2,0.2,0.83642373906 
12,r,r,0.2,0.3,0.55,0,2,-0.1,0.836538080019 
13,l,l,0.5,0,0.4,0.3,2,0.1,0.836685272671 
14,l,l,0.55,0,0.1,0.3,2,-0.2,0.86993289295 
15,l,r,0.9,0.3,0.2,0,1,0.6,0.836268440146 
16,r,l,0.4,0,0.9,0.3,1,0.6,0.836375528134 
17,l,l,0.7,0,0.2,0.3,2,-0.1,0.836469390115 
18,r,l,0.7,0,0.65,0.3,2,0.35,0.836616156121 
19,r,l,0.55,0,0.65,0.3,2,0.35,0.836705325004 
20,r,l,0.1,0,0.6,0.3,2,0.3,0.836878969669 
21,r,r,0.7,0.3,0.65,0,2,0.4,0.836884089413 
22,r,l,0.65,0,0.5,0.3,2,0.2,0.865712090319 
23,r,r,0.6,0.3,0.3,0,2,0.3,0.836856784109 
24,r,l,0.6,0,0.2,0.3,2,-0.1,0.835962535417 
25,r,r,0.01,0.3,0.1,0,2,-0.29,0.83695064609 
26,r,r,0.65,0.3,0.4,0,2,0.35,0.835070846597 
27,r,l,0.65,0,0.4,0.3,2,0.1,0.837253137657 
28,l,l,0.3,0,0.65,0.3,2,0.35,1.29780316033 
29,r,l,0.5,0,0.1,0.3,2,-0.2,0.836513761233 
30,l,l,0.55,0,0.55,0.3,2,0.25,0.836604636697 
31,r,r,0.6,0.3,0.3,0,2,0.3,0.836718977655 
32,r,r,0.3,0.3,0.9,0,2,0.0,0.836916514461 
33,l,l,0.2,0,0.7,0.3,2,0.4,0.83693870002 
34,r,r,0.3,0.3,0.9,0,2,0.0,0.836073463213 
35,l,l,0.5,0,0.65,0.3,2,0.35,0.836115274459 
36,l,l,0.4,0,0.01,0.3,2,-0.29,1.08452527383 
37,r,l,0.9,0,0.55,0.3,2,0.25,0.836897315419 
38,r,r,0.2,0.3,0.1,0,2,-0.1,0.836032078612 
39,r,l,0.1,0,0.4,0.3,2,0.1,0.836142579762 
40,r,l,0.9,0,0.1,0.3,2,-0.2,0.836375528134 
41,r,l,0.55,0,0.55,0.3,2,0.25,0.836378088006 
42,r,l,0.5,0,0.9,0.3,1,0.6,0.836467683533 
43,r,r,0.6,0.3,0.01,0,2,0.3,0.836701485195 
