# Time : Thu Feb 09 11:13:34 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# full_screen : True 
# break_trials : 50 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : DT_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# n_trials : 250 
# res : 128 
# cue_dur : 0.5 
# center_size : 3 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# refresh_rate : 60 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0596E738> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x057A6788> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# rgb : [ 1.  1.  1.] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,l,0.9,0,0.7,0.3,1,0.4,1.31525338255 
1,r,r,0.7,0.3,0.3,0,1,0.4,0.990072815565 
2,l,l,0.4,0,0.2,0.3,2,-0.1,1.53490748409 
3,r,r,0.55,0.3,0.7,0,1,0.25,1.18473275147 
4,r,l,0.1,0,0.3,0.3,1,0.0,0.836606769923 
5,r,l,0.01,0,0.6,0.3,1,0.3,0.968493092825 
6,l,r,0.9,0.3,0.4,0,1,0.6,0.83642928545 
7,r,l,0.01,0,0.3,0.3,1,0.0,5.92801554013 
8,l,r,0.4,0.3,0.5,0,2,0.1,1.2726396165 
9,r,r,0.01,0.3,0.01,0,1,-0.29,0.8365397866 
10,r,l,0.1,0,0.9,0.3,1,0.6,1.27629042092 
11,l,l,0.7,0,0.6,0.3,1,0.3,1.61612156321 
12,l,l,0.65,0,0.6,0.3,1,0.3,1.04692160434 
13,r,r,0.7,0.3,0.3,0,1,0.4,0.836001360145 
14,r,r,0.55,0.3,0.55,0,1,0.25,0.883656794519 
15,r,r,0.5,0.3,0.3,0,2,0.2,1.76163067273 
