# Time : Thu Feb 09 11:42:37 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# full_screen : True 
# break_trials : 50 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : DT_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# n_trials : 250 
# res : 128 
# cue_dur : 0.5 
# center_size : 3 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# refresh_rate : 60 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05704508> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05900990> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# rgb : [ 1.  1.  1.] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.4,0.3,0.9,0,2,0.1,2.17366599726 
1,r,l,0.01,0,0.65,0.3,1,0.35,0.836497122064 
2,r,l,0.4,0,0.4,0.3,2,0.1,1.22729148028 
3,l,r,0.65,0.3,0.6,0,1,0.35,1.29814660985 
4,r,r,0.2,0.3,0.3,0,1,-0.1,0.95696214845 
5,l,l,0.5,0,0.9,0.3,1,0.6,0.836017999315 
6,r,r,0.6,0.3,0.3,0,1,0.3,0.83611612775 
7,l,l,0.9,0,0.7,0.3,1,0.4,0.836228762127 
8,l,l,0.65,0,0.01,0.3,2,-0.29,0.83635376922 
9,l,l,0.5,0,0.9,0.3,1,0.6,1.48219032906 
10,l,l,0.7,0,0.5,0.3,1,0.2,1.00598498123 
11,l,l,0.2,0,0.01,0.3,2,-0.29,0.836398566984 
12,r,r,0.4,0.3,0.6,0,1,0.1,1.03682632163 
13,l,l,0.01,0,0.9,0.3,1,0.6,1.02651259649 
14,r,l,0.01,0,0.5,0.3,1,0.2,0.836901155228 
15,l,l,0.01,0,0.5,0.3,2,0.2,2.54415118264 
16,l,l,0.1,0,0.9,0.3,1,0.6,0.836750122767 
17,r,r,0.6,0.3,0.5,0,1,0.3,1.0228178476 
18,r,r,0.5,0.3,0.55,0,1,0.2,1.33362430547 
19,l,r,0.6,0.3,0.2,0,1,0.3,0.863449163284 
20,l,r,0.55,0.3,0.7,0,1,0.25,1.3332765895 
21,l,l,0.9,0,0.9,0.3,1,0.6,0.836478776313 
22,l,l,0.65,0,0.55,0.3,1,0.25,0.838966545457 
23,r,l,0.6,0,0.7,0.3,1,0.4,2.55778676862 
24,l,l,0.7,0,0.9,0.3,1,0.6,0.836257774012 
25,l,r,0.4,0.3,0.3,0,2,0.1,0.898390139031 
26,r,r,0.4,0.3,0.7,0,1,0.1,1.37522137562 
27,r,l,0.5,0,0.6,0.3,1,0.3,0.836113994523 
28,r,l,0.2,0,0.2,0.3,2,-0.1,0.836212122958 
29,r,r,0.4,0.3,0.2,0,2,0.1,1.04471840766 
30,l,l,0.7,0,0.5,0.3,2,0.2,0.95563656129 
