# Time : Thu Feb 09 11:56:40 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# full_screen : True 
# break_trials : 50 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : DT_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# n_trials : 250 
# res : 128 
# cue_dur : 0.5 
# center_size : 3 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# refresh_rate : 60 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0570C698> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0570C878> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# rgb : [ 1.  1.  1.] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,r,0.1,0.3,0.55,0,2,-0.2,0.836706178294 
1,r,r,0.4,0.3,0.2,0,2,0.1,0.927253978148 
2,l,l,0.7,0,0.4,0.3,2,0.1,0.836356755737 
3,l,l,0.65,0,0.5,0.3,2,0.2,0.837369611842 
4,l,l,0.2,0,0.65,0.3,1,0.35,0.836668633502 
5,r,r,0.3,0.3,0.65,0,2,0.0,0.836691245706 
6,r,l,0.55,0,0.3,0.3,2,0.0,0.836867876889 
7,l,r,0.3,0.3,0.4,0,2,0.0,0.972294929704 
8,r,l,0.4,0,0.01,0.3,2,-0.29,0.837486939319 
9,l,l,0.1,0,0.2,0.3,2,-0.1,0.836734336889 
10,l,l,0.6,0,0.3,0.3,2,0.0,0.837786871013 
11,l,r,0.2,0.3,0.4,0,2,-0.1,0.836946806282 
12,r,r,0.7,0.3,0.3,0,2,0.4,0.836080716184 
13,r,r,0.1,0.3,0.55,0,2,-0.2,0.836188230817 
14,r,r,0.01,0.3,0.55,0,2,-0.29,0.836306411584 
15,l,l,0.2,0,0.9,0.3,1,0.6,0.837282149542 
16,l,l,0.3,0,0.1,0.3,2,-0.2,0.836516321105 
17,r,l,0.1,0,0.2,0.3,2,-0.1,0.836692525642 
18,r,r,0.4,0.3,0.5,0,2,0.1,0.837600853632 
19,l,l,0.9,0,0.65,0.3,2,0.35,0.837731407115 
20,l,l,0.01,0,0.55,0.3,2,0.25,0.835963388708 
21,l,l,0.3,0,0.2,0.3,2,-0.1,0.83608199612 
22,l,l,0.7,0,0.9,0.3,1,0.6,0.837081199573 
23,r,r,0.55,0.3,0.55,0,2,0.25,0.837280016315 
24,l,l,0.55,0,0.9,0.3,1,0.6,0.836419899252 
25,l,r,0.7,0.3,0.5,0,2,0.4,1.18348950687 
26,l,l,0.01,0,0.3,0.3,2,0.0,0.836759508965 
27,l,r,0.1,0.3,0.1,0,2,-0.2,0.855197841857 
28,r,l,0.7,0,0.5,0.3,2,0.2,0.836669486793 
29,l,r,0.55,0.3,0.65,0,2,0.25,0.837568001939 
30,r,l,0.6,0,0.1,0.3,2,-0.2,0.836852517656 
31,r,l,0.9,0,0.55,0.3,2,0.25,0.835941629794 
32,r,l,0.4,0,0.01,0.3,2,-0.29,0.836069623404 
33,r,r,0.65,0.3,0.01,0,2,0.35,0.836194630497 
34,r,r,0.4,0.3,0.1,0,2,0.1,0.836324757335 
35,r,r,0.4,0.3,0.5,0,2,0.1,0.836390887367 
36,r,l,0.4,0,0.5,0.3,2,0.2,0.836521867495 
37,l,l,0.2,0,0.4,0.3,2,0.1,0.836615302831 
38,l,l,0.9,0,0.01,0.3,2,-0.29,0.837544536443 
39,r,l,0.65,0,0.01,0.3,2,-0.29,0.836846971266 
40,r,l,0.55,0,0.2,0.3,2,-0.1,0.836948939509 
41,l,l,0.4,0,0.4,0.3,2,0.1,0.836079862893 
42,l,l,0.9,0,0.2,0.3,2,-0.1,0.83618609759 
43,r,l,0.01,0,0.6,0.3,2,0.3,0.836279532926 
44,l,r,0.1,0.3,0.6,0,2,-0.2,0.976573756105 
45,r,r,0.01,0.3,0.01,0,2,-0.29,1.71339372072 
46,r,l,0.6,0,0.5,0.3,2,0.2,0.836737750052 
47,l,l,0.3,0,0.1,0.3,2,-0.2,1.03504849038 
48,r,r,0.1,0.3,0.4,0,2,-0.2,0.836451471009 
49,r,r,0.55,0.3,0.55,0,2,0.25,0.83648090954 
50,r,r,0.5,0.3,0.7,0,2,0.2,0.83664303478 
51,l,l,0.2,0,0.5,0.3,2,0.2,0.837643944814 
52,l,l,0.65,0,0.6,0.3,2,0.3,0.836757375738 
53,r,r,0.4,0.3,0.55,0,2,0.1,0.836794493886 
54,r,r,0.65,0.3,0.2,0,2,0.35,0.835987280848 
55,l,l,0.5,0,0.4,0.3,2,0.1,0.837044508072 
56,l,l,0.3,0,0.6,0.3,2,0.3,0.836246254587 
57,r,r,0.7,0.3,0.9,0,2,0.4,0.83636571529 
58,r,r,0.4,0.3,0.1,0,2,0.1,0.836543626409 
59,r,r,0.55,0.3,0.1,0,2,0.25,0.836604636697 
60,r,r,0.6,0.3,0.2,0,2,0.3,0.836711724684 
61,r,r,0.9,0.3,0.55,0,1,0.6,0.836844838039 
62,r,l,0.5,0,0.1,0.3,2,-0.2,0.835922857398 
63,r,r,0.9,0.3,0.65,0,1,0.6,0.836038051647 
64,l,l,0.4,0,0.9,0.3,1,0.6,0.836119967558 
65,r,r,0.9,0.3,0.01,0,2,0.6,0.836282946089 
66,l,r,0.1,0.3,0.3,0,2,-0.2,0.877036538336 
67,l,l,0.2,0,0.2,0.3,2,-0.1,0.837798817083 
68,r,l,0.3,0,0.5,0.3,2,0.2,1.33686937015 
69,l,l,0.6,0,0.6,0.3,2,0.3,0.837111491394 
70,r,l,0.7,0,0.65,0.3,1,0.35,0.837171648391 
71,l,l,0.2,0,0.7,0.3,2,0.4,0.838658934146 
72,l,l,0.65,0,0.2,0.3,2,-0.1,0.836540213246 
73,r,l,0.3,0,0.1,0.3,2,-0.2,0.836632795291 
74,l,r,0.65,0.3,0.5,0,2,0.35,1.81277222641 
75,r,r,0.7,0.3,0.65,0,2,0.4,0.836607623214 
76,r,r,0.55,0.3,0.9,0,2,0.25,0.836717697719 
77,l,r,0.9,0.3,0.1,0,1,0.6,0.960255424049 
78,l,l,0.6,0,0.6,0.3,2,0.3,0.836878116378 
79,r,r,0.4,0.3,0.4,0,2,0.1,0.835955709091 
80,r,r,0.55,0.3,0.7,0,2,0.25,0.836094795481 
81,l,l,0.5,0,0.2,0.3,2,-0.1,0.836152819251 
82,r,l,0.55,0,0.7,0.3,2,0.4,0.83629019906 
83,r,r,0.6,0.3,0.01,0,2,0.3,0.836381074523 
84,l,l,0.7,0,0.1,0.3,2,-0.2,0.836525280658 
85,l,r,0.55,0.3,0.9,0,2,0.25,0.905065859112 
86,l,l,0.55,0,0.9,0.3,1,0.6,0.83656197216 
87,l,r,0.01,0.3,0.6,0,2,-0.29,1.39570888621 
88,l,l,0.2,0,0.55,0.3,2,0.25,0.835947176184 
89,l,l,0.3,0,0.3,0.3,2,0.0,0.953377474063 
90,r,l,0.5,0,0.7,0.3,2,0.4,0.836107168197 
91,r,r,0.1,0.3,0.9,0,2,-0.2,0.836184817654 
92,r,l,0.9,0,0.1,0.3,2,-0.2,0.836295318804 
93,l,r,0.9,0.3,0.1,0,1,0.6,1.01575388023 
94,l,r,0.55,0.3,0.5,0,2,0.25,0.836578184684 
95,l,l,0.9,0,0.5,0.3,2,0.2,0.836726657272 
96,r,r,0.9,0.3,0.7,0,2,0.6,0.83682819887 
97,l,l,0.5,0,0.55,0.3,2,0.25,0.836880249605 
98,r,r,0.01,0.3,0.4,0,2,-0.29,0.836005626599 
99,r,l,0.1,0,0.6,0.3,2,0.3,0.836109301424 
100,r,r,0.55,0.3,0.6,0,2,0.25,0.836253080913 
101,r,l,0.65,0,0.3,0.3,2,0.0,0.837714767945 
102,l,r,0.3,0.3,0.65,0,2,0.0,0.835889152414 
103,r,l,0.2,0,0.7,0.3,2,0.4,0.836014159507 
104,l,r,0.01,0.3,0.4,0,2,-0.29,0.836078156312 
105,r,r,0.2,0.3,0.3,0,2,-0.1,0.836246681232 
106,l,l,0.6,0,0.6,0.3,2,0.3,0.836303425066 
107,l,r,0.65,0.3,0.7,0,2,0.35,0.836443364747 
