# Time : Thu Feb 16 10:45:52 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : DT_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05D2FE40> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05D2FEB8> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.65,0,0.2,0.3,2,-0.1,1.23287523369 
1,l,r,0.1,0.3,0.6,0,2,-0.2,0.837774960045 
2,r,l,0.7,0,0.9,0.3,1,0.6,0.837009137816 
3,r,l,0.1,0,0.01,0.3,2,-0.29,0.83615670728 
4,r,l,0.5,0,0.01,0.3,2,-0.29,0.836199798113 
5,r,l,0.55,0,0.1,0.3,2,-0.2,0.837232271535 
6,r,l,0.6,0,0.5,0.3,2,0.2,0.837370076872 
7,l,r,0.3,0.3,0.1,0,2,0.0,0.836530018951 
8,r,l,0.9,0,0.9,0.3,1,0.6,1.17474655337 
9,r,l,0.4,0,0.55,0.3,2,0.25,1.39946610031 
10,r,l,0.55,0,0.55,0.3,2,0.25,0.837026203493 
11,r,l,0.2,0,0.4,0.3,2,0.1,0.837305227302 
12,r,l,0.65,0,0.5,0.3,2,0.2,0.87610574917 
13,l,r,0.3,0.3,0.6,0,2,0.0,1.12994147326 
14,l,r,0.65,0.3,0.01,0,2,0.35,0.859767497225 
