# Time : Thu Feb 16 10:40:33 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : DT_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x055E0B98> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x055E05F8> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.4,0,0.55,0.3,2,0.25,5.12626765978 
1,l,r,0.3,0.3,0.01,0,1,0.0,1.12190823274 
2,l,r,0.6,0.3,0.65,0,1,0.3,1.54784191723 
3,r,l,0.3,0,0.55,0.3,1,0.25,0.877587476524 
4,r,l,0.2,0,0.4,0.3,2,0.1,1.51443116261 
5,r,l,0.65,0,0.2,0.3,2,-0.1,0.989236251251 
6,r,l,0.3,0,0.2,0.3,2,-0.1,2.38201516627 
7,l,r,0.1,0.3,0.6,0,2,-0.2,0.837332532384 
8,r,l,0.55,0,0.6,0.3,2,0.3,1.30667191152 
9,r,l,0.65,0,0.7,0.3,1,0.4,1.12562343049 
10,l,r,0.65,0.3,0.7,0,1,0.35,2.32029330778 
11,r,l,0.55,0,0.3,0.3,2,0.0,0.836394346824 
12,r,l,0.5,0,0.4,0.3,2,0.1,1.07191177387 
13,r,l,0.7,0,0.65,0.3,2,0.35,1.71673579688 
14,l,r,0.55,0.3,0.4,0,1,0.25,2.25452176428 
15,r,l,0.2,0,0.01,0.3,2,-0.29,1.47427647932 
16,l,r,0.2,0.3,0.9,0,2,-0.1,0.958115710406 
17,l,r,0.6,0.3,0.2,0,1,0.3,0.837600463504 
18,r,l,0.65,0,0.9,0.3,1,0.6,0.838979796799 
19,r,l,0.7,0,0.01,0.3,2,-0.29,1.00471695296 
20,l,r,0.5,0.3,0.9,0,2,0.2,2.26863507867 
21,r,l,0.01,0,0.55,0.3,1,0.25,0.836061139492 
22,r,l,0.6,0,0.2,0.3,2,-0.1,1.23809263761 
23,l,r,0.01,0.3,0.3,0,2,-0.29,2.371903753 
24,l,r,0.5,0.3,0.7,0,2,0.2,0.836805202983 
