# Time : Thu Feb 16 10:50:30 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : DT_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05BA03A0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05A0C7B0> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.9,0,0.1,0.3,2,-0.2,0.840703430116 
1,r,l,0.6,0,0.01,0.3,2,-0.29,0.836173346315 
2,r,l,0.65,0,0.4,0.3,2,0.1,1.27050931658 
3,r,l,0.2,0,0.1,0.3,2,-0.2,0.836651611896 
4,r,l,0.65,0,0.2,0.3,2,-0.1,0.837557372671 
5,l,r,0.1,0.3,0.9,0,2,-0.2,1.82395005559 
6,l,r,0.4,0.3,0.01,0,1,0.1,1.38183512338 
7,l,r,0.3,0.3,0.2,0,2,0.0,0.83687602554 
8,r,l,0.01,0,0.55,0.3,1,0.25,0.837039856034 
9,r,l,0.7,0,0.5,0.3,1,0.2,3.63524847198 
10,r,l,0.7,0,0.6,0.3,1,0.3,0.836670810782 
11,l,r,0.9,0.3,0.5,0,1,0.6,0.939782480889 
12,l,r,0.55,0.3,0.9,0,1,0.25,1.10962478551 
13,r,l,0.55,0,0.2,0.3,2,-0.1,0.873533525095 
14,l,r,0.55,0.3,0.5,0,1,0.25,1.02236926199 
15,l,r,0.6,0.3,0.5,0,1,0.3,1.33413911769 
16,l,r,0.4,0.3,0.2,0,1,0.1,1.53610371835 
17,r,l,0.55,0,0.3,0.3,2,0.0,1.15378435641 
