# Time : Thu Feb 16 10:55:25 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : DT_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05B565F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05B56D50> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.5,0,0.7,0.3,1,0.4,0.876467114868 
1,l,r,0.7,0.3,0.3,0,2,0.4,0.837201553318 
2,l,r,0.1,0.3,0.6,0,2,-0.2,0.837361544034 
3,l,r,0.65,0.3,0.4,0,2,0.35,0.83668147683 
4,r,l,0.5,0,0.1,0.3,2,-0.2,0.836678490336 
5,l,r,0.1,0.3,0.2,0,2,-0.2,0.83684232083 
6,r,l,0.01,0,0.3,0.3,2,0.0,0.835900295492 
7,r,l,0.4,0,0.65,0.3,1,0.35,1.71328554375 
8,r,l,0.4,0,0.5,0.3,2,0.2,0.836594868522 
9,r,l,0.4,0,0.5,0.3,2,0.2,0.837221605488 
10,r,l,0.2,0,0.2,0.3,2,-0.1,0.835943812967 
11,r,l,0.3,0,0.2,0.3,2,-0.1,0.887650679257 
12,l,r,0.5,0.3,0.01,0,2,0.2,0.83621259737 
13,l,r,0.55,0.3,0.6,0,2,0.25,0.836302192171 
14,l,r,0.55,0.3,0.5,0,2,0.25,0.836477968638 
15,l,r,0.01,0.3,0.55,0,2,-0.29,0.836647345477 
16,l,r,0.3,0.3,0.5,0,2,0.0,1.28787620217 
