# Time : Fri Feb 10 10:44:51 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# full_screen : True 
# break_trials : 50 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : AB_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# n_trials : 250 
# res : 128 
# cue_dur : 0.5 
# center_size : 3 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# refresh_rate : 60 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05C9B968> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05965210> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# rgb : [ 1.  1.  1.] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,l,0.6,0,0.55,0.3,2,0.25,1.46733032238 
1,r,l,0.01,0,0.3,0.3,2,0.0,1.04014103075 
2,r,l,0.01,0,0.4,0.3,2,0.1,0.84705015517 
3,l,l,0.65,0,0.65,0.3,1,0.35,1.31778465335 
4,r,l,0.65,0,0.6,0.3,1,0.3,1.36059646246 
5,l,r,0.65,0.3,0.3,0,2,0.35,1.14544777348 
6,l,l,0.7,0,0.3,0.3,2,0.0,0.931286333892 
7,r,l,0.9,0,0.1,0.3,1,-0.2,1.73514923507 
8,r,r,0.9,0.3,0.1,0,1,0.6,1.02403999171 
9,r,r,0.01,0.3,0.55,0,2,-0.29,0.836903757265 
10,l,r,0.3,0.3,0.5,0,2,0.0,0.917591555221 
11,r,r,0.2,0.3,0.01,0,2,-0.1,0.881491676643 
12,r,r,0.2,0.3,0.65,0,2,-0.1,0.862281271359 
13,r,r,0.4,0.3,0.6,0,2,0.1,0.836187425498 
14,r,r,0.1,0.3,0.55,0,2,-0.2,0.836267634177 
15,l,l,0.55,0,0.5,0.3,1,0.2,1.20181826249 
16,l,r,0.65,0.3,0.55,0,1,0.35,1.29662278797 
17,l,l,0.6,0,0.1,0.3,2,-0.2,0.83603383441 
18,r,r,0.3,0.3,0.7,0,2,0.0,0.836168653254 
19,l,l,0.7,0,0.6,0.3,2,0.3,0.836335043599 
20,r,r,0.7,0.3,0.55,0,2,0.4,0.937007175264 
21,r,r,0.7,0.3,0.01,0,2,0.4,0.931978773712 
22,l,l,0.6,0,0.2,0.3,2,-0.1,0.836400746453 
23,r,r,0.65,0.3,0.3,0,2,0.35,0.836572683142 
24,l,r,0.1,0.3,0.6,0,2,-0.2,0.836647772119 
25,r,l,0.6,0,0.55,0.3,2,0.25,1.17924165254 
26,l,l,0.1,0,0.55,0.3,2,0.25,1.01206756643 
27,r,l,0.55,0,0.5,0.3,2,0.2,0.835977517678 
28,r,r,0.55,0.3,0.2,0,2,0.25,0.836116602941 
29,l,l,0.4,0,0.4,0.3,2,0.1,1.10457718507 
30,l,r,0.1,0.3,0.3,0,2,-0.2,1.32445477297 
31,l,l,0.1,0,0.01,0.3,2,-0.29,0.83685128031 
32,r,r,0.3,0.3,0.65,0,1,0.0,1.27708088192 
33,l,l,0.01,0,0.2,0.3,2,-0.1,0.836529165668 
34,l,r,0.2,0.3,0.5,0,2,-0.1,0.836607241137 
35,r,l,0.3,0,0.3,0.3,2,0.0,0.836734807068 
36,l,r,0.4,0.3,0.1,0,2,0.1,0.836800936564 
37,l,r,0.2,0.3,0.4,0,2,-0.1,0.836933622198 
38,l,l,0.5,0,0.3,0.3,2,0.0,0.836048340235 
39,r,l,0.7,0,0.9,0.3,1,0.6,0.945971775078 
40,l,l,0.6,0,0.01,0.3,2,-0.29,0.836633266294 
41,l,r,0.7,0.3,0.01,0,2,0.4,0.836587188967 
42,l,l,0.1,0,0.9,0.3,1,0.6,0.836696835938 
43,r,r,0.1,0.3,0.9,0,2,-0.2,0.865359919382 
44,l,l,0.4,0,0.9,0.3,1,0.6,0.836618760469 
45,r,l,0.9,0,0.6,0.3,1,0.3,1.5740906341 
46,r,l,0.4,0,0.9,0.3,2,0.6,0.933878610137 
47,l,l,0.3,0,0.5,0.3,2,0.2,0.836418238771 
48,r,r,0.9,0.3,0.4,0,1,0.6,0.967550042963 
49,l,l,0.1,0,0.7,0.3,1,0.4,0.836233076182 
50,l,l,0.4,0,0.6,0.3,1,0.3,1.47125841445 
51,l,l,0.01,0,0.6,0.3,1,0.3,0.83681117597 
52,r,l,0.1,0,0.2,0.3,2,-0.1,1.17082443429 
53,r,r,0.55,0.3,0.55,0,1,0.25,0.836980126167 
54,l,r,0.4,0.3,0.55,0,2,0.1,0.86543330179 
55,l,r,0.5,0.3,0.01,0,2,0.2,1.4152591039 
56,r,l,0.5,0,0.65,0.3,1,0.35,0.836923382793 
57,r,r,0.4,0.3,0.9,0,2,0.1,1.06087966736 
58,l,l,0.6,0,0.1,0.3,2,-0.2,0.836383254134 
59,l,r,0.5,0.3,0.1,0,2,0.2,0.836487781402 
60,r,l,0.6,0,0.9,0.3,1,0.6,0.836688729742 
61,l,r,0.2,0.3,0.5,0,2,-0.1,0.836710915121 
62,l,l,0.2,0,0.9,0.3,1,0.6,0.835925040723 
63,r,r,0.6,0.3,0.2,0,2,0.3,0.948963814793 
64,r,r,0.01,0.3,0.4,0,2,-0.29,0.83614988101 
65,r,l,0.2,0,0.4,0.3,2,0.1,0.836264221041 
66,l,l,0.01,0,0.6,0.3,1,0.3,0.844458732208 
67,l,l,0.1,0,0.7,0.3,1,0.4,0.875388990762 
68,r,r,0.1,0.3,0.5,0,2,-0.2,0.836045353742 
69,l,l,0.5,0,0.2,0.3,2,-0.1,0.836956660861 
70,r,r,0.55,0.3,0.1,0,2,0.25,0.83628853963 
71,r,r,0.6,0.3,0.55,0,2,0.3,1.13271421904 
72,l,l,0.6,0,0.6,0.3,2,0.3,0.83963895855 
73,r,r,0.55,0.3,0.7,0,1,0.25,1.00636080424 
74,r,r,0.6,0.3,0.1,0,1,0.3,1.01421954822 
75,l,r,0.01,0.3,0.01,0,2,-0.29,1.53402682554 
76,r,l,0.65,0,0.1,0.3,2,-0.2,1.27992914331 
77,r,r,0.1,0.3,0.01,0,2,-0.2,1.0197134161 
78,r,r,0.6,0.3,0.65,0,2,0.3,1.29052991485 
79,r,r,0.5,0.3,0.55,0,2,0.2,1.16634640081 
80,r,r,0.65,0.3,0.9,0,2,0.35,1.17615959138 
81,l,l,0.5,0,0.9,0.3,1,0.6,0.836622173604 
82,r,l,0.2,0,0.3,0.3,2,0.0,1.42396985178 
83,l,r,0.65,0.3,0.6,0,2,0.35,2.04562679243 
84,l,l,0.7,0,0.01,0.3,2,-0.29,0.836293232691 
85,r,r,0.7,0.3,0.4,0,1,0.4,1.04825917301 
86,r,r,0.7,0.3,0.55,0,1,0.4,0.990125372992 
87,l,r,0.4,0.3,0.2,0,2,0.1,2.36698243857 
88,r,r,0.01,0.3,0.3,0,2,-0.29,0.901657759806 
89,l,l,0.2,0,0.1,0.3,2,-0.2,0.977682361685 
90,r,r,0.6,0.3,0.9,0,2,0.3,1.73041436316 
91,l,l,0.5,0,0.01,0.3,2,-0.29,1.05225808764 
92,l,l,0.3,0,0.9,0.3,1,0.6,1.00210291797 
93,l,l,0.55,0,0.2,0.3,2,-0.1,1.04187405019 
94,r,r,0.2,0.3,0.6,0,2,-0.1,1.37569873279 
95,r,r,0.6,0.3,0.7,0,1,0.3,0.904515407319 
96,l,l,0.4,0,0.5,0.3,2,0.2,1.84434737867 
97,l,l,0.3,0,0.1,0.3,2,-0.2,0.936120186733 
98,l,r,0.4,0.3,0.1,0,2,0.1,1.40295304464 
99,l,l,0.9,0,0.2,0.3,2,-0.1,0.985822262687 
100,r,l,0.7,0,0.5,0.3,2,0.2,1.51461547191 
101,l,l,0.1,0,0.9,0.3,1,0.6,0.955122390765 
102,r,l,0.2,0,0.65,0.3,1,0.35,1.11696899935 
103,l,l,0.6,0,0.9,0.3,1,0.6,1.04079549944 
104,r,r,0.3,0.3,0.5,0,2,0.0,0.983615670728 
105,r,r,0.55,0.3,0.4,0,2,0.25,0.976469418734 
106,r,r,0.3,0.3,0.7,0,2,0.0,0.865298909589 
107,l,r,0.01,0.3,0.01,0,2,-0.29,1.09515223863 
108,l,l,0.9,0,0.9,0.3,1,0.6,1.1240619211 
109,r,r,0.5,0.3,0.4,0,1,0.2,1.2068726892 
110,l,r,0.7,0.3,0.01,0,1,0.4,1.19768452903 
111,r,r,0.2,0.3,0.55,0,2,-0.1,1.03749243777 
112,r,l,0.55,0,0.4,0.3,2,0.1,1.21229744109 
113,l,l,0.9,0,0.3,0.3,2,0.0,0.971127435379 
114,r,l,0.6,0,0.65,0.3,2,0.35,1.24402594665 
115,r,r,0.2,0.3,0.2,0,2,-0.1,0.96181341584 
116,r,l,0.9,0,0.1,0.3,2,-0.2,1.18762217958 
117,l,r,0.3,0.3,0.1,0,2,0.0,1.05940732612 
118,r,r,0.9,0.3,0.4,0,1,0.6,1.4173001588 
119,r,l,0.6,0,0.3,0.3,2,0.0,1.10419192742 
120,l,l,0.9,0,0.7,0.3,1,0.4,1.17998571603 
121,r,r,0.3,0.3,0.55,0,2,0.0,0.916800134478 
122,r,l,0.3,0,0.01,0.3,2,-0.29,1.62459309028 
123,r,r,0.01,0.3,0.65,0,2,-0.29,0.886383552784 
