# Time : Fri Feb 10 10:31:06 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# full_screen : True 
# break_trials : 50 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : AB_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# n_trials : 250 
# res : 128 
# cue_dur : 0.5 
# center_size : 3 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# refresh_rate : 60 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05DDBDC8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05C4F5F8> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# rgb : [ 1.  1.  1.] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,l,0.7,0,0.55,0.3,2,0.25,4.75728299073 
1,r,r,0.4,0.3,0.6,0,2,0.1,1.071013266 
2,r,r,0.7,0.3,0.65,0,1,0.4,1.17977666149 
3,r,l,0.55,0,0.5,0.3,1,0.2,1.02874883847 
4,l,l,0.01,0,0.65,0.3,1,0.35,1.731416545 
5,r,r,0.55,0.3,0.6,0,1,0.25,0.88524143239 
6,l,l,0.3,0,0.9,0.3,1,0.6,1.25818533837 
7,l,r,0.1,0.3,0.7,0,1,-0.2,1.36689881675 
8,r,l,0.5,0,0.1,0.3,2,-0.2,1.03974126728 
9,r,r,0.3,0.3,0.55,0,1,0.0,1.1665947064 
10,l,r,0.55,0.3,0.2,0,1,0.25,1.54340313479 
11,r,l,0.9,0,0.55,0.3,1,0.25,0.993210420643 
12,l,r,0.9,0.3,0.6,0,1,0.6,0.889058170918 
13,l,l,0.55,0,0.01,0.3,2,-0.29,1.00581086281 
14,l,r,0.4,0.3,0.5,0,2,0.1,2.89366590355 
15,l,r,0.01,0.3,0.3,0,2,-0.29,1.10942298388 
16,r,r,0.55,0.3,0.2,0,1,0.25,0.913264126327 
17,r,l,0.5,0,0.7,0.3,1,0.4,1.23717919728 
18,r,r,0.2,0.3,0.2,0,2,-0.1,1.42694183932 
19,l,r,0.6,0.3,0.1,0,1,0.3,1.0087414661 
20,l,l,0.7,0,0.2,0.3,2,-0.1,0.836456209901 
21,l,l,0.55,0,0.9,0.3,2,0.6,0.999424033421 
22,r,r,0.1,0.3,0.2,0,2,-0.2,0.836789417233 
23,r,r,0.1,0.3,0.9,0,2,-0.2,1.59813446558 
24,l,l,0.7,0,0.6,0.3,1,0.3,0.853918236638 
25,l,l,0.6,0,0.1,0.3,2,-0.2,1.25176352434 
26,r,r,0.01,0.3,0.7,0,2,-0.29,1.12857067281 
27,l,r,0.2,0.3,0.7,0,2,-0.1,0.843450150733 
28,l,l,0.9,0,0.1,0.3,2,-0.2,0.836253554994 
29,r,r,0.1,0.3,0.65,0,2,-0.2,0.836498020808 
30,r,r,0.65,0.3,0.55,0,1,0.35,0.836588468893 
31,r,l,0.01,0,0.6,0.3,2,0.3,0.910796856161 
32,r,r,0.9,0.3,0.4,0,1,0.6,0.836505700363 
33,r,l,0.01,0,0.7,0.3,2,0.4,1.29748503127 
34,r,r,0.2,0.3,0.3,0,2,-0.1,0.836725847588 
35,r,l,0.6,0,0.4,0.3,2,0.1,0.83680221649 
36,r,r,0.5,0.3,0.2,0,2,0.2,0.858011439123 
37,l,r,0.2,0.3,0.55,0,2,-0.1,1.68083558671 
38,r,r,0.55,0.3,0.2,0,1,0.25,0.97165049836 
39,r,r,0.6,0.3,0.6,0,1,0.3,0.836704942135 
40,r,r,0.65,0.3,0.55,0,1,0.35,0.836823975227 
41,l,l,0.6,0,0.6,0.3,1,0.3,0.906225388095 
42,r,r,0.3,0.3,0.55,0,1,0.0,1.2300269723 
43,l,l,0.65,0,0.5,0.3,1,0.2,0.844853375975 
44,l,r,0.3,0.3,0.5,0,1,0.0,1.58768472528 
45,r,r,0.65,0.3,0.5,0,1,0.35,0.866494786863 
46,r,r,0.4,0.3,0.65,0,2,0.1,0.83608289823 
47,r,r,0.4,0.3,0.01,0,1,0.1,0.836175479524 
48,r,r,0.5,0.3,0.7,0,1,0.2,0.836307311874 
49,l,r,0.55,0.3,0.55,0,1,0.25,0.837912765382 
50,r,r,0.4,0.3,0.5,0,1,0.1,0.916749790732 
51,r,r,0.01,0.3,0.1,0,2,-0.29,1.39835683135 
52,l,l,0.2,0,0.7,0.3,1,0.4,0.836658011524 
53,l,l,0.5,0,0.9,0.3,1,0.6,0.836709635196 
54,l,l,0.9,0,0.9,0.3,1,0.6,0.836905463832 
55,l,r,0.1,0.3,0.65,0,2,-0.2,1.70571904948 
56,l,r,0.5,0.3,0.9,0,2,0.2,1.02863492508 
57,l,l,0.4,0,0.9,0.3,1,0.6,0.83644938363 
58,r,r,0.55,0.3,0.4,0,1,0.25,0.837319733127 
59,l,l,0.65,0,0.6,0.3,1,0.3,1.26506451252 
60,l,l,0.4,0,0.9,0.3,1,0.6,0.836443410644 
61,r,l,0.65,0,0.1,0.3,2,-0.2,0.884746527775 
62,l,l,0.65,0,0.1,0.3,2,-0.2,0.849566489155 
63,l,r,0.01,0.3,0.1,0,2,-0.29,0.836850427026 
64,r,r,0.7,0.3,0.65,0,1,0.4,0.836906743758 
65,r,l,0.3,0,0.55,0.3,2,0.25,1.08515644532 
66,r,r,0.3,0.3,0.1,0,2,0.0,0.836634119578 
67,r,r,0.01,0.3,0.1,0,2,-0.29,0.848780188115 
68,r,l,0.3,0,0.65,0.3,1,0.35,0.83962999907 
69,l,l,0.1,0,0.1,0.3,2,-0.2,0.835935706771 
70,r,l,0.1,0,0.7,0.3,1,0.4,0.836063272702 
71,r,r,0.01,0.3,0.5,0,2,-0.29,1.34715041602 
72,l,r,0.55,0.3,0.5,0,1,0.25,0.836355095768 
73,r,r,0.9,0.3,0.5,0,1,0.6,0.836669530856 
74,r,r,0.01,0.3,0.65,0,2,-0.29,3.22674737594 
75,l,l,0.9,0,0.65,0.3,1,0.35,1.25241756638 
76,r,r,0.01,0.3,0.01,0,2,-0.29,0.836827388363 
77,r,r,0.4,0.3,0.4,0,2,0.1,0.835992023503 
78,r,r,0.4,0.3,0.5,0,2,0.1,0.846977626045 
79,r,r,0.5,0.3,0.2,0,2,0.2,0.836152014219 
80,l,r,0.55,0.3,0.01,0,2,0.25,0.972588257279 
81,l,l,0.5,0,0.3,0.3,2,0.0,0.835990743577 
82,r,r,0.3,0.3,0.6,0,2,0.0,0.908263456499 
83,l,r,0.01,0.3,0.01,0,2,-0.29,0.836040234039 
84,r,l,0.2,0,0.4,0.3,2,0.1,1.10296447865 
85,l,l,0.2,0,0.3,0.3,2,0.0,0.836532578803 
86,r,r,0.3,0.3,0.2,0,2,0.0,0.836635399503 
87,l,l,0.1,0,0.01,0.3,2,-0.29,0.836852986877 
88,l,l,0.2,0,0.7,0.3,1,0.4,0.959318840592 
89,l,l,0.01,0,0.6,0.3,1,0.3,0.865161104252 
90,l,l,0.3,0,0.1,0.3,2,-0.2,0.919015259275 
91,l,l,0.4,0,0.2,0.3,2,-0.1,0.83631072501 
92,r,r,0.5,0.3,0.6,0,2,0.2,1.2726860436 
93,l,r,0.2,0.3,0.5,0,1,-0.1,1.87750257478 
94,r,r,0.9,0.3,0.65,0,1,0.6,1.31230059824 
95,l,l,0.01,0,0.9,0.3,1,0.6,0.836241182378 
96,l,l,0.1,0,0.3,0.3,2,0.0,0.836378987715 
97,l,l,0.5,0,0.7,0.3,1,0.4,0.856816841775 
98,l,l,0.2,0,0.6,0.3,1,0.3,0.836303472097 
99,l,r,0.9,0.3,0.5,0,1,0.6,1.43748757405 
100,r,r,0.3,0.3,0.1,0,2,0.0,0.883311304389 
101,l,l,0.1,0,0.4,0.3,2,0.1,0.836942155037 
102,l,l,0.6,0,0.3,0.3,2,0.0,0.83694300832 
103,r,l,0.01,0,0.55,0.3,1,0.25,1.17674195759 
104,r,r,0.55,0.3,0.1,0,1,0.25,0.836203211248 
105,r,r,0.6,0.3,0.7,0,1,0.3,0.836286833063 
106,r,r,0.2,0.3,0.9,0,1,-0.1,0.836442984002 
107,l,r,0.2,0.3,0.5,0,2,-0.1,1.49410338216 
108,l,l,0.2,0,0.65,0.3,1,0.35,0.836044500458 
109,l,l,0.55,0,0.7,0.3,1,0.4,0.895723170837 
110,r,r,0.4,0.3,0.6,0,2,0.1,0.892577113392 
111,l,l,0.4,0,0.3,0.3,2,0.0,0.836535991938 
112,r,r,0.65,0.3,0.55,0,1,0.35,0.836674650559 
113,l,l,0.3,0,0.9,0.3,1,0.6,0.895140377988 
114,r,r,0.01,0.3,0.65,0,2,-0.29,0.83700103162 
115,r,l,0.65,0,0.55,0.3,2,0.25,1.08979574945 
116,l,l,0.5,0,0.01,0.3,2,-0.29,0.836765098644 
117,l,r,0.7,0.3,0.3,0,1,0.4,1.06955457731 
118,l,r,0.6,0.3,0.55,0,1,0.3,0.93031871004 
119,l,r,0.5,0.3,0.65,0,2,0.2,1.23714165279 
120,l,l,0.9,0,0.5,0.3,2,0.2,0.837209232872 
121,l,l,0.4,0,0.4,0.3,1,0.1,0.961868452647 
122,r,r,0.7,0.3,0.1,0,1,0.4,0.851821718292 
123,r,r,0.7,0.3,0.3,0,1,0.4,0.836517219694 
124,r,r,0.5,0.3,0.65,0,2,0.2,0.936359106202 
125,r,r,0.5,0.3,0.3,0,1,0.2,0.836825681795 
126,r,r,0.7,0.3,0.3,0,1,0.4,1.30505877846 
127,r,r,0.6,0.3,0.55,0,1,0.3,0.836692142877 
128,l,l,0.55,0,0.4,0.3,1,0.1,0.836975006464 
129,l,l,0.2,0,0.1,0.3,2,-0.2,0.961575349654 
130,l,l,0.6,0,0.7,0.3,1,0.4,0.836086311365 
131,l,l,0.9,0,0.2,0.3,2,-0.1,0.946323754654 
132,l,l,0.1,0,0.4,0.3,2,0.1,0.869104982068 
133,r,r,0.5,0.3,0.55,0,1,0.2,1.04993032938 
134,l,r,0.65,0.3,0.5,0,1,0.35,1.08074966103 
135,r,r,0.6,0.3,0.1,0,1,0.3,1.29358979063 
136,l,l,0.9,0,0.5,0.3,2,0.2,2.51340338225 
137,r,r,0.5,0.3,0.2,0,1,0.2,0.970177730487 
138,r,l,0.7,0,0.3,0.3,1,0.0,1.15505660258 
139,l,l,0.55,0,0.3,0.3,2,0.0,0.97186040618 
140,l,r,0.6,0.3,0.1,0,1,0.3,0.853692116425 
141,r,r,0.1,0.3,0.4,0,2,-0.2,1.05152597012 
142,r,r,0.55,0.3,0.55,0,1,0.25,0.961335150259 
143,r,r,0.01,0.3,0.55,0,2,-0.29,0.836913996671 
144,l,l,0.7,0,0.2,0.3,2,-0.1,0.929043477371 
145,r,r,0.01,0.3,0.6,0,2,-0.29,0.836691716235 
146,r,l,0.1,0,0.6,0.3,1,0.3,0.987765616587 
147,r,r,0.3,0.3,0.65,0,2,0.0,2.25154508368 
148,r,r,0.65,0.3,0.4,0,1,0.35,0.836247155365 
149,r,r,0.55,0.3,0.3,0,1,0.25,2.09415944291 
150,r,r,0.2,0.3,0.5,0,2,-0.1,0.836182732437 
151,l,l,0.2,0,0.7,0.3,1,0.4,0.836327364044 
152,r,l,0.6,0,0.01,0.3,2,-0.29,1.64833315272 
153,l,r,0.2,0.3,0.4,0,2,-0.1,0.845129413291 
154,r,r,0.4,0.3,0.4,0,1,0.1,1.29200609586 
155,l,l,0.3,0,0.7,0.3,1,0.4,0.855799727461 
156,r,r,0.01,0.3,0.7,0,1,-0.29,0.981650131448 
157,r,r,0.9,0.3,0.65,0,1,0.6,0.836096977413 
158,l,r,0.5,0.3,0.4,0,1,0.2,1.04533198287 
159,r,l,0.3,0,0.7,0.3,1,0.4,2.18016021257 
160,r,l,0.7,0,0.2,0.3,1,-0.1,1.1059782771 
161,r,r,0.65,0.3,0.7,0,1,0.35,0.836306031949 
162,l,l,0.01,0,0.7,0.3,1,0.4,0.836451943482 
163,l,l,0.4,0,0.6,0.3,1,0.3,0.836530445593 
164,l,l,0.1,0,0.65,0.3,1,0.35,0.836607241137 
165,r,l,0.9,0,0.3,0.3,1,0.0,1.63315749998 
166,l,l,0.55,0,0.3,0.3,1,0.0,1.13499248684 
167,r,r,0.65,0.3,0.01,0,1,0.35,1.03277975123 
168,r,r,0.2,0.3,0.2,0,2,-0.1,0.992625067943 
169,r,r,0.6,0.3,0.4,0,1,0.3,0.86447506406 
170,l,l,0.5,0,0.9,0.3,1,0.6,0.902298149313 
171,l,l,0.1,0,0.4,0.3,2,0.1,1.09815281119 
172,r,r,0.5,0.3,0.3,0,1,0.2,0.836611934198 
173,r,r,0.4,0.3,0.9,0,2,0.1,1.25385150984 
174,r,r,0.9,0.3,0.7,0,1,0.6,0.836386240628 
175,l,r,0.9,0.3,0.6,0,1,0.6,1.08948728735 
176,r,r,0.9,0.3,0.7,0,1,0.6,0.836075645317 
177,r,r,0.1,0.3,0.7,0,2,-0.2,0.836434451164 
178,l,l,0.6,0,0.4,0.3,2,0.1,0.836435731089 
179,l,r,0.9,0.3,0.7,0,1,0.6,0.945885593412 
180,l,r,0.5,0.3,0.5,0,1,0.2,1.77274492019 
181,r,l,0.2,0,0.6,0.3,2,0.3,1.01156284905 
182,l,r,0.65,0.3,0.4,0,1,0.35,1.69933819307 
183,r,r,0.5,0.3,0.6,0,2,0.2,0.894213285117 
184,r,r,0.7,0.3,0.01,0,1,0.4,0.837339358655 
185,r,r,0.55,0.3,0.9,0,1,0.25,1.0578342974 
186,r,l,0.01,0,0.01,0.3,2,-0.29,0.863661031296 
187,r,l,0.5,0,0.01,0.3,2,-0.29,1.10148403122 
188,l,l,0.6,0,0.7,0.3,1,0.4,1.6573259109 
189,r,r,0.65,0.3,0.55,0,2,0.35,1.99712400688 
190,l,r,0.2,0.3,0.01,0,2,-0.1,0.97199437174 
191,l,r,0.5,0.3,0.7,0,1,0.2,1.11674757219 
192,r,r,0.4,0.3,0.01,0,1,0.1,0.837440472788 
193,l,r,0.5,0.3,0.65,0,2,0.2,1.00742698237 
194,r,r,0.4,0.3,0.65,0,1,0.1,1.0392813473 
195,r,r,0.6,0.3,0.2,0,1,0.3,0.836289392914 
196,r,r,0.65,0.3,0.55,0,1,0.35,0.836430184744 
197,r,l,0.9,0,0.2,0.3,2,-0.1,1.05082158433 
198,r,l,0.01,0,0.1,0.3,2,-0.2,0.836064125986 
199,l,l,0.4,0,0.3,0.3,2,0.0,0.836334616957 
200,l,r,0.65,0.3,0.7,0,2,0.35,1.85431672018 
201,r,l,0.3,0,0.55,0.3,1,0.25,1.07179146085 
202,l,l,0.7,0,0.01,0.3,2,-0.29,0.836342296511 
203,r,r,0.4,0.3,0.6,0,2,0.1,0.836515513127 
204,r,l,0.9,0,0.2,0.3,2,-0.1,1.93031103049 
205,r,r,0.6,0.3,0.4,0,1,0.3,0.915104659527 
206,l,l,0.7,0,0.1,0.3,2,-0.2,0.836381974209 
207,r,l,0.9,0,0.5,0.3,2,0.2,0.893780243578 
208,l,r,0.01,0.3,0.01,0,2,-0.29,0.836662277944 
209,l,l,0.01,0,0.1,0.3,2,-0.2,0.836680196904 
210,l,l,0.9,0,0.9,0.3,1,0.6,0.836838907694 
211,r,r,0.65,0.3,0.4,0,1,0.35,1.57514273305 
212,r,r,0.4,0.3,0.2,0,2,0.1,0.966958290634 
213,l,l,0.65,0,0.6,0.3,1,0.3,0.836962207206 
214,l,l,0.01,0,0.65,0.3,1,0.35,0.838647016109 
215,l,r,0.1,0.3,0.1,0,2,-0.2,0.836163960193 
216,r,l,0.3,0,0.3,0.3,2,0.0,0.836218143715 
217,r,r,0.3,0.3,0.01,0,2,0.0,0.979237898089 
218,r,r,0.55,0.3,0.4,0,1,0.25,0.8361477478 
219,l,l,0.4,0,0.2,0.3,2,-0.1,0.836387093912 
220,r,r,0.1,0.3,0.3,0,2,-0.2,0.836338883376 
221,l,l,0.4,0,0.6,0.3,1,0.3,1.3445675259 
222,l,r,0.4,0.3,0.7,0,1,0.1,1.86640263221 
223,r,l,0.3,0,0.65,0.3,1,0.35,1.66215677725 
224,r,r,0.5,0.3,0.5,0,1,0.2,0.929970143599 
225,l,r,0.55,0.3,0.3,0,1,0.25,1.03783759108 
226,r,l,0.6,0,0.55,0.3,1,0.25,0.939647235403 
227,r,r,0.9,0.3,0.9,0,1,0.6,0.838484038899 
228,r,l,0.6,0,0.5,0.3,2,0.2,1.35732497229 
229,l,l,0.3,0,0.65,0.3,1,0.35,0.83665246518 
230,r,l,0.2,0,0.1,0.3,2,-0.2,1.06907076539 
231,l,l,0.3,0,0.01,0.3,2,-0.29,1.06584236605 
232,r,l,0.9,0,0.6,0.3,1,0.3,1.09474607553 
233,r,r,0.3,0.3,0.1,0,2,0.0,1.09949545328 
234,r,l,0.55,0,0.9,0.3,1,0.6,1.52735926577 
235,l,l,0.9,0,0.55,0.3,2,0.25,1.71311958005 
236,l,r,0.3,0.3,0.6,0,1,0.0,0.963028492 
237,r,r,0.3,0.3,0.65,0,2,0.0,0.835987757084 
238,r,r,0.7,0.3,0.55,0,1,0.4,1.17160476235 
239,l,r,0.55,0.3,0.4,0,2,0.25,1.29253001213 
240,r,r,0.7,0.3,0.01,0,1,0.4,0.836227103195 
241,l,r,0.6,0.3,0.01,0,1,0.3,1.26312670497 
242,l,l,0.6,0,0.1,0.3,2,-0.2,0.923937000349 
243,l,l,0.1,0,0.1,0.3,2,-0.2,0.836615347333 
244,r,r,0.2,0.3,0.9,0,2,-0.1,0.918689304855 
245,l,r,0.01,0.3,0.1,0,2,-0.29,0.836351682633 
246,r,l,0.2,0,0.2,0.3,2,-0.1,0.880333343857 
247,l,r,0.2,0.3,0.9,0,2,-0.1,1.89315521318 
248,r,r,0.2,0.3,0.3,0,2,-0.1,0.836343149795 
249,r,r,0.65,0.3,0.65,0,1,0.35,0.836455783259 
