# Time : Fri Feb 10 09:56:13 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# full_screen : True 
# break_trials : 50 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : AB_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# n_trials : 250 
# res : 128 
# cue_dur : 0.5 
# center_size : 3 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# refresh_rate : 60 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0591C698> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0591C878> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# rgb : [ 1.  1.  1.] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.5,0.3,0.55,0,1,0.2,1.24516678712 
1,l,l,0.6,0,0.55,0.3,1,0.25,1.06693670255 
2,r,r,0.2,0.3,0.3,0,2,-0.1,2.31970923501 
3,l,r,0.4,0.3,0.7,0,1,0.1,1.58448405767 
4,l,l,0.2,0,0.2,0.3,2,-0.1,1.60938074633 
5,r,r,0.55,0.3,0.01,0,1,0.25,0.984215102612 
6,l,l,0.4,0,0.2,0.3,2,-0.1,1.09706188782 
7,r,r,0.7,0.3,0.5,0,1,0.4,0.97298162112 
8,l,r,0.3,0.3,0.4,0,1,0.0,1.40671218651 
9,r,r,0.2,0.3,0.65,0,2,-0.1,1.49351589625 
10,r,l,0.4,0,0.1,0.3,1,-0.2,1.16031197763 
11,l,l,0.3,0,0.55,0.3,1,0.25,1.92215321052 
12,l,l,0.3,0,0.4,0.3,1,0.1,2.15491154433 
13,l,l,0.1,0,0.4,0.3,1,0.1,1.649655316 
14,r,r,0.5,0.3,0.01,0,1,0.2,0.88647656072 
15,l,l,0.3,0,0.3,0.3,2,0.0,1.40331483698 
16,l,l,0.65,0,0.9,0.3,1,0.6,1.06613760226 
17,r,r,0.9,0.3,0.4,0,1,0.6,2.89591729291 
18,r,r,0.4,0.3,0.4,0,1,0.1,1.35166940713 
19,l,r,0.1,0.3,0.01,0,1,-0.2,1.0645031371 
20,r,l,0.7,0,0.9,0.3,1,0.6,1.14233115433 
21,l,l,0.5,0,0.01,0.3,1,-0.29,1.74515569443 
22,l,r,0.7,0.3,0.9,0,1,0.4,1.81794976377 
23,r,l,0.6,0,0.2,0.3,2,-0.1,2.17570991081 
24,l,l,0.6,0,0.9,0.3,1,0.6,0.893531084703 
25,r,r,0.4,0.3,0.01,0,1,0.1,0.836316697996 
26,l,l,0.7,0,0.7,0.3,1,0.4,0.953215728069 
27,l,l,0.5,0,0.2,0.3,2,-0.1,1.45804062143 
28,l,l,0.4,0,0.01,0.3,2,-0.29,1.15085673962 
29,r,l,0.7,0,0.2,0.3,2,-0.1,1.70567937178 
30,r,r,0.4,0.3,0.55,0,2,0.1,1.53148403975 
31,r,r,0.2,0.3,0.1,0,1,-0.1,1.27729633608 
32,l,l,0.6,0,0.6,0.3,1,0.3,1.06511110182 
33,l,l,0.9,0,0.01,0.3,2,-0.29,1.18297647582 
34,r,r,0.3,0.3,0.6,0,1,0.0,1.71177267154 
35,l,l,0.9,0,0.2,0.3,2,-0.1,1.34554368259 
36,l,l,0.4,0,0.2,0.3,2,-0.1,1.04244361714 
37,l,l,0.55,0,0.7,0.3,1,0.4,0.914227057118 
38,l,l,0.2,0,0.65,0.3,1,0.35,1.04622195789 
39,l,l,0.01,0,0.55,0.3,1,0.25,1.675878861 
40,l,r,0.7,0.3,0.6,0,2,0.4,2.09467098656 
41,l,l,0.7,0,0.01,0.3,2,-0.29,1.34554538915 
42,r,r,0.5,0.3,0.65,0,1,0.2,1.50739754408 
43,l,r,0.5,0.3,0.5,0,2,0.2,1.12518313604 
44,r,r,0.4,0.3,0.65,0,1,0.1,1.22491836207 
45,r,l,0.7,0,0.7,0.3,1,0.4,1.78274711313 
46,r,r,0.5,0.3,0.9,0,2,0.2,1.57457487267 
47,l,r,0.55,0.3,0.1,0,1,0.25,1.1503434894 
48,r,r,0.6,0.3,0.9,0,1,0.3,1.50422716804 
49,r,r,0.65,0.3,0.1,0,1,0.35,1.84209726924 
50,r,l,0.7,0,0.9,0.3,1,0.6,1.21582064998 
51,l,l,0.9,0,0.55,0.3,1,0.25,1.09746207793 
52,l,r,0.3,0.3,0.65,0,1,0.0,1.60523464025 
53,l,l,0.3,0,0.7,0.3,1,0.4,0.868110479776 
54,l,r,0.4,0.3,0.3,0,1,0.1,1.20086002476 
55,r,r,0.3,0.3,0.2,0,2,0.0,1.92875080102 
56,r,r,0.01,0.3,0.5,0,2,-0.29,1.65746286295 
57,l,l,0.6,0,0.4,0.3,2,0.1,0.949316647653 
58,l,r,0.4,0.3,0.4,0,2,0.1,1.16122755117 
59,l,r,0.55,0.3,0.2,0,1,0.25,1.06706000206 
60,l,l,0.3,0,0.01,0.3,2,-0.29,1.50477966932 
61,l,r,0.9,0.3,0.9,0,1,0.6,1.16266064135 
62,l,l,0.01,0,0.4,0.3,2,0.1,1.57251504553 
63,r,r,0.1,0.3,0.55,0,2,-0.2,1.59621201714 
64,r,r,0.7,0.3,0.65,0,2,0.4,0.883135101281 
65,l,l,0.2,0,0.5,0.3,1,0.2,0.960934106864 
66,r,r,0.65,0.3,0.5,0,1,0.35,1.17879794495 
67,r,l,0.4,0,0.5,0.3,1,0.2,1.50765694236 
68,l,l,0.4,0,0.5,0.3,1,0.2,0.958390894438 
69,l,r,0.5,0.3,0.2,0,1,0.2,1.24021262126 
70,r,l,0.4,0,0.65,0.3,1,0.35,1.23802693476 
71,l,l,0.1,0,0.65,0.3,1,0.35,0.995851334067 
72,l,r,0.1,0.3,0.3,0,2,-0.2,1.85268438823 
73,l,l,0.5,0,0.4,0.3,1,0.1,1.11250205855 
74,l,r,0.6,0.3,0.9,0,2,0.3,1.55633123795 
75,r,r,0.3,0.3,0.9,0,2,0.0,1.8291256486 
76,l,l,0.65,0,0.65,0.3,1,0.35,1.0100252316 
77,r,r,0.55,0.3,0.7,0,1,0.25,1.26575183264 
78,l,l,0.2,0,0.6,0.3,1,0.3,0.854580384882 
79,r,l,0.7,0,0.55,0.3,1,0.25,1.05343177953 
80,r,r,0.4,0.3,0.7,0,2,0.1,1.24227970132 
81,r,r,0.55,0.3,0.9,0,1,0.25,1.09627771999 
82,l,r,0.5,0.3,0.4,0,2,0.2,1.30090840595 
83,l,l,0.3,0,0.9,0.3,1,0.6,0.952786526307 
84,l,l,0.65,0,0.9,0.3,1,0.6,0.930565735706 
85,r,l,0.6,0,0.1,0.3,2,-0.2,1.14942364944 
86,l,l,0.2,0,0.5,0.3,1,0.2,0.959341879255 
87,r,r,0.6,0.3,0.65,0,2,0.3,1.30509290981 
88,l,l,0.1,0,0.3,0.3,2,0.0,1.26789826809 
89,r,r,0.1,0.3,0.55,0,2,-0.2,1.37771290925 
90,l,l,0.7,0,0.55,0.3,2,0.25,1.06455476077 
91,r,r,0.4,0.3,0.6,0,2,0.1,1.03138548547 
92,r,r,0.7,0.3,0.9,0,1,0.4,1.05420314811 
93,l,r,0.1,0.3,0.4,0,1,-0.2,1.35609411038 
94,l,l,0.9,0,0.6,0.3,2,0.3,1.14091726304 
95,l,l,0.55,0,0.6,0.3,1,0.3,1.22270153071 
96,r,r,0.7,0.3,0.7,0,2,0.4,1.86146553203 
97,l,l,0.65,0,0.1,0.3,2,-0.2,1.17737552082 
98,r,r,0.4,0.3,0.6,0,2,0.1,1.73819076525 
99,r,r,0.1,0.3,0.4,0,2,-0.2,1.65087977828 
100,l,l,0.2,0,0.9,0.3,1,0.6,0.839783590158 
101,r,r,0.1,0.3,0.5,0,2,-0.2,0.983500904054 
102,l,l,0.5,0,0.9,0.3,1,0.6,0.881318886669 
103,l,l,0.1,0,0.6,0.3,1,0.3,0.927171799311 
104,l,l,0.65,0,0.7,0.3,1,0.4,1.7140078485 
105,r,r,0.9,0.3,0.01,0,1,0.6,0.947724846686 
106,l,l,0.2,0,0.1,0.3,2,-0.2,1.76664095438 
107,l,r,0.3,0.3,0.3,0,2,0.0,0.902456006819 
108,r,r,0.5,0.3,0.55,0,1,0.2,1.2022581303 
109,r,r,0.3,0.3,0.5,0,2,0.0,1.30611258397 
110,l,r,0.3,0.3,0.6,0,1,0.0,1.31692283669 
111,l,r,0.3,0.3,0.55,0,1,0.0,1.4556979307 
112,r,r,0.3,0.3,0.4,0,2,0.0,1.56457225309 
113,r,r,0.01,0.3,0.01,0,2,-0.29,0.997311729325 
114,r,l,0.9,0,0.9,0.3,1,0.6,1.42924271914 
115,r,l,0.2,0,0.55,0.3,2,0.25,1.41099055159 
116,r,r,0.01,0.3,0.6,0,2,-0.29,0.906770209814 
117,l,l,0.01,0,0.7,0.3,1,0.4,1.57462521641 
118,l,l,0.65,0,0.01,0.3,2,-0.29,1.27041204222 
119,l,l,0.1,0,0.3,0.3,2,0.0,1.61823399261 
120,r,l,0.65,0,0.1,0.3,2,-0.2,1.33805825027 
121,l,l,0.5,0,0.4,0.3,2,0.1,1.53086114256 
122,l,l,0.01,0,0.55,0.3,2,0.25,0.845667835381 
123,l,l,0.1,0,0.2,0.3,2,-0.1,0.931538905902 
124,r,r,0.7,0.3,0.2,0,1,0.4,0.863357688898 
125,r,r,0.5,0.3,0.2,0,1,0.2,1.93316995792 
126,r,r,0.5,0.3,0.01,0,1,0.2,0.974070411274 
127,l,l,0.3,0,0.6,0.3,1,0.3,1.59086662065 
128,r,r,0.1,0.3,0.2,0,2,-0.2,1.01463509744 
129,r,r,0.65,0.3,0.1,0,1,0.35,1.63051530663 
130,l,r,0.01,0.3,0.4,0,2,-0.29,2.82728980846 
131,l,l,0.65,0,0.4,0.3,1,0.1,1.04699289983 
132,r,r,0.6,0.3,0.2,0,1,0.3,0.924898224572 
133,l,l,0.3,0,0.55,0.3,1,0.25,1.54467452769 
134,l,l,0.1,0,0.9,0.3,1,0.6,0.961535245315 
135,r,r,0.4,0.3,0.01,0,2,0.1,1.62739271449 
136,l,l,0.5,0,0.6,0.3,1,0.3,1.00913482994 
137,r,r,0.6,0.3,0.1,0,1,0.3,1.71302998525 
138,r,r,0.7,0.3,0.9,0,1,0.4,1.09886615646 
139,l,l,0.9,0,0.9,0.3,1,0.6,1.23867713703 
140,r,r,0.5,0.3,0.1,0,2,0.2,1.95639293037 
141,l,l,0.2,0,0.65,0.3,1,0.35,0.844218106171 
142,r,r,0.01,0.3,0.2,0,2,-0.29,1.02706872263 
143,l,l,0.7,0,0.2,0.3,2,-0.1,0.836132815333 
144,l,r,0.2,0.3,0.3,0,2,-0.1,0.872806953922 
145,r,r,0.4,0.3,0.6,0,1,0.1,1.20656892016 
146,l,l,0.2,0,0.5,0.3,1,0.2,1.09339874038 
147,r,r,0.65,0.3,0.55,0,1,0.35,1.48923070491 
148,l,r,0.5,0.3,0.01,0,1,0.2,1.35704040214 
149,r,r,0.1,0.3,0.7,0,2,-0.2,1.09385311402 
150,l,l,0.01,0,0.4,0.3,2,0.1,0.889696427215 
151,r,r,0.01,0.3,0.1,0,2,-0.29,0.918230664802 
152,r,r,0.3,0.3,0.4,0,2,0.0,0.83661236084 
153,l,r,0.55,0.3,0.65,0,1,0.25,1.65787542568 
154,l,r,0.65,0.3,0.01,0,1,0.35,1.98169578213 
155,l,l,0.2,0,0.3,0.3,2,0.0,3.38045834994 
156,r,r,0.01,0.3,0.01,0,2,-0.29,0.836049620161 
157,l,l,0.65,0,0.01,0.3,2,-0.29,0.839038673383 
158,r,r,0.1,0.3,0.1,0,2,-0.2,0.836273607164 
159,r,r,0.01,0.3,0.4,0,2,-0.29,1.10089483874 
160,r,l,0.55,0,0.5,0.3,1,0.2,1.6085466614 
161,r,r,0.5,0.3,0.5,0,1,0.2,1.33538704527 
162,l,l,0.5,0,0.01,0.3,2,-0.29,1.24922841811 
163,l,r,0.2,0.3,0.55,0,2,-0.1,1.56700453862 
164,l,r,0.7,0.3,0.55,0,1,0.4,1.99881734863 
165,r,r,0.01,0.3,0.2,0,2,-0.29,0.853770191895 
166,r,l,0.5,0,0.1,0.3,2,-0.2,1.31549315965 
167,l,r,0.6,0.3,0.1,0,2,0.3,1.34238610581 
168,l,r,0.2,0.3,0.1,0,2,-0.1,0.840141969362 
169,r,r,0.6,0.3,0.55,0,2,0.3,1.17492062327 
170,l,l,0.9,0,0.65,0.3,2,0.35,0.967871730963 
171,r,l,0.6,0,0.2,0.3,2,-0.1,1.04068798568 
172,r,r,0.3,0.3,0.4,0,2,0.0,1.3994720733 
173,r,l,0.1,0,0.55,0.3,1,0.25,1.18226014405 
174,l,l,0.01,0,0.7,0.3,1,0.4,1.93511672496 
175,r,l,0.3,0,0.55,0.3,1,0.25,1.78388454046 
176,r,r,0.65,0.3,0.7,0,1,0.35,1.31172761815 
177,r,r,0.5,0.3,0.55,0,2,0.2,0.874543386496 
178,r,l,0.9,0,0.2,0.3,2,-0.1,1.16840494802 
179,r,l,0.55,0,0.4,0.3,2,0.1,1.14529076926 
180,l,l,0.65,0,0.2,0.3,2,-0.1,1.64303170035 
181,l,l,0.5,0,0.01,0.3,2,-0.29,1.16877356663 
182,r,r,0.3,0.3,0.1,0,2,0.0,1.12058265632 
183,r,r,0.1,0.3,0.6,0,2,-0.2,0.915422081108 
184,r,r,0.65,0.3,0.9,0,1,0.35,1.03927580096 
185,r,l,0.65,0,0.5,0.3,2,0.2,0.870118256605 
186,l,r,0.55,0.3,0.01,0,1,0.25,1.17095584 
187,l,l,0.3,0,0.6,0.3,1,0.3,1.23577810525 
188,l,l,0.1,0,0.65,0.3,1,0.35,0.913601173436 
189,r,l,0.55,0,0.4,0.3,1,0.1,2.10142472799 
190,l,l,0.5,0,0.6,0.3,1,0.3,0.855213094835 
191,r,r,0.01,0.3,0.01,0,2,-0.29,1.55603514847 
192,l,r,0.9,0.3,0.01,0,1,0.6,2.15784769396 
193,l,l,0.65,0,0.65,0.3,1,0.35,1.07763261524 
194,r,l,0.7,0,0.2,0.3,2,-0.1,2.93050899233 
195,r,r,0.01,0.3,0.3,0,2,-0.29,1.20924695143 
196,l,r,0.6,0.3,0.5,0,1,0.3,0.968108943865 
197,r,l,0.6,0,0.55,0.3,1,0.25,1.08186618291 
198,l,r,0.65,0.3,0.6,0,1,0.35,1.47067306174 
199,l,r,0.7,0.3,0.7,0,1,0.4,2.21848033565 
200,l,r,0.3,0.3,0.55,0,1,0.0,1.51925861582 
