# Time : Fri Feb 10 10:15:36 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# full_screen : True 
# break_trials : 50 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : AB_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# n_trials : 250 
# res : 128 
# cue_dur : 0.5 
# center_size : 3 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# refresh_rate : 60 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05CEB508> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05B5F508> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# rgb : [ 1.  1.  1.] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,r,0.5,0.3,0.5,0,2,0.2,1.07281668136 
1,l,r,0.6,0.3,0.7,0,2,0.3,1.013643155 
2,r,r,0.7,0.3,0.9,0,2,0.4,0.860478709289 
3,l,l,0.65,0,0.55,0.3,2,0.25,1.1233238306 
4,r,l,0.9,0,0.1,0.3,2,-0.2,1.3261459815 
5,r,r,0.1,0.3,0.2,0,2,-0.2,1.02397727535 
6,r,r,0.9,0.3,0.4,0,1,0.6,1.50279194466 
7,l,l,0.2,0,0.5,0.3,2,0.2,1.48169962191 
8,l,r,0.65,0.3,0.3,0,2,0.35,1.11745025142 
9,l,l,0.2,0,0.55,0.3,2,0.25,0.836471142368 
10,r,r,0.4,0.3,0.4,0,2,0.1,0.836577376203 
11,r,l,0.65,0,0.9,0.3,2,0.6,0.926945679099 
12,l,l,0.4,0,0.7,0.3,2,0.4,0.836280433434 
13,l,l,0.4,0,0.4,0.3,2,0.1,0.836392213614 
14,l,l,0.65,0,0.6,0.3,2,0.3,0.836533432087 
15,r,r,0.01,0.3,0.7,0,2,-0.29,0.870337977188 
16,l,l,0.55,0,0.65,0.3,2,0.35,0.899219927932 
17,l,l,0.9,0,0.01,0.3,2,-0.29,0.936094161576 
18,l,l,0.3,0,0.3,0.3,2,0.0,0.836700675715 
19,l,l,0.7,0,0.5,0.3,2,0.2,0.836806056267 
20,r,r,0.6,0.3,0.5,0,2,0.3,0.835852084956 
21,r,r,0.01,0.3,0.55,0,2,-0.29,0.836098257338 
22,l,r,0.4,0.3,0.6,0,2,0.1,0.909253692372 
23,r,r,0.4,0.3,0.01,0,2,0.1,0.83614988101 
24,l,l,0.9,0,0.6,0.3,2,0.3,0.975957021801 
25,r,l,0.6,0,0.2,0.3,2,-0.1,0.835956612224 
26,r,l,0.6,0,0.55,0.3,2,0.25,0.836171213105 
27,r,r,0.9,0.3,0.4,0,2,0.6,0.836105083609 
28,r,r,0.65,0.3,0.5,0,2,0.35,0.861301274891 
29,r,r,0.3,0.3,0.1,0,2,0.0,0.836008235895 
30,r,r,0.1,0.3,0.65,0,2,-0.2,0.836113189805 
31,l,l,0.55,0,0.01,0.3,2,-0.29,0.836204064532 
32,r,r,0.7,0.3,0.01,0,2,0.4,0.871724563396 
33,l,r,0.3,0.3,0.7,0,2,0.0,0.8369071704 
34,l,l,0.1,0,0.1,0.3,2,-0.2,0.859387785925 
35,r,r,0.2,0.3,0.3,0,2,-0.1,0.836921249583 
36,l,l,0.55,0,0.7,0.3,2,0.4,0.835951919163 
37,l,r,0.9,0.3,0.1,0,2,0.6,0.90290739396 
38,l,l,0.7,0,0.3,0.3,2,0.0,0.914764199283 
39,r,r,0.01,0.3,0.7,0,2,-0.29,0.836812882538 
40,r,r,0.2,0.3,0.6,0,2,-0.1,0.836722434453 
41,l,l,0.2,0,0.7,0.3,2,0.4,0.98030578279 
42,l,r,0.2,0.3,0.5,0,2,-0.1,0.838118833424 
43,r,l,0.9,0,0.2,0.3,2,-0.1,0.955992313619 
44,l,l,0.5,0,0.6,0.3,2,0.3,0.85383376154 
45,l,l,0.2,0,0.5,0.3,2,0.2,0.836769791705 
46,r,r,0.2,0.3,0.2,0,2,-0.1,0.978585562608 
47,l,l,0.7,0,0.65,0.3,2,0.35,0.836595295164 
48,r,l,0.1,0,0.2,0.3,2,-0.1,0.883230242426 
49,l,l,0.65,0,0.2,0.3,2,-0.1,0.836342296511 
50,l,l,0.2,0,0.1,0.3,2,-0.2,0.83648052849 
51,l,l,0.65,0,0.55,0.3,2,0.25,0.836045353742 
52,l,r,0.01,0.3,0.6,0,2,-0.29,0.836140068246 
53,l,l,0.9,0,0.55,0.3,2,0.25,0.836112336521 
54,r,r,0.65,0.3,0.7,0,2,0.35,0.843113530266 
55,r,r,0.7,0.3,0.3,0,2,0.4,1.18596296919 
56,l,r,0.55,0.3,0.3,0,2,0.25,0.841776007878 
57,r,l,0.01,0,0.7,0.3,2,0.4,0.88063113991 
58,l,l,0.9,0,0.01,0.3,2,-0.29,0.836792403726 
59,r,r,0.3,0.3,0.01,0,2,0.0,1.16431259882 
60,l,l,0.3,0,0.3,0.3,2,0.0,0.83640245302 
61,l,l,0.6,0,0.1,0.3,2,-0.2,1.0050023764 
62,r,r,0.01,0.3,0.55,0,2,-0.29,0.836717741392 
63,r,r,0.3,0.3,0.01,0,2,0.0,0.836780031111 
64,l,l,0.55,0,0.7,0.3,2,0.4,0.881560792632 
65,l,l,0.2,0,0.1,0.3,2,-0.2,0.847377816157 
66,r,r,0.4,0.3,0.01,0,2,0.1,1.07020307302 
67,l,l,0.65,0,0.9,0.3,2,0.6,0.836466022665 
68,l,r,0.9,0.3,0.01,0,1,0.6,1.14595675728 
69,l,l,0.65,0,0.9,0.3,2,0.6,0.836322670983 
70,r,r,0.4,0.3,0.5,0,2,0.1,0.837157182559 
71,l,l,0.65,0,0.55,0.3,2,0.25,0.836531298877 
72,l,l,0.65,0,0.55,0.3,2,0.25,0.836779177827 
73,l,l,0.9,0,0.4,0.3,2,0.1,1.11110523293 
74,r,r,0.01,0.3,0.2,0,2,-0.29,0.937958586723 
75,r,r,0.9,0.3,0.01,0,2,0.6,0.836446823779 
76,r,r,0.3,0.3,0.1,0,2,0.0,0.939628463159 
77,l,l,0.65,0,0.6,0.3,2,0.3,1.32646510965 
78,l,l,0.5,0,0.5,0.3,2,0.2,0.836368748309 
79,l,r,0.2,0.3,0.01,0,2,-0.1,0.836594868522 
80,r,r,0.9,0.3,0.55,0,2,0.6,0.836591455386 
81,r,r,0.9,0.3,0.1,0,1,0.6,2.07680962299 
82,r,r,0.4,0.3,0.01,0,2,0.1,1.1835942533 
83,l,l,0.3,0,0.65,0.3,2,0.35,1.05541865091 
84,r,r,0.65,0.3,0.7,0,2,0.35,3.10921734248 
85,r,l,0.3,0,0.4,0.3,2,0.1,1.48496641902 
86,r,r,0.55,0.3,0.2,0,2,0.25,0.836647345477 
87,r,r,0.9,0.3,0.6,0,1,0.6,0.895624616556 
88,r,r,0.6,0.3,0.9,0,1,0.3,1.27547798826 
89,l,l,0.4,0,0.7,0.3,2,0.4,0.836376427864 
90,r,r,0.5,0.3,0.9,0,1,0.2,2.31112519978 
91,l,l,0.3,0,0.4,0.3,2,0.1,1.0638913326 
92,l,r,0.7,0.3,0.01,0,1,0.4,1.16573886273 
93,r,r,0.5,0.3,0.01,0,2,0.2,1.23858498238 
94,r,r,0.55,0.3,0.7,0,2,0.25,0.860465056748 
95,r,l,0.1,0,0.9,0.3,1,0.6,1.89025319491 
96,l,l,0.3,0,0.55,0.3,1,0.25,1.10905735177 
97,r,l,0.5,0,0.65,0.3,2,0.35,1.81687035974 
98,l,l,0.6,0,0.6,0.3,1,0.3,1.23864599217 
99,l,r,0.2,0.3,0.1,0,1,-0.1,1.42045432244 
100,r,l,0.7,0,0.3,0.3,1,0.0,1.53028474934 
101,r,r,0.01,0.3,0.2,0,2,-0.29,0.837049668798 
102,l,l,0.55,0,0.5,0.3,2,0.2,0.858723931113 
103,l,r,0.9,0.3,0.6,0,1,0.6,0.837096599408 
104,r,r,0.01,0.3,0.9,0,2,-0.29,1.60741179392 
105,r,l,0.4,0,0.55,0.3,1,0.25,1.97420480348 
106,r,r,0.6,0.3,0.7,0,1,0.3,0.845010380198 
107,l,l,0.2,0,0.5,0.3,1,0.2,1.2678504842 
108,r,l,0.5,0,0.4,0.3,2,0.1,2.0166441542 
109,l,l,0.55,0,0.4,0.3,2,0.1,1.14252356983 
110,r,l,0.6,0,0.1,0.3,1,-0.2,1.42425143544 
111,l,r,0.55,0.3,0.6,0,1,0.25,1.73409670948 
112,r,r,0.2,0.3,0.9,0,1,-0.1,1.359869038 
113,r,r,0.4,0.3,0.55,0,1,0.1,1.52069725234 
