# Time : Fri Feb 10 12:55:31 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# full_screen : True 
# break_trials : 50 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : ABn_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# n_trials : 75 
# res : 128 
# cue_dur : 0.5 
# center_size : 3 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# refresh_rate : 60 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x057A5DC8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x057DF9E0> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# rgb : [ 1.  1.  1.] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.01,0.3,0.5,0,2,-0.29,1.2829489875 
1,l,r,0.6,0.3,0.6,0,2,0.3,0.836735076983 
2,l,r,0.7,0.3,0.3,0,2,0.4,1.43059077707 
3,r,l,0.5,0,0.6,0.3,2,0.3,0.837412581446 
4,l,r,0.9,0.3,0.55,0,1,0.6,0.836743609785 
5,r,l,0.55,0,0.9,0.3,2,0.6,0.890130364146 
6,l,r,0.3,0.3,0.6,0,2,0.0,0.869843201234 
7,r,l,0.5,0,0.2,0.3,2,-0.1,0.867788502562 
8,r,l,0.55,0,0.9,0.3,1,0.6,0.836048186438 
9,r,l,0.3,0,0.7,0.3,2,0.4,1.455377713 
10,l,r,0.01,0.3,0.7,0,2,-0.29,1.34026040405 
11,l,r,0.65,0.3,0.9,0,2,0.35,1.73401166263 
12,r,l,0.65,0,0.55,0.3,2,0.25,0.835933846894 
13,r,l,0.01,0,0.5,0.3,2,0.2,1.36668393137 
14,l,r,0.6,0.3,0.2,0,1,0.3,1.02350104271 
15,l,r,0.5,0.3,0.01,0,2,0.2,1.11831710963 
16,l,r,0.1,0.3,0.4,0,2,-0.2,1.01713130617 
17,r,l,0.5,0,0.9,0.3,1,0.6,0.836095543488 
18,r,l,0.7,0,0.01,0.3,2,-0.29,0.836300757371 
19,l,r,0.7,0.3,0.01,0,2,0.4,1.17477225952 
20,l,r,0.3,0.3,0.4,0,2,0.0,1.09549869107 
21,l,r,0.4,0.3,0.1,0,2,0.1,0.995329997577 
22,r,l,0.3,0,0.2,0.3,2,-0.1,1.08421918037 
23,r,l,0.2,0,0.1,0.3,2,-0.2,1.05006749446 
24,l,r,0.2,0.3,0.7,0,2,-0.1,0.991866533327 
25,r,l,0.55,0,0.01,0.3,2,-0.29,0.864737599279 
26,r,l,0.1,0,0.01,0.3,2,-0.29,0.982560233048 
