# Time : Fri Feb 10 12:51:13 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# full_screen : True 
# break_trials : 50 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : ABn_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# n_trials : 75 
# res : 128 
# cue_dur : 0.5 
# center_size : 3 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# refresh_rate : 60 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x056F8080> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x057B29E0> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# rgb : [ 1.  1.  1.] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.55,0.3,0.3,0,1,0.25,0.836419363316 
1,r,l,0.65,0,0.5,0.3,2,0.2,1.2103719619 
2,r,l,0.4,0,0.65,0.3,1,0.35,1.36110945196 
3,r,l,0.55,0,0.55,0.3,1,0.25,1.70597372921 
4,r,l,0.4,0,0.2,0.3,2,-0.1,0.836708198657 
5,l,r,0.6,0.3,0.3,0,1,0.3,0.836875441573 
6,r,l,0.5,0,0.1,0.3,2,-0.2,0.836947117108 
7,l,r,0.4,0.3,0.65,0,1,0.1,1.28814546379 
8,r,l,0.4,0,0.6,0.3,2,0.3,0.836183004707 
9,l,r,0.2,0.3,0.5,0,2,-0.1,0.914823865905 
10,l,r,0.55,0.3,0.01,0,2,0.25,1.58266919693 
11,r,l,0.7,0,0.7,0.3,2,0.4,0.836088717247 
12,r,l,0.3,0,0.7,0.3,1,0.4,0.853331803118 
13,r,l,0.3,0,0.01,0.3,2,-0.29,0.836901466618 
14,l,r,0.1,0.3,0.55,0,1,-0.2,1.17802155044 
15,r,l,0.4,0,0.9,0.3,1,0.6,0.874854942369 
16,r,l,0.6,0,0.6,0.3,1,0.3,0.837695017185 
17,r,l,0.01,0,0.9,0.3,1,0.6,0.895545706806 
18,r,l,0.55,0,0.01,0.3,2,-0.29,1.31534846256 
19,r,l,0.1,0,0.65,0.3,1,0.35,1.02227061269 
20,r,l,0.9,0,0.5,0.3,1,0.2,1.3180870653 
21,l,r,0.1,0.3,0.55,0,2,-0.2,0.837730428313 
22,r,l,0.1,0,0.01,0.3,2,-0.29,0.903692825962 
23,l,r,0.4,0.3,0.5,0,1,0.1,1.42855613048 
24,r,l,0.2,0,0.2,0.3,2,-0.1,0.83743135361 
