# Time : Fri Feb 10 12:41:10 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# full_screen : True 
# break_trials : 50 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : ABn_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# n_trials : 75 
# res : 128 
# cue_dur : 0.5 
# center_size : 3 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# refresh_rate : 60 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x059813F0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05981468> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# rgb : [ 1.  1.  1.] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.1,0,0.4,0.3,2,0.1,1.62001599047 
1,r,l,0.4,0,0.2,0.3,2,-0.1,0.969857024373 
2,l,r,0.1,0.3,0.65,0,2,-0.2,1.00372030158 
3,r,l,0.9,0,0.55,0.3,2,0.25,1.06656907986 
4,l,r,0.5,0.3,0.01,0,1,0.2,1.24030460396 
5,r,l,0.01,0,0.55,0.3,1,0.25,0.974119585511 
6,r,l,0.2,0,0.2,0.3,2,-0.1,0.835970537942 
7,r,l,0.4,0,0.1,0.3,2,-0.2,0.836048613078 
8,l,r,0.5,0.3,0.3,0,1,0.2,1.06063664941 
9,l,r,0.6,0.3,0.01,0,1,0.3,1.19448047183 
10,r,l,0.3,0,0.01,0.3,2,-0.29,1.45028405697 
11,r,l,0.7,0,0.9,0.3,1,0.6,1.0001032469 
12,r,l,0.3,0,0.2,0.3,1,-0.1,1.07203647261 
13,l,r,0.4,0.3,0.1,0,2,0.1,0.996839450215 
14,l,r,0.3,0.3,0.3,0,2,0.0,0.837478284019 
15,l,r,0.3,0.3,0.4,0,1,0.0,25.2438866742 
16,l,r,0.3,0.3,0.55,0,2,0.0,1.10498716667 
17,l,r,0.65,0.3,0.3,0,1,0.35,0.835803721667 
18,l,r,0.55,0.3,0.7,0,1,0.25,0.9086247854 
19,r,l,0.65,0,0.2,0.3,1,-0.1,1.61046010574 
20,r,l,0.5,0,0.7,0.3,1,0.4,1.10823816415 
21,r,l,0.5,0,0.1,0.3,2,-0.2,0.829546191469 
22,r,l,0.1,0,0.4,0.3,2,0.1,0.830610658493 
23,l,r,0.7,0.3,0.55,0,1,0.4,0.84564844174 
24,l,r,0.7,0.3,0.01,0,1,0.4,0.853567308447 
25,r,l,0.01,0,0.1,0.3,2,-0.2,0.836779020912 
26,r,l,0.2,0,0.65,0.3,1,0.35,0.960278527716 
27,l,r,0.01,0.3,0.1,0,2,-0.29,0.833190551117 
28,l,r,0.9,0.3,0.7,0,1,0.6,0.829381081754 
29,l,r,0.01,0.3,0.4,0,2,-0.29,0.853319430555 
30,l,r,0.3,0.3,0.1,0,2,0.0,0.851754514705 
31,l,r,0.1,0.3,0.7,0,2,-0.2,0.842541221965 
32,l,r,0.65,0.3,0.65,0,1,0.35,1.72545710219 
33,r,l,0.01,0,0.3,0.3,2,0.0,0.842872294675 
34,l,r,0.6,0.3,0.9,0,2,0.3,0.853420970896 
35,l,r,0.01,0.3,0.6,0,2,-0.29,0.840327813179 
36,l,r,0.9,0.3,0.2,0,1,0.6,0.846374583173 
37,l,r,0.65,0.3,0.55,0,1,0.35,0.903644188991 
38,l,r,0.1,0.3,0.55,0,2,-0.2,1.4893706888 
39,r,l,0.6,0,0.3,0.3,2,0.0,0.829497127859 
40,r,l,0.55,0,0.5,0.3,2,0.2,0.915068330677 
41,r,l,0.4,0,0.9,0.3,1,0.6,0.965835088246 
42,l,r,0.1,0.3,0.9,0,2,-0.2,0.845694518869 
43,r,l,0.65,0,0.7,0.3,1,0.4,0.836468426927 
44,r,l,0.4,0,0.5,0.3,1,0.2,0.863371071071 
45,l,r,0.6,0.3,0.1,0,2,0.3,1.21421982887 
46,r,l,0.5,0,0.4,0.3,2,0.1,0.919126531211 
47,r,l,0.1,0,0.9,0.3,1,0.6,0.829473662654 
48,r,l,0.5,0,0.55,0.3,1,0.25,0.941719683808 
49,l,r,0.6,0.3,0.9,0,1,0.3,1.26254663176 
50,r,l,0.65,0,0.55,0.3,1,0.25,0.829431851925 
51,r,l,0.6,0,0.01,0.3,2,-0.29,0.836534129501 
52,l,r,0.55,0.3,0.9,0,1,0.25,1.07901929096 
53,r,l,0.3,0,0.65,0.3,1,0.35,0.995852205047 
54,r,l,0.5,0,0.65,0.3,1,0.35,1.21976956315 
55,l,r,0.5,0.3,0.2,0,1,0.2,0.837110520262 
56,r,l,0.55,0,0.4,0.3,2,0.1,0.837258564373 
57,r,l,0.2,0,0.65,0.3,2,0.35,0.837376743678 
58,l,r,0.5,0.3,0.5,0,1,0.2,0.863170976869 
59,l,r,0.7,0.3,0.4,0,1,0.4,0.836382245629 
60,l,r,0.3,0.3,0.6,0,2,0.0,0.883730336158 
61,l,r,0.2,0.3,0.7,0,2,-0.1,0.837388689601 
62,r,l,0.65,0,0.4,0.3,1,0.1,1.18450391997 
63,l,r,0.7,0.3,0.9,0,1,0.4,1.36223748835 
64,r,l,0.5,0,0.55,0.3,2,0.25,0.938228914593 
65,l,r,0.9,0.3,0.2,0,1,0.6,0.836119861973 
66,l,r,0.5,0.3,0.7,0,1,0.2,1.14671214081 
67,r,l,0.6,0,0.01,0.3,2,-0.29,1.26157517228 
68,l,r,0.6,0.3,0.2,0,1,0.3,4.29933879319 
69,r,l,0.3,0,0.6,0.3,1,0.3,0.984070538966 
70,l,r,0.6,0.3,0.55,0,1,0.3,0.837037138167 
71,l,r,0.2,0.3,0.6,0,2,-0.1,1.71169497281 
72,r,l,0.6,0,0.01,0.3,2,-0.29,0.866496209729 
73,l,r,0.4,0.3,0.65,0,2,0.1,0.872444852502 
74,r,l,0.01,0,0.2,0.3,2,-0.1,0.835996989628 
