# Time : Fri Feb 10 12:46:37 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# full_screen : True 
# break_trials : 50 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : ABn_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# n_trials : 75 
# res : 128 
# cue_dur : 0.5 
# center_size : 3 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# refresh_rate : 60 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05798508> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x057B2A58> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# rgb : [ 1.  1.  1.] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.65,0,0.01,0.3,2,-0.29,1.16604832296 
1,r,l,0.01,0,0.5,0.3,2,0.2,0.85586177885 
2,l,r,0.2,0.3,0.4,0,2,-0.1,0.836261933123 
3,l,r,0.5,0.3,0.1,0,2,0.2,0.837215900364 
4,l,r,0.3,0.3,0.3,0,2,0.0,0.875538846433 
5,r,l,0.4,0,0.3,0.3,2,0.0,0.837017512722 
6,l,r,0.3,0.3,0.1,0,2,0.0,0.895082375669 
7,r,l,0.9,0,0.1,0.3,2,-0.2,0.843976865868 
8,l,r,0.3,0.3,0.65,0,2,0.0,1.1228343749 
9,r,l,0.1,0,0.7,0.3,2,0.4,1.13361642325 
10,l,r,0.65,0.3,0.01,0,2,0.35,1.23250178336 
11,r,l,0.01,0,0.3,0.3,2,0.0,1.05522983955 
12,l,r,0.9,0.3,0.5,0,2,0.6,1.11608236884 
13,l,r,0.4,0.3,0.9,0,2,0.1,1.63206132013 
14,l,r,0.7,0.3,0.65,0,2,0.4,0.957749831904 
15,l,r,0.1,0.3,0.3,0,2,-0.2,0.83662628376 
16,l,r,0.4,0.3,0.55,0,2,0.1,0.902505913232 
17,l,r,0.9,0.3,0.3,0,1,0.6,0.83743391345 
18,l,r,0.6,0.3,0.55,0,2,0.3,1.00907890111 
19,l,r,0.7,0.3,0.65,0,2,0.4,1.08905727899 
20,l,r,0.1,0.3,0.2,0,1,-0.2,1.15688665367 
21,r,l,0.65,0,0.01,0.3,2,-0.29,0.836933037985 
22,l,r,0.2,0.3,0.1,0,2,-0.1,0.837056336971 
23,r,l,0.55,0,0.9,0.3,1,0.6,0.836202203511 
24,r,l,0.7,0,0.65,0.3,1,0.35,0.874215835515 
25,l,r,0.3,0.3,0.55,0,2,0.0,0.837295682061 
26,l,r,0.65,0.3,0.4,0,2,0.35,0.901839928051 
27,l,r,0.65,0.3,0.3,0,2,0.35,0.837723602071 
28,l,r,0.5,0.3,0.4,0,2,0.2,0.913520480431 
29,l,r,0.2,0.3,0.2,0,2,-0.1,0.845357473198 
30,r,l,0.2,0,0.55,0.3,2,0.25,0.89931379208 
31,r,l,0.6,0,0.4,0.3,2,0.1,0.872083061706 
32,r,l,0.01,0,0.55,0.3,2,0.25,0.83662713704 
33,r,l,0.2,0,0.65,0.3,2,0.35,0.836749582746 
34,l,r,0.55,0.3,0.01,0,2,0.25,0.987567707782 
35,l,r,0.01,0.3,0.2,0,2,-0.29,0.836309290173 
36,l,r,0.55,0.3,0.1,0,2,0.25,0.882388979716 
37,l,r,0.1,0.3,0.1,0,2,-0.2,0.836086157406 
38,l,r,0.55,0.3,0.7,0,2,0.25,0.893967565114 
39,l,r,0.6,0.3,0.55,0,2,0.3,0.836278145447 
40,l,r,0.7,0.3,0.4,0,2,0.4,0.993677193869 
41,r,l,0.2,0,0.5,0.3,2,0.2,0.842523729722 
42,r,l,0.9,0,0.4,0.3,2,0.1,1.12848266305 
43,l,r,0.7,0.3,0.9,0,1,0.4,0.85120457563 
44,l,r,0.1,0.3,0.65,0,2,-0.2,0.930036144948 
45,l,r,0.4,0.3,0.6,0,2,0.1,0.837238938929 
46,l,r,0.01,0.3,0.5,0,2,-0.29,0.836581059911 
47,r,l,0.6,0,0.2,0.3,2,-0.1,0.836604525115 
48,l,r,0.6,0.3,0.5,0,2,0.3,0.837442019612 
49,l,r,0.6,0.3,0.65,0,2,0.3,0.856238075409 
50,l,r,0.5,0.3,0.4,0,2,0.2,0.894149313792 
51,r,l,0.6,0,0.9,0.3,1,0.6,0.837421540887 
52,l,r,0.5,0.3,0.2,0,2,0.2,0.83671886466 
53,r,l,0.9,0,0.2,0.3,2,-0.1,1.07456858154 
54,l,r,0.4,0.3,0.5,0,1,0.1,0.836741903224 
55,l,r,0.55,0.3,0.4,0,2,0.25,0.836828937803 
56,l,r,0.6,0.3,0.6,0,2,0.3,0.835947072737 
57,l,r,0.9,0.3,0.7,0,1,0.6,0.83610194309 
58,l,r,0.65,0.3,0.5,0,1,0.35,0.836160392782 
59,l,r,0.55,0.3,0.55,0,1,0.25,2.85654269643 
60,r,l,0.1,0,0.9,0.3,1,0.6,0.914396372535 
61,r,l,0.55,0,0.6,0.3,2,0.3,1.20616699717 
62,r,l,0.01,0,0.01,0.3,1,-0.29,1.96503385816 
63,l,r,0.1,0.3,0.3,0,2,-0.2,1.94080923386 
64,r,l,0.6,0,0.6,0.3,1,0.3,0.997565591647 
65,r,l,0.3,0,0.7,0.3,1,0.4,0.837012393041 
66,r,l,0.7,0,0.2,0.3,1,-0.1,1.14823865905 
67,r,l,0.9,0,0.65,0.3,2,0.35,1.17513149048 
68,l,r,0.01,0.3,0.6,0,2,-0.29,0.835984190425 
69,l,r,0.4,0.3,0.5,0,2,0.1,0.973746702072 
70,r,l,0.5,0,0.3,0.3,2,0.0,0.895628901624 
71,l,r,0.1,0.3,0.01,0,2,-0.2,0.907474137078 
72,l,r,0.2,0.3,0.3,0,2,-0.1,0.927273223727 
73,r,l,0.7,0,0.01,0.3,2,-0.29,0.859108083294 
74,r,l,0.7,0,0.5,0.3,2,0.2,0.937015976818 
