# Time : Thu Feb 16 14:59:38 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : LC_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05D2C5F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x057AE300> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,l,0.65,0,0.1,0.3,2,-0.2,2.73745283949 
1,l,r,0.6,0.3,0.3,0,1,0.3,1.14425581424 
2,l,l,0.5,0,0.65,0.3,2,0.35,1.37102903462 
3,r,r,0.55,0.3,0.1,0,2,0.25,0.850852249092 
4,l,l,0.3,0,0.4,0.3,2,0.1,0.837132555442 
5,r,r,0.2,0.3,0.55,0,2,-0.1,2.14356293921 
6,r,r,0.1,0.3,0.5,0,2,-0.2,0.836365017149 
7,r,r,0.2,0.3,0.2,0,2,-0.1,0.886287858005 
8,r,r,0.5,0.3,0.1,0,2,0.2,0.837448701009 
9,l,l,0.55,0,0.55,0.3,2,0.25,0.837531043916 
10,r,l,0.5,0,0.7,0.3,1,0.4,1.41673958778 
11,l,l,0.9,0,0.9,0.3,1,0.6,0.871569383286 
12,l,r,0.6,0.3,0.6,0,2,0.3,1.18040776378 
13,r,r,0.5,0.3,0.01,0,2,0.2,0.836427307639 
14,r,r,0.4,0.3,0.9,0,2,0.1,0.844078798323 
15,r,r,0.3,0.3,0.3,0,2,0.0,0.837136821914 
16,r,r,0.9,0.3,0.3,0,1,0.6,6.00971944961 
17,r,l,0.5,0,0.3,0.3,2,0.0,1.66228741771 
18,l,l,0.9,0,0.01,0.3,2,-0.29,1.0671342151 
19,r,r,0.7,0.3,0.1,0,2,0.4,3.16086006953 
20,l,r,0.55,0.3,0.4,0,1,0.25,1.18269288613 
21,r,r,0.1,0.3,0.65,0,2,-0.2,0.835951596023 
22,r,l,0.01,0,0.01,0.3,2,-0.29,0.836980242395 
23,l,l,0.7,0,0.6,0.3,2,0.3,0.837076238013 
24,l,l,0.65,0,0.9,0.3,1,0.6,0.837316867027 
25,r,r,0.01,0.3,0.5,0,2,-0.29,4.06580435581 
26,l,l,0.1,0,0.01,0.3,2,-0.29,0.836265608354 
27,r,r,0.3,0.3,0.65,0,2,0.0,0.836272861356 
28,l,l,0.65,0,0.7,0.3,1,0.4,1.0462361825 
29,r,r,0.1,0.3,0.6,0,2,-0.2,0.836883393483 
30,r,r,0.65,0.3,0.01,0,1,0.35,4.11485171664 
31,l,r,0.2,0.3,0.4,0,2,-0.1,1.49653583815 
32,r,r,0.2,0.3,0.6,0,2,-0.1,0.836273288003 
33,r,r,0.55,0.3,0.6,0,1,0.25,1.79418582277 
34,r,r,0.1,0.3,0.55,0,2,-0.2,1.48902514104 
35,l,l,0.2,0,0.4,0.3,2,0.1,0.836113721955 
36,r,r,0.01,0.3,0.6,0,2,-0.29,13.6025290792 
37,r,l,0.5,0,0.65,0.3,2,0.35,1.07975187906 
38,r,r,0.01,0.3,0.01,0,2,-0.29,1.27657873326 
39,r,l,0.3,0,0.2,0.3,2,-0.1,2.47339449463 
40,l,l,0.4,0,0.55,0.3,2,0.25,1.93117199556 
41,l,l,0.2,0,0.6,0.3,1,0.3,1.01196745365 
42,l,l,0.2,0,0.5,0.3,1,0.2,1.47580761113 
43,l,l,0.3,0,0.7,0.3,1,0.4,1.00763101162 
44,r,l,0.65,0,0.65,0.3,1,0.35,1.65547002228 
45,l,l,0.65,0,0.65,0.3,1,0.35,0.876260795774 
