# Time : Thu Feb 16 14:34:29 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : LC_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05D675D0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05D67A80> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.3,0,0.65,0.3,1,0.35,5.44061263123 
1,l,l,0.3,0,0.5,0.3,2,0.2,4.43722846573 
2,r,l,0.7,0,0.55,0.3,1,0.25,4.98089857871 
3,r,l,0.65,0,0.6,0.3,1,0.3,2.64547495858 
4,r,l,0.3,0,0.4,0.3,2,0.1,1.00026537455 
5,r,r,0.5,0.3,0.01,0,1,0.2,1.5530695772 
6,l,l,0.55,0,0.65,0.3,1,0.35,1.52988044919 
7,r,r,0.6,0.3,0.65,0,2,0.3,1.58764677197 
8,l,l,0.9,0,0.6,0.3,2,0.3,2.02644145953 
9,l,r,0.4,0.3,0.9,0,2,0.1,3.56717112008 
10,l,r,0.2,0.3,0.3,0,1,-0.1,1.97995440848 
11,r,r,0.7,0.3,0.4,0,1,0.4,1.27475566982 
12,l,l,0.65,0,0.2,0.3,2,-0.1,1.27852253785 
13,l,r,0.4,0.3,0.9,0,1,0.1,1.45134408797 
14,l,l,0.6,0,0.6,0.3,2,0.3,0.961168279464 
15,r,r,0.9,0.3,0.1,0,1,0.6,2.09896806844 
16,r,l,0.55,0,0.9,0.3,1,0.6,1.38975671297 
17,r,r,0.6,0.3,0.4,0,1,0.3,0.980678428761 
18,l,r,0.01,0.3,0.5,0,2,-0.29,1.10951052048 
