# Time : Thu Feb 16 15:18:18 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : LC_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x058E6940> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x058E2F30> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,r,0.7,0.3,0.55,0,2,0.4,2.52630002598 
1,l,l,0.9,0,0.1,0.3,2,-0.2,0.836157239968 
2,l,l,0.3,0,0.7,0.3,1,0.4,0.836475945418 
3,l,r,0.65,0.3,0.01,0,2,0.35,1.60372710451 
4,l,r,0.01,0.3,0.01,0,2,-0.29,0.836911978845 
5,r,r,0.65,0.3,0.6,0,1,0.35,4.70442480066 
6,l,l,0.55,0,0.1,0.3,2,-0.2,0.892983658986 
7,l,l,0.5,0,0.65,0.3,2,0.35,2.52196785043 
8,r,r,0.1,0.3,0.65,0,2,-0.2,0.913644049104 
9,r,l,0.4,0,0.3,0.3,2,0.0,2.00542652559 
10,r,r,0.55,0.3,0.3,0,2,0.25,1.44326296357 
11,l,l,0.4,0,0.4,0.3,2,0.1,1.30407529128 
12,l,l,0.6,0,0.3,0.3,2,0.0,0.836058684468 
13,r,r,0.2,0.3,0.7,0,2,-0.1,0.857708469416 
14,r,r,0.2,0.3,0.55,0,2,-0.1,1.55154602009 
15,l,l,0.7,0,0.55,0.3,1,0.25,0.836906432432 
16,r,r,0.6,0.3,0.55,0,2,0.3,2.16820565418 
17,r,r,0.1,0.3,0.65,0,1,-0.2,1.73594250844 
18,r,r,0.4,0.3,0.1,0,2,0.1,1.26481521697 
19,r,r,0.65,0.3,0.55,0,1,0.35,1.91859400979 
20,r,l,0.65,0,0.9,0.3,1,0.6,0.928513556928 
21,r,r,0.9,0.3,0.01,0,1,0.6,0.891282189997 
22,l,l,0.5,0,0.7,0.3,1,0.4,1.00806192528 
23,l,l,0.4,0,0.9,0.3,1,0.6,1.15189322557 
24,r,r,0.7,0.3,0.6,0,1,0.4,1.07271433368 
25,r,r,0.4,0.3,0.5,0,1,0.1,1.65353688386 
26,r,r,0.65,0.3,0.9,0,1,0.35,1.9304381624 
