# Time : Thu Feb 16 15:35:11 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : LC_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05C24918> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05C40D28> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.7,0,0.4,0.3,2,0.1,2.01056506434 
1,l,l,0.7,0,0.9,0.3,1,0.6,5.31243245642 
2,r,l,0.65,0,0.55,0.3,2,0.25,2.18693333254 
3,l,l,0.65,0,0.1,0.3,2,-0.2,2.66468218838 
4,r,r,0.9,0.3,0.6,0,1,0.6,0.835769844321 
5,r,r,0.01,0.3,0.4,0,2,-0.29,0.836868887479 
6,r,r,0.4,0.3,0.01,0,2,0.1,0.836046311699 
7,l,l,0.6,0,0.5,0.3,2,0.2,3.21494272048 
8,r,r,0.55,0.3,0.01,0,2,0.25,0.836070630589 
9,r,r,0.1,0.3,0.2,0,2,-0.2,0.836091962948 
10,l,l,0.01,0,0.6,0.3,2,0.3,1.7673488613 
11,r,r,0.9,0.3,0.1,0,1,0.6,0.835928557075 
12,l,l,0.01,0,0.55,0.3,1,0.25,1.03811836644 
13,r,r,0.5,0.3,0.2,0,2,0.2,0.836626125229 
14,r,l,0.9,0,0.55,0.3,2,0.25,1.75571888558 
15,l,l,0.1,0,0.6,0.3,2,0.3,9.78739658605 
16,l,l,0.65,0,0.01,0.3,2,-0.29,0.836136334256 
17,r,r,0.65,0.3,0.55,0,2,0.35,1.05562327395 
18,r,r,0.4,0.3,0.3,0,2,0.1,0.893546406628 
19,r,r,0.2,0.3,0.01,0,2,-0.1,0.842383302394 
20,l,l,0.5,0,0.1,0.3,2,-0.2,0.836875287187 
21,l,l,0.5,0,0.3,0.3,2,0.0,0.836920511789 
22,l,l,0.01,0,0.1,0.3,2,-0.2,0.836067217411 
23,r,r,0.9,0.3,0.65,0,1,0.6,0.836113721955 
24,l,r,0.6,0.3,0.5,0,2,0.3,1.73967780458 
25,r,r,0.6,0.3,0.2,0,2,0.3,2.21246006049 
26,r,l,0.5,0,0.55,0.3,2,0.25,1.2811097264 
27,l,r,0.6,0.3,0.3,0,1,0.3,3.74196079368 
28,l,r,0.1,0.3,0.3,0,1,-0.2,2.8585835228 
29,r,l,0.2,0,0.01,0.3,2,-0.29,0.836975122629 
30,l,l,0.9,0,0.65,0.3,1,0.35,1.97818894241 
31,l,l,0.01,0,0.6,0.3,1,0.3,1.00199585555 
32,r,r,0.5,0.3,0.7,0,2,0.2,0.836858647947 
33,r,r,0.2,0.3,0.6,0,2,-0.1,0.836262195177 
34,l,l,0.6,0,0.7,0.3,1,0.4,0.836247689172 
35,r,l,0.6,0,0.55,0.3,1,0.25,1.18933535621 
36,l,r,0.55,0.3,0.4,0,2,0.25,1.46927777591 
37,l,l,0.9,0,0.01,0.3,2,-0.29,0.83602796587 
38,r,l,0.3,0,0.5,0.3,1,0.2,0.836146147141 
39,l,r,0.4,0.3,0.7,0,2,0.1,0.837068985011 
40,r,r,0.65,0.3,0.9,0,2,0.35,0.836324059019 
41,l,r,0.3,0.3,0.5,0,1,0.0,1.54039175598 
42,r,r,0.5,0.3,0.65,0,2,0.2,0.83605825782 
43,r,r,0.4,0.3,0.5,0,2,0.1,0.836194358274 
44,l,l,0.9,0,0.65,0.3,2,0.35,1.6588661339 
45,r,r,0.3,0.3,0.01,0,2,0.0,1.01571853573 
46,l,l,0.1,0,0.2,0.3,2,-0.1,0.836002367039 
47,l,l,0.6,0,0.7,0.3,1,0.4,0.836091109654 
48,l,l,0.65,0,0.1,0.3,2,-0.2,0.836163639676 
49,r,r,0.2,0.3,0.4,0,2,-0.1,0.836283100889 
50,r,r,0.1,0.3,0.1,0,2,-0.2,0.836519463431 
51,r,r,0.55,0.3,0.01,0,2,0.25,1.60570717412 
52,r,l,0.4,0,0.6,0.3,2,0.3,3.81246808146 
53,r,l,0.65,0,0.3,0.3,2,0.0,1.60623578998 
54,l,r,0.4,0.3,0.7,0,2,0.1,1.57198882014 
55,r,r,0.5,0.3,0.2,0,2,0.2,0.836284807478 
56,r,l,0.3,0,0.7,0.3,1,0.4,3.03454690282 
57,l,l,0.5,0,0.9,0.3,1,0.6,0.997304869708 
58,r,r,0.55,0.3,0.9,0,2,0.25,1.10914531049 
59,r,r,0.3,0.3,0.3,0,2,0.0,6.0649868998 
60,r,r,0.7,0.3,0.5,0,2,0.4,0.836380803095 
61,r,r,0.9,0.3,0.3,0,1,0.6,0.922378797 
62,r,r,0.01,0.3,0.9,0,2,-0.29,0.836086416535 
63,r,r,0.65,0.3,0.6,0,1,0.35,1.97206100884 
64,r,l,0.5,0,0.7,0.3,1,0.4,0.836133774373 
65,l,l,0.3,0,0.9,0.3,1,0.6,0.83620246457 
66,l,l,0.9,0,0.55,0.3,2,0.25,0.83715858092 
67,r,r,0.1,0.3,0.01,0,2,-0.2,0.836501117602 
68,r,l,0.55,0,0.1,0.3,2,-0.2,0.836541649085 
69,l,r,0.3,0.3,0.01,0,2,0.0,0.837496485494 
70,r,r,0.2,0.3,0.5,0,2,-0.1,0.859895889553 
71,r,r,0.65,0.3,0.1,0,2,0.35,0.8366683633 
72,l,l,0.2,0,0.3,0.3,2,0.0,0.836671776478 
73,r,l,0.01,0,0.9,0.3,1,0.6,0.836854381475 
74,l,l,0.7,0,0.7,0.3,1,0.4,6.57425389006 
75,r,l,0.7,0,0.6,0.3,1,0.3,2.33887903571 
76,l,l,0.01,0,0.6,0.3,1,0.3,0.836353071028 
77,r,r,0.3,0.3,0.7,0,2,0.0,1.62541571435 
78,r,r,0.01,0.3,0.4,0,2,-0.29,0.837432488415 
79,r,l,0.6,0,0.5,0.3,2,0.2,2.35811783739 
80,r,r,0.55,0.3,0.7,0,2,0.25,1.14888578953 
81,r,l,0.3,0,0.55,0.3,1,0.25,0.837432488415 
82,r,r,0.4,0.3,0.2,0,2,0.1,1.09358804739 
83,r,r,0.6,0.3,0.01,0,2,0.3,1.65732209772 
84,r,r,0.9,0.3,0.9,0,2,0.6,1.36616056355 
85,l,l,0.6,0,0.5,0.3,2,0.2,0.837528484033 
86,r,r,0.65,0.3,0.55,0,2,0.35,4.65378903235 
87,r,l,0.6,0,0.7,0.3,1,0.4,1.19543385113 
88,r,r,0.2,0.3,0.65,0,2,-0.1,0.836815129933 
89,r,r,0.65,0.3,0.5,0,2,0.35,0.836918378553 
90,r,r,0.5,0.3,0.01,0,2,0.2,0.836188385213 
91,l,l,0.55,0,0.3,0.3,2,0.0,0.836309979662 
92,l,r,0.5,0.3,0.1,0,1,0.2,2.3906782709 
93,r,r,0.9,0.3,0.65,0,2,0.6,4.42035456941 
94,r,r,0.1,0.3,0.5,0,2,-0.2,1.28409028366 
95,l,l,0.5,0,0.4,0.3,2,0.1,0.835955009201 
96,r,r,0.4,0.3,0.5,0,2,0.1,0.836081296768 
97,l,r,0.9,0.3,0.3,0,1,0.6,1.11866508921 
98,l,l,0.55,0,0.9,0.3,1,0.6,0.836228490049 
99,l,l,0.5,0,0.3,0.3,1,0.0,0.837243483711 
100,r,l,0.3,0,0.4,0.3,2,0.1,5.15103865125 
101,l,l,0.9,0,0.65,0.3,1,0.35,1.00156451524 
102,l,l,0.55,0,0.55,0.3,2,0.25,0.836205024453 
103,r,r,0.55,0.3,0.2,0,2,0.25,0.836316806017 
104,l,l,0.6,0,0.5,0.3,2,0.2,0.836408108515 
105,l,l,0.55,0,0.4,0.3,2,0.1,0.836555728442 
106,r,r,0.1,0.3,0.4,0,2,-0.2,0.837510564851 
107,l,l,0.01,0,0.4,0.3,2,0.1,0.963593342085 
108,r,r,0.65,0.3,0.9,0,2,0.35,0.861322171105 
109,l,r,0.2,0.3,0.1,0,2,-0.1,0.836716574433 
110,r,r,0.3,0.3,0.6,0,2,0.0,1.0340413259 
111,l,l,0.01,0,0.5,0.3,1,0.2,1.03389071944 
112,l,l,0.6,0,0.2,0.3,2,-0.1,0.837536590329 
113,l,r,0.65,0.3,0.6,0,2,0.35,3.69554925919 
114,r,r,0.3,0.3,0.55,0,2,0.0,0.836914112081 
115,l,l,0.4,0,0.2,0.3,2,-0.1,0.836154253438 
116,l,l,0.55,0,0.55,0.3,1,0.25,0.836285660772 
117,r,l,0.4,0,0.4,0.3,2,0.1,0.837310467319 
118,l,l,0.7,0,0.7,0.3,1,0.4,0.837328386501 
119,r,r,0.5,0.3,0.3,0,2,0.2,2.87950758088 
120,r,r,0.6,0.3,0.4,0,1,0.3,0.880235014337 
121,r,r,0.7,0.3,0.65,0,2,0.4,0.83777935258 
122,l,r,0.1,0.3,0.01,0,2,-0.2,0.859897169495 
123,l,l,0.6,0,0.55,0.3,1,0.25,0.836856514711 
124,r,r,0.55,0.3,0.1,0,2,0.25,1.05664509396 
125,r,r,0.6,0.3,0.4,0,2,0.3,0.836235743051 
126,r,r,0.65,0.3,0.4,0,1,0.35,2.00528317214 
127,r,r,0.4,0.3,0.5,0,2,0.1,1.19503877583 
128,r,l,0.4,0,0.2,0.3,2,-0.1,1.30687025702 
129,r,l,0.65,0,0.4,0.3,2,0.1,0.845851090745 
130,r,l,0.2,0,0.5,0.3,2,0.2,0.844677384329 
131,r,r,0.5,0.3,0.3,0,2,0.2,0.837347158978 
132,l,l,0.1,0,0.1,0.3,2,-0.2,0.850238730435 
133,l,l,0.4,0,0.55,0.3,1,0.25,2.433082735 
134,l,l,0.9,0,0.3,0.3,2,0.0,0.836871874009 
135,r,r,0.6,0.3,0.6,0,2,0.3,0.836875713834 
136,r,r,0.01,0.3,0.3,0,2,-0.29,0.832379705759 
137,l,l,0.3,0,0.2,0.3,2,-0.1,0.836204171159 
138,r,r,0.3,0.3,0.7,0,2,0.0,0.83630571319 
139,l,l,0.7,0,0.01,0.3,2,-0.29,0.836393602511 
140,r,l,0.6,0,0.7,0.3,2,0.4,1.35790792698 
141,r,r,0.01,0.3,0.01,0,2,-0.29,0.836371843504 
142,l,r,0.3,0.3,0.55,0,2,0.0,0.917618267667 
143,l,r,0.7,0.3,0.1,0,2,0.4,1.52145032739 
144,r,l,0.9,0,0.01,0.3,2,-0.29,0.836333871904 
145,l,l,0.2,0,0.2,0.3,2,-0.1,0.836461866061 
146,l,r,0.01,0.3,0.4,0,2,-0.29,1.08092558548 
147,r,r,0.3,0.3,0.4,0,2,0.0,0.836538662555 
148,l,l,0.1,0,0.65,0.3,1,0.35,0.836688415718 
149,r,r,0.65,0.3,0.9,0,1,0.35,3.70746423523 
150,l,l,0.55,0,0.7,0.3,1,0.4,0.836708894783 
151,l,l,0.65,0,0.9,0.3,1,0.6,0.835881199237 
152,r,l,0.3,0,0.5,0.3,1,0.2,8.26766308695 
153,r,r,0.4,0.3,0.3,0,2,0.1,0.836737480145 
154,r,l,0.3,0,0.55,0.3,2,0.25,1.22521041173 
155,r,r,0.6,0.3,0.7,0,2,0.3,1.14283721234 
156,r,r,0.9,0.3,0.1,0,1,0.6,1.03364155748 
157,r,r,0.65,0.3,0.2,0,2,0.35,2.16854611864 
158,l,l,0.6,0,0.3,0.3,2,0.0,0.836320645841 
159,l,l,0.7,0,0.3,0.3,2,0.0,0.836440107054 
160,r,r,0.01,0.3,0.1,0,2,-0.29,0.836542075732 
161,r,l,0.1,0,0.6,0.3,1,0.3,0.836605646164 
162,r,r,0.01,0.3,0.7,0,2,-0.29,0.882716821035 
163,r,r,0.9,0.3,0.2,0,1,0.6,1.38364328541 
164,r,r,0.7,0.3,0.55,0,1,0.4,2.28835846214 
165,r,r,0.1,0.3,0.55,0,2,-0.2,1.00110202969 
166,r,r,0.4,0.3,0.9,0,2,0.1,1.24088756268 
167,l,r,0.6,0.3,0.2,0,2,0.3,1.73476880202 
168,r,l,0.5,0,0.01,0.3,2,-0.29,0.836548902087 
169,l,l,0.1,0,0.55,0.3,1,0.25,0.836708041489 
170,r,r,0.3,0.3,0.7,0,2,0.0,1.27030019323 
