# Time : Thu Feb 16 15:56:56 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : LCn_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05D718F0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05D71710> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.55,0,0.6,0.3,1,0.3,4.26514544189 
1,l,r,0.3,0.3,0.3,0,1,0.0,1.58380609397 
2,l,r,0.7,0.3,0.7,0,1,0.4,1.6316392169 
3,l,r,0.5,0.3,0.3,0,1,0.2,1.8214464449 
4,l,r,0.4,0.3,0.4,0,2,0.1,2.47426954801 
5,r,l,0.5,0,0.1,0.3,2,-0.2,0.836469119063 
6,l,r,0.6,0.3,0.9,0,1,0.3,1.22685897646 
7,l,r,0.55,0.3,0.7,0,1,0.25,1.01770969816 
8,l,r,0.65,0.3,0.01,0,1,0.35,0.835887172298 
9,l,r,0.1,0.3,0.4,0,2,-0.2,0.839316989048 
10,l,r,0.65,0.3,0.6,0,2,0.35,1.19817420602 
11,l,r,0.6,0.3,0.01,0,2,0.3,1.17407503956 
12,r,l,0.3,0,0.9,0.3,1,0.6,0.836139320786 
13,r,l,0.01,0,0.9,0.3,1,0.6,0.836250675702 
14,l,r,0.5,0.3,0.5,0,2,0.2,1.1806023149 
15,l,r,0.7,0.3,0.2,0,1,0.4,1.29334810101 
16,r,l,0.55,0,0.5,0.3,2,0.2,1.1291610367 
17,l,r,0.9,0.3,0.5,0,1,0.6,0.836696522015 
18,r,l,0.1,0,0.1,0.3,2,-0.2,0.836717427727 
19,r,l,0.1,0,0.65,0.3,1,0.35,0.836897046194 
20,r,l,0.7,0,0.1,0.3,2,-0.2,1.01555171668 
21,l,r,0.9,0.3,0.3,0,1,0.6,0.839395065484 
22,r,l,0.7,0,0.6,0.3,2,0.3,1.27023832939 
23,r,l,0.2,0,0.65,0.3,1,0.35,1.01104717566 
24,l,r,0.01,0.3,0.4,0,2,-0.29,1.23491706192 
25,l,r,0.01,0.3,0.55,0,2,-0.29,0.836016019749 
26,l,r,0.3,0.3,0.3,0,2,0.0,0.836156386674 
27,l,r,0.2,0.3,0.6,0,2,-0.1,0.902409575328 
28,r,l,0.65,0,0.4,0.3,2,0.1,2.79423744708 
29,r,l,0.6,0,0.2,0.3,2,-0.1,0.83734075927 
30,l,r,0.4,0.3,0.65,0,2,0.1,0.949845916368 
31,l,r,0.6,0.3,0.2,0,1,0.3,1.17665881494 
32,r,l,0.55,0,0.9,0.3,1,0.6,0.836104335717 
33,r,l,0.4,0,0.01,0.3,2,-0.29,0.836181985505 
34,r,l,0.01,0,0.7,0.3,1,0.4,0.836301873365 
35,l,r,0.01,0.3,0.4,0,2,-0.29,0.836420054636 
36,r,l,0.01,0,0.7,0.3,1,0.4,1.63587795672 
37,r,l,0.01,0,0.55,0.3,1,0.25,1.05768483316 
38,r,l,0.7,0,0.1,0.3,2,-0.2,0.836883820131 
39,l,r,0.01,0.3,0.5,0,2,-0.29,0.933369655231 
40,l,r,0.65,0.3,0.5,0,1,0.35,1.82619417482 
41,l,r,0.2,0.3,0.4,0,2,-0.1,0.836513063724 
