# Time : Thu Feb 16 15:51:57 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : LCn_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x059374E0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0591D698> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.65,0.3,0.9,0,1,0.35,2.75090886517 
1,r,l,0.1,0,0.2,0.3,2,-0.1,1.11773670493 
2,l,r,0.01,0.3,0.65,0,2,-0.29,1.63247757862 
3,r,l,0.4,0,0.01,0.3,2,-0.29,1.25433206889 
4,r,l,0.3,0,0.6,0.3,1,0.3,0.852103605297 
5,r,l,0.7,0,0.5,0.3,1,0.2,2.47405793101 
6,r,l,0.6,0,0.9,0.3,1,0.6,1.44373270212 
7,l,r,0.5,0.3,0.3,0,1,0.2,1.48860532021 
8,l,r,0.6,0.3,0.9,0,1,0.3,2.02833022663 
9,r,l,0.65,0,0.4,0.3,1,0.1,1.89720533292 
10,r,l,0.3,0,0.1,0.3,2,-0.2,0.835984874504 
11,l,r,0.55,0.3,0.4,0,1,0.25,0.836095376126 
12,r,l,0.6,0,0.9,0.3,1,0.6,0.836195211568 
13,l,r,0.6,0.3,0.6,0,1,0.3,1.43143630349 
14,r,l,0.5,0,0.9,0.3,1,0.6,2.3892903876 
15,l,r,0.4,0.3,0.4,0,1,0.1,1.25913739618 
16,l,r,0.1,0.3,0.55,0,2,-0.2,0.836147000436 
17,l,r,0.2,0.3,0.7,0,2,-0.1,0.836320219194 
18,r,l,0.7,0,0.55,0.3,1,0.25,4.52549195621 
19,r,l,0.9,0,0.65,0.3,1,0.35,1.34516952186 
20,l,r,0.9,0.3,0.5,0,1,0.6,1.05900359962 
21,l,r,0.01,0.3,0.55,0,2,-0.29,0.836253235586 
22,r,l,0.01,0,0.1,0.3,2,-0.2,0.836263475118 
23,l,r,0.1,0.3,0.01,0,2,-0.2,0.836338138376 
24,r,l,0.9,0,0.6,0.3,1,0.3,1.50850201185 
25,l,r,0.5,0.3,0.2,0,1,0.2,0.967156699406 
26,l,r,0.3,0.3,0.3,0,2,0.0,0.889010293717 
27,l,r,0.3,0.3,0.5,0,2,0.0,3.00598543341 
28,l,r,0.01,0.3,0.01,0,2,-0.29,0.836673909714 
29,l,r,0.3,0.3,0.5,0,2,0.0,1.09645895633 
30,l,r,0.7,0.3,0.9,0,1,0.4,0.837434621651 
31,r,l,0.4,0,0.5,0.3,1,0.2,0.987185651684 
32,r,l,0.5,0,0.5,0.3,1,0.2,1.4109388926 
