# Time : Thu Feb 16 16:01:43 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : LCn_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05D4BAA8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05830FA8> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.2,0.3,0.6,0,1,-0.1,2.41509699611 
1,l,r,0.6,0.3,0.2,0,1,0.3,1.5320576298 
2,r,l,0.01,0,0.01,0.3,2,-0.29,0.837394090168 
3,r,l,0.5,0,0.6,0.3,1,0.3,1.04469299962 
4,r,l,0.55,0,0.1,0.3,2,-0.2,0.914422253576 
5,r,l,0.6,0,0.5,0.3,2,0.2,2.0462361825 
6,r,l,0.65,0,0.4,0.3,2,0.1,0.837426515355 
7,r,l,0.3,0,0.5,0.3,2,0.2,0.841790689449 
8,l,r,0.55,0.3,0.1,0,1,0.25,1.08767642395 
9,r,l,0.65,0,0.55,0.3,1,0.25,5.13242915417 
10,r,l,0.01,0,0.65,0.3,1,0.35,1.10208003304 
11,r,l,0.7,0,0.6,0.3,1,0.3,3.99391174462 
12,r,l,0.4,0,0.3,0.3,2,0.0,0.836474665477 
13,r,l,0.1,0,0.01,0.3,2,-0.29,1.47452894951 
14,r,l,0.6,0,0.2,0.3,2,-0.1,0.836533116141 
15,r,l,0.3,0,0.3,0.3,2,0.0,1.62907549394 
16,r,l,0.6,0,0.5,0.3,2,0.2,1.058885845 
17,r,l,0.55,0,0.6,0.3,2,0.3,4.07269854774 
18,r,l,0.7,0,0.4,0.3,2,0.1,0.836605646164 
19,l,r,0.1,0.3,0.4,0,2,-0.2,0.966305964912 
20,l,r,0.3,0.3,0.2,0,2,0.0,0.836825796113 
21,l,r,0.55,0.3,0.3,0,1,0.25,0.959000485098 
22,r,l,0.1,0,0.2,0.3,2,-0.1,0.836863341066 
23,r,l,0.55,0,0.4,0.3,2,0.1,0.836013033218 
24,r,l,0.1,0,0.55,0.3,1,0.25,0.836106042305 
25,l,r,0.5,0.3,0.5,0,2,0.2,0.860279445376 
26,l,r,0.7,0.3,0.6,0,1,0.4,3.93810373244 
27,l,r,0.55,0.3,0.7,0,1,0.25,1.83080196445 
28,l,r,0.6,0.3,0.2,0,2,0.3,0.876592727287 
29,r,l,0.9,0,0.65,0.3,1,0.35,0.913455044399 
30,r,l,0.2,0,0.1,0.3,2,-0.2,0.836263475118 
31,l,r,0.7,0.3,0.4,0,1,0.4,1.76413706126 
32,l,r,0.3,0.3,0.01,0,2,0.0,0.835955435848 
33,r,l,0.3,0,0.9,0.3,1,0.6,0.970750348677 
34,l,r,0.3,0.3,0.65,0,1,0.0,4.7885886383 
35,l,r,0.4,0.3,0.65,0,2,0.1,1.12522777627 
36,r,l,0.1,0,0.65,0.3,1,0.35,0.836832195821 
37,l,r,0.5,0.3,0.9,0,2,0.2,0.925924661786 
38,l,r,0.2,0.3,0.7,0,2,-0.1,0.836524583198 
39,l,r,0.1,0.3,0.5,0,2,-0.2,0.83770042285 
40,l,r,0.01,0.3,0.65,0,2,-0.29,0.839410424783 
41,l,r,0.3,0.3,0.01,0,2,0.0,0.894290479325 
42,l,r,0.01,0.3,0.9,0,2,-0.29,0.836060391056 
43,l,r,0.65,0.3,0.4,0,1,0.35,1.28896899427 
44,l,r,0.7,0.3,0.9,0,2,0.4,1.39678401882 
45,r,l,0.55,0,0.4,0.3,2,0.1,0.852665926292 
46,r,l,0.9,0,0.6,0.3,1,0.3,1.04245267523 
47,r,l,0.01,0,0.1,0.3,2,-0.2,0.836881686895 
48,l,r,0.9,0.3,0.55,0,1,0.6,0.836863341066 
49,r,l,0.65,0,0.9,0.3,1,0.6,1.08598178131 
50,l,r,0.5,0.3,0.7,0,1,0.2,1.77082390265 
51,l,r,0.65,0.3,0.55,0,2,0.35,1.52159410749 
52,r,l,0.3,0,0.6,0.3,1,0.3,0.939419939015 
53,r,l,0.4,0,0.55,0.3,1,0.25,2.27035565736 
54,r,l,0.55,0,0.65,0.3,1,0.35,0.865022482174 
55,l,r,0.3,0.3,0.9,0,2,0.0,1.93486249374 
56,l,r,0.7,0.3,0.5,0,1,0.4,1.00872706825 
57,r,l,0.1,0,0.2,0.3,2,-0.1,4.71945216794 
58,r,l,0.01,0,0.9,0.3,1,0.6,0.851133836237 
59,l,r,0.9,0.3,0.2,0,1,0.6,0.969942705549 
60,r,l,0.5,0,0.2,0.3,2,-0.1,0.83665172406 
61,l,r,0.01,0.3,0.3,0,2,-0.29,1.23363456047 
62,r,l,0.2,0,0.4,0.3,2,0.1,2.0074816851 
63,r,l,0.5,0,0.1,0.3,2,-0.2,2.43725065138 
64,l,r,0.5,0.3,0.2,0,1,0.2,1.71301107533 
65,r,l,0.6,0,0.55,0.3,1,0.25,0.836956350153 
