# Time : Thu Feb 16 16:06:57 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : LCn_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05E0A760> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0581A300> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.55,0.3,0.4,0,2,0.25,2.76298340726 
1,r,l,0.2,0,0.1,0.3,2,-0.2,0.896807697739 
2,l,r,0.9,0.3,0.4,0,1,0.6,1.14958847745 
3,r,l,0.5,0,0.01,0.3,2,-0.29,0.836283527536 
4,l,r,0.6,0.3,0.65,0,2,0.3,1.27826953607 
5,r,l,0.7,0,0.5,0.3,1,0.2,3.65105934364 
6,r,l,0.6,0,0.5,0.3,2,0.2,0.836431147463 
7,l,r,0.55,0.3,0.55,0,2,0.25,3.24959457851 
8,r,l,0.9,0,0.4,0.3,2,0.1,0.995324800105 
9,r,l,0.4,0,0.4,0.3,1,0.1,1.11617560286 
10,l,r,0.9,0.3,0.5,0,1,0.6,0.836530556258 
11,r,l,0.01,0,0.2,0.3,2,-0.1,0.837055332301 
12,l,r,0.1,0.3,0.4,0,2,-0.2,0.837139381797 
13,l,r,0.55,0.3,0.6,0,2,0.25,0.883530010577 
14,l,r,0.3,0.3,0.3,0,2,0.0,0.836263475118 
15,l,r,0.6,0.3,0.55,0,2,0.3,0.836444373526 
16,r,l,0.4,0,0.3,0.3,2,0.0,3.41504835833 
17,l,r,0.2,0.3,0.65,0,2,-0.1,0.835723339777 
18,r,l,0.2,0,0.01,0.3,2,-0.29,0.836960616625 
19,l,r,0.4,0.3,0.6,0,2,0.1,0.910596508234 
20,l,r,0.1,0.3,0.9,0,2,-0.2,0.837765273223 
21,l,r,0.7,0.3,0.1,0,1,0.4,1.53721152784 
22,r,l,0.55,0,0.65,0.3,1,0.35,0.837473446546 
23,r,l,0.3,0,0.7,0.3,1,0.4,0.836814276639 
24,r,l,0.4,0,0.01,0.3,2,-0.29,0.837041252943 
25,l,r,0.5,0.3,0.55,0,2,0.2,1.01453714966 
26,r,l,0.01,0,0.9,0.3,1,0.6,0.836097936009 
27,l,r,0.55,0.3,0.65,0,2,0.25,1.65319343288 
28,l,r,0.65,0.3,0.7,0,2,0.35,1.10601670665 
29,l,r,0.6,0.3,0.9,0,2,0.3,1.75684139433 
30,l,r,0.6,0.3,0.1,0,1,0.3,0.836876140481 
31,l,r,0.2,0.3,0.01,0,2,-0.1,0.83783097689 
32,l,r,0.3,0.3,0.7,0,2,0.0,0.837009681051 
33,l,r,0.7,0.3,0.6,0,2,0.4,1.52132403982 
34,r,l,0.4,0,0.55,0.3,1,0.25,1.18699434308 
35,r,l,0.3,0,0.4,0.3,2,0.1,1.10687554744 
36,r,l,0.65,0,0.1,0.3,2,-0.2,1.11074097097 
37,l,r,0.3,0.3,0.5,0,2,0.0,0.890433588739 
38,l,r,0.1,0.3,0.1,0,2,-0.2,0.837743940863 
39,r,l,0.2,0,0.6,0.3,1,0.3,0.949201252465 
40,l,r,0.65,0.3,0.3,0,1,0.35,0.837208925289 
41,l,r,0.5,0.3,0.6,0,2,0.2,1.22279174881 
42,l,r,0.9,0.3,0.55,0,1,0.6,1.86971005484 
43,l,r,0.55,0.3,0.6,0,2,0.25,2.00139300307 
44,r,l,0.01,0,0.01,0.3,2,-0.29,0.837104396727 
45,l,r,0.2,0.3,0.5,0,2,-0.1,0.837246896888 
46,r,l,0.55,0,0.1,0.3,2,-0.2,0.868967688728 
47,l,r,0.7,0.3,0.1,0,1,0.4,2.40173525945 
48,r,l,0.6,0,0.9,0.3,1,0.6,0.836434987288 
49,l,r,0.55,0.3,0.9,0,2,0.25,1.21433688147 
50,l,r,0.5,0.3,0.65,0,2,0.2,0.836565114681 
51,l,r,0.65,0.3,0.65,0,1,0.35,1.03603163504 
52,r,l,0.1,0,0.4,0.3,1,0.1,0.836750279561 
53,r,l,0.2,0,0.5,0.3,1,0.2,0.8373437458 
54,r,l,0.01,0,0.6,0.3,1,0.3,0.835994687389 
55,r,l,0.1,0,0.3,0.3,1,0.0,1.14241909809 
56,l,r,0.65,0.3,0.2,0,2,0.35,1.48134293176 
57,l,r,0.7,0.3,0.65,0,2,0.4,1.65303557342 
58,r,l,0.3,0,0.65,0.3,1,0.35,0.836587300334 
59,l,r,0.6,0.3,0.2,0,1,0.3,2.32768722665 
60,r,l,0.7,0,0.7,0.3,1,0.4,0.847448031173 
61,r,l,0.5,0,0.01,0.3,2,-0.29,0.934283960156 
62,r,l,0.55,0,0.4,0.3,2,0.1,0.836385922861 
63,r,l,0.7,0,0.01,0.3,2,-0.29,0.836510930488 
64,r,l,0.2,0,0.3,0.3,2,0.0,0.837459793836 
65,r,l,0.7,0,0.2,0.3,2,-0.1,0.837618933237 
66,l,r,0.3,0.3,0.9,0,2,0.0,0.940507036052 
67,r,l,0.5,0,0.65,0.3,2,0.35,1.7344603361 
68,r,l,0.1,0,0.2,0.3,2,-0.1,0.836505384074 
69,l,r,0.1,0.3,0.01,0,2,-0.2,0.836596259925 
70,r,l,0.01,0,0.4,0.3,1,0.1,0.83679593081 
71,r,l,0.9,0,0.5,0.3,1,0.2,1.748795255 
72,r,l,0.3,0,0.01,0.3,2,-0.29,0.836892353074 
73,l,r,0.9,0.3,0.3,0,1,0.6,0.83600066045 
74,r,l,0.5,0,0.2,0.3,2,-0.1,0.83609324289 
