# Time : Thu Feb 16 17:11:18 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : JV_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0584BEB8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0584B6E8> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.7,0,0.7,0.3,2,0.4,9.44949883888 
1,l,l,0.7,0,0.4,0.3,2,0.1,1.82197463412 
2,l,l,0.2,0,0.2,0.3,2,-0.1,0.836868034185 
3,r,l,0.1,0,0.5,0.3,2,0.2,1.0815135053 
4,l,r,0.01,0.3,0.3,0,2,-0.29,0.879423104737 
5,l,l,0.4,0,0.01,0.3,2,-0.29,0.836448639998 
6,r,l,0.65,0,0.7,0.3,2,0.4,0.836554021854 
7,l,l,0.55,0,0.6,0.3,2,0.3,0.929883094404 
8,l,l,0.9,0,0.1,0.3,2,-0.2,0.836306993131 
9,l,l,0.3,0,0.9,0.3,1,0.6,0.836421334578 
10,r,r,0.6,0.3,0.6,0,1,0.3,1.46643289245 
11,r,l,0.9,0,0.1,0.3,2,-0.2,0.836594979984 
12,l,l,0.2,0,0.1,0.3,2,-0.2,0.836705481606 
13,r,l,0.01,0,0.65,0.3,1,0.35,0.981052598345 
14,l,r,0.9,0.3,0.55,0,1,0.6,1.12575809872 
15,r,r,0.4,0.3,0.55,0,2,0.1,0.837484112725 
16,l,l,0.3,0,0.5,0.3,2,0.2,0.836745159794 
17,l,r,0.7,0.3,0.65,0,1,0.4,0.878271583975 
18,r,r,0.01,0.3,0.55,0,2,-0.29,0.843211424588 
19,l,l,0.2,0,0.4,0.3,2,0.1,1.32199745974 
20,l,l,0.4,0,0.4,0.3,2,0.1,1.12400543207 
21,l,l,0.9,0,0.55,0.3,2,0.25,0.870829150413 
22,l,l,0.9,0,0.2,0.3,2,-0.1,0.956535317641 
23,r,r,0.6,0.3,0.4,0,1,0.3,0.966354176044 
24,l,l,0.55,0,0.5,0.3,2,0.2,0.837446567773 
25,r,r,0.6,0.3,0.3,0,1,0.3,1.23904572677 
26,l,l,0.3,0,0.5,0.3,1,0.2,2.36485758304 
27,l,l,0.6,0,0.6,0.3,2,0.3,0.891640573636 
28,l,l,0.5,0,0.55,0.3,2,0.25,0.99246029088 
29,r,l,0.4,0,0.6,0.3,2,0.3,1.28825094705 
30,r,r,0.65,0.3,0.6,0,2,0.35,2.21212770233 
31,l,l,0.65,0,0.55,0.3,2,0.25,0.836152546849 
32,r,r,0.7,0.3,0.7,0,1,0.4,0.887669341602 
33,r,l,0.3,0,0.65,0.3,1,0.35,1.23649394993 
34,l,l,0.1,0,0.01,0.3,2,-0.29,0.837297667904 
35,l,r,0.65,0.3,0.55,0,2,0.35,1.23326551065 
36,l,r,0.1,0.3,0.9,0,2,-0.2,0.84803125788 
37,r,r,0.6,0.3,0.5,0,1,0.3,0.836873580598 
38,r,l,0.1,0,0.3,0.3,2,0.0,1.00478783475 
39,l,l,0.7,0,0.1,0.3,2,-0.2,0.837045946062 
40,r,l,0.7,0,0.6,0.3,2,0.3,0.91545516642 
41,l,r,0.1,0.3,0.2,0,2,-0.2,1.26326563438 
42,l,r,0.2,0.3,0.2,0,2,-0.1,0.949135548798 
43,r,r,0.3,0.3,0.5,0,1,0.0,1.07090833613 
44,r,r,0.9,0.3,0.01,0,1,0.6,0.8757104209 
45,l,l,0.55,0,0.6,0.3,2,0.3,0.953564573265 
46,l,l,0.6,0,0.5,0.3,2,0.2,0.947500210124 
47,l,l,0.01,0,0.5,0.3,1,0.2,1.06942104403 
48,l,l,0.7,0,0.1,0.3,2,-0.2,0.914182904503 
49,l,l,0.65,0,0.01,0.3,2,-0.29,0.83779599182 
50,r,r,0.65,0.3,0.3,0,1,0.35,0.924867430052 
51,l,l,0.7,0,0.9,0.3,1,0.6,0.912569751482 
52,r,r,0.01,0.3,0.4,0,2,-0.29,0.93239689964 
53,l,r,0.65,0.3,0.5,0,1,0.35,1.2323102476 
54,r,l,0.2,0,0.7,0.3,1,0.4,1.08614860036 
55,r,l,0.01,0,0.5,0.3,1,0.2,1.38696132059 
56,r,l,0.65,0,0.2,0.3,2,-0.1,0.857794225501 
57,l,l,0.55,0,0.9,0.3,1,0.6,1.02467812669 
58,l,l,0.5,0,0.7,0.3,1,0.4,1.27955971717 
59,r,r,0.65,0.3,0.55,0,2,0.35,1.1152664177 
60,l,l,0.2,0,0.1,0.3,2,-0.2,0.837277615486 
61,l,l,0.1,0,0.4,0.3,2,0.1,0.973910524405 
62,r,l,0.01,0,0.4,0.3,1,0.1,1.3108111971 
63,r,r,0.2,0.3,0.1,0,2,-0.1,0.937669832247 
64,r,r,0.1,0.3,0.7,0,2,-0.2,0.868401954556 
65,r,l,0.2,0,0.55,0.3,2,0.25,1.36228959361 
66,l,l,0.5,0,0.01,0.3,2,-0.29,0.836679882774 
67,l,r,0.65,0.3,0.2,0,1,0.35,0.836846275178 
68,l,l,0.9,0,0.6,0.3,2,0.3,1.00779783067 
69,l,l,0.5,0,0.3,0.3,2,0.0,0.836196064862 
70,l,r,0.55,0.3,0.6,0,2,0.25,0.950454741906 
71,r,r,0.3,0.3,0.4,0,2,0.0,0.837696583025 
72,l,l,0.9,0,0.01,0.3,2,-0.29,0.945193328774 
73,l,r,0.3,0.3,0.4,0,1,0.0,1.04303035552 
74,r,l,0.1,0,0.4,0.3,2,0.1,0.836782704747 
75,l,l,0.01,0,0.5,0.3,2,0.2,0.848740772155 
76,l,r,0.4,0.3,0.5,0,2,0.1,1.15048827638 
77,l,l,0.4,0,0.01,0.3,2,-0.29,1.00135972459 
78,r,r,0.65,0.3,0.3,0,1,0.35,0.929046439267 
