# Time : Thu Feb 16 17:24:22 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : JV_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05D60918> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05D60D78> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,r,0.2,0.3,0.01,0,2,-0.1,1.30224625478 
1,r,r,0.4,0.3,0.55,0,1,0.1,2.32006474798 
2,r,r,0.2,0.3,0.1,0,2,-0.1,1.44082254165 
3,r,r,0.55,0.3,0.6,0,2,0.25,0.837480272901 
4,r,r,0.3,0.3,0.01,0,2,0.0,2.07747614296 
5,r,r,0.5,0.3,0.2,0,1,0.2,0.837307480789 
6,r,r,0.65,0.3,0.3,0,1,0.35,0.862107201933 
7,l,l,0.2,0,0.9,0.3,1,0.6,0.836746439736 
8,l,l,0.6,0,0.9,0.3,1,0.6,0.837774232814 
9,r,r,0.6,0.3,0.3,0,2,0.3,2.34564949995 
10,r,r,0.65,0.3,0.7,0,1,0.35,1.25732713216 
11,r,l,0.4,0,0.7,0.3,1,0.4,0.836904725843 
12,l,l,0.65,0,0.5,0.3,1,0.2,1.86108666186 
13,l,r,0.3,0.3,0.3,0,2,0.0,1.28880132192 
14,l,l,0.4,0,0.9,0.3,1,0.6,0.860673240731 
15,r,r,0.6,0.3,0.1,0,1,0.3,0.836881260248 
16,r,r,0.2,0.3,0.2,0,2,-0.1,0.836995175047 
17,l,l,0.1,0,0.6,0.3,1,0.3,0.83708733084 
18,r,r,0.2,0.3,0.9,0,2,-0.1,0.837197405814 
19,l,l,0.6,0,0.01,0.3,2,-0.29,1.125883533 
20,l,l,0.3,0,0.2,0.3,2,-0.1,1.11277522477 
21,r,r,0.01,0.3,0.01,0,2,-0.29,1.01262833014 
22,l,l,0.5,0,0.5,0.3,1,0.2,0.836920085142 
23,r,r,0.2,0.3,0.5,0,2,-0.1,0.836133347726 
24,l,l,0.6,0,0.65,0.3,1,0.35,1.35314398447 
25,r,r,0.3,0.3,0.01,0,1,0.0,0.836143587258 
26,l,r,0.6,0.3,0.5,0,2,0.3,2.1366887997 
27,r,r,0.2,0.3,0.4,0,1,-0.1,1.13767648794 
28,r,r,0.55,0.3,0.3,0,1,0.25,0.837159007567 
