# Time : Thu Feb 16 16:56:36 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : JV_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05750738> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x057500A8> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.01,0,0.4,0.3,2,0.1,1.90262375222 
1,l,r,0.4,0.3,0.7,0,2,0.1,1.4494348418 
2,r,r,0.65,0.3,0.65,0,2,0.35,1.94330242843 
3,r,r,0.65,0.3,0.5,0,2,0.35,1.64701856811 
4,r,r,0.2,0.3,0.01,0,2,-0.1,1.33281381927 
5,r,r,0.1,0.3,0.9,0,2,-0.2,0.837146634799 
6,l,l,0.55,0,0.01,0.3,2,-0.29,0.94140128856 
7,l,l,0.4,0,0.5,0.3,2,0.2,1.77628200014 
8,r,r,0.7,0.3,0.1,0,1,0.4,0.895058870912 
9,r,r,0.7,0.3,0.55,0,1,0.4,1.64388996428 
10,l,l,0.9,0,0.5,0.3,2,0.2,1.01668489161 
11,r,r,0.4,0.3,0.55,0,2,0.1,1.60051743771 
12,r,r,0.1,0.3,0.5,0,2,-0.2,0.943384771341 
13,r,l,0.01,0,0.65,0.3,1,0.35,1.13831731202 
14,r,r,0.4,0.3,0.6,0,2,0.1,0.940075269097 
15,l,r,0.65,0.3,0.7,0,1,0.35,1.45490189888 
16,l,l,0.9,0,0.1,0.3,2,-0.2,0.837465766896 
17,l,l,0.65,0,0.7,0.3,1,0.4,1.13849863708 
18,l,r,0.4,0.3,0.4,0,2,0.1,1.74044662281 
19,r,r,0.9,0.3,0.6,0,1,0.6,0.949309620851 
20,r,r,0.7,0.3,0.4,0,1,0.4,1.46403001548 
21,l,r,0.2,0.3,0.5,0,2,-0.1,2.08486396568 
22,r,l,0.6,0,0.2,0.3,2,-0.1,0.836878273717 
23,r,r,0.9,0.3,0.3,0,1,0.6,1.18155715131 
24,l,r,0.01,0.3,0.65,0,2,-0.29,0.835387141792 
25,l,l,0.6,0,0.01,0.3,2,-0.29,1.31723266394 
26,l,l,0.7,0,0.9,0.3,1,0.6,1.15998160297 
27,r,r,0.7,0.3,0.65,0,1,0.4,1.02573706502 
28,l,r,0.4,0.3,0.55,0,2,0.1,2.00863491245 
29,r,l,0.6,0,0.3,0.3,2,0.0,0.87839061854 
30,l,r,0.3,0.3,0.2,0,1,0.0,2.51533519323 
31,l,r,0.7,0.3,0.6,0,1,0.4,0.837530190622 
32,l,l,0.2,0,0.9,0.3,1,0.6,1.02693338373 
33,r,r,0.6,0.3,0.3,0,1,0.3,1.05768056669 
34,r,l,0.3,0,0.7,0.3,1,0.4,1.33550340315 
35,l,l,0.01,0,0.5,0.3,1,0.2,1.05738831337 
36,r,r,0.9,0.3,0.3,0,1,0.6,0.836596686573 
37,r,r,0.01,0.3,0.55,0,2,-0.29,1.13399793588 
38,r,r,0.7,0.3,0.4,0,1,0.4,0.952909669831 
39,r,r,0.7,0.3,0.65,0,1,0.4,0.858646239937 
40,r,r,0.01,0.3,0.4,0,2,-0.29,1.28754271272 
41,l,l,0.01,0,0.5,0.3,1,0.2,1.33234365407 
42,l,l,0.55,0,0.5,0.3,2,0.2,2.43012820321 
43,r,r,0.55,0.3,0.3,0,1,0.25,1.24076682153 
44,l,l,0.4,0,0.4,0.3,1,0.1,1.44773465275 
45,r,l,0.5,0,0.9,0.3,1,0.6,0.837257989715 
46,r,l,0.9,0,0.01,0.3,2,-0.29,0.835570600084 
47,l,l,0.2,0,0.3,0.3,2,0.0,0.915424021175 
48,l,l,0.1,0,0.6,0.3,1,0.3,0.847106286774 
49,r,r,0.6,0.3,0.1,0,1,0.3,0.957952639602 
50,r,r,0.6,0.3,0.2,0,1,0.3,0.855750158819 
51,r,l,0.3,0,0.9,0.3,1,0.6,0.93857688417 
52,l,r,0.6,0.3,0.55,0,1,0.3,1.22943293895 
53,r,r,0.4,0.3,0.7,0,2,0.1,2.43530130038 
54,r,r,0.2,0.3,0.55,0,2,-0.1,1.71897560303 
55,l,l,0.7,0,0.7,0.3,1,0.4,1.15379521874 
56,l,l,0.2,0,0.01,0.3,2,-0.29,1.05863028333 
57,l,r,0.4,0.3,0.5,0,2,0.1,1.29638668229 
58,r,r,0.6,0.3,0.65,0,1,0.3,0.836486611598 
59,l,r,0.65,0.3,0.65,0,1,0.35,0.836615459049 
60,r,r,0.4,0.3,0.01,0,2,0.1,1.48198759566 
61,l,r,0.65,0.3,0.2,0,1,0.35,0.837302361023 
62,r,r,0.5,0.3,0.1,0,1,0.2,1.09273517966 
63,l,l,0.7,0,0.1,0.3,2,-0.2,2.1685367324 
64,l,l,0.3,0,0.55,0.3,2,0.25,1.05626324473 
65,r,r,0.3,0.3,0.9,0,2,0.0,0.893023337175 
66,l,l,0.5,0,0.7,0.3,1,0.4,1.32193687584 
67,r,r,0.7,0.3,0.7,0,1,0.4,1.01281264173 
68,r,r,0.65,0.3,0.5,0,1,0.35,0.836805743695 
69,r,r,0.65,0.3,0.1,0,1,0.35,1.05042457795 
70,r,r,0.7,0.3,0.6,0,1,0.4,0.83692947138 
71,r,l,0.3,0,0.01,0.3,2,-0.29,0.836147000436 
72,r,l,0.5,0,0.1,0.3,2,-0.2,1.06295733912 
73,l,l,0.4,0,0.65,0.3,1,0.35,1.10078473217 
74,r,l,0.65,0,0.9,0.3,1,0.6,1.97660821458 
75,l,r,0.5,0.3,0.3,0,2,0.2,1.68847032903 
76,l,l,0.7,0,0.6,0.3,1,0.3,1.163171644 
77,r,r,0.5,0.3,0.55,0,1,0.2,2.1880016571 
78,r,l,0.1,0,0.2,0.3,2,-0.1,1.00987474918 
79,l,l,0.5,0,0.55,0.3,1,0.25,0.836583033863 
80,l,l,0.01,0,0.55,0.3,1,0.25,1.12049412571 
81,l,r,0.3,0.3,0.5,0,2,0.0,0.8366683633 
82,r,r,0.2,0.3,0.01,0,2,-0.1,1.49012290426 
83,r,r,0.5,0.3,0.9,0,1,0.2,1.36496381819 
84,l,r,0.3,0.3,0.6,0,2,0.0,1.31778645199 
85,r,l,0.55,0,0.2,0.3,2,-0.1,1.28151034811 
86,l,l,0.01,0,0.9,0.3,1,0.6,0.941359903783 
87,l,l,0.9,0,0.1,0.3,2,-0.2,0.856250615972 
88,l,r,0.3,0.3,0.5,0,2,0.0,1.18200683745 
89,l,l,0.1,0,0.6,0.3,1,0.3,0.838973964709 
90,l,l,0.3,0,0.5,0.3,1,0.2,1.25367460558 
91,r,r,0.1,0.3,0.2,0,2,-0.2,0.96249984534 
92,l,l,0.1,0,0.9,0.3,1,0.6,0.837288708313 
93,r,l,0.01,0,0.9,0.3,1,0.6,1.01127969838 
94,l,r,0.5,0.3,0.6,0,1,0.2,1.37910247937 
95,l,l,0.55,0,0.65,0.3,1,0.35,1.11493832602 
96,l,r,0.3,0.3,0.6,0,1,0.0,1.50268894391 
97,l,l,0.65,0,0.2,0.3,2,-0.1,1.05756793183 
