# Time : Thu Feb 16 16:42:14 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : JV_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05BC4918> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05BE0D28> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,r,0.9,0.3,0.6,0,1,0.6,0.836647884235 
1,l,l,0.01,0,0.65,0.3,2,0.35,0.908773871444 
2,l,l,0.5,0,0.7,0.3,2,0.4,1.32061213632 
3,l,r,0.55,0.3,0.01,0,1,0.25,1.37037839766 
4,r,l,0.5,0,0.6,0.3,2,0.3,1.20320224314 
5,r,l,0.2,0,0.7,0.3,2,0.4,2.33000008106 
6,l,l,0.5,0,0.6,0.3,2,0.3,1.12175956127 
7,l,l,0.6,0,0.3,0.3,1,0.0,1.09261486516 
8,l,l,0.65,0,0.5,0.3,1,0.2,1.32944202654 
9,l,l,0.2,0,0.65,0.3,2,0.35,0.836137614197 
10,r,r,0.55,0.3,0.7,0,2,0.25,1.13810142854 
11,l,l,0.9,0,0.55,0.3,1,0.25,1.70787040336 
12,l,r,0.6,0.3,0.5,0,2,0.3,1.62275855566 
13,r,l,0.6,0,0.6,0.3,1,0.3,2.10851515259 
14,r,r,0.1,0.3,0.01,0,2,-0.2,0.861398114305 
15,l,l,0.6,0,0.5,0.3,2,0.2,1.30712112556 
16,l,l,0.9,0,0.1,0.3,2,-0.2,2.07894892905 
17,l,l,0.1,0,0.01,0.3,2,-0.29,0.856711821583 
18,r,r,0.5,0.3,0.55,0,1,0.2,1.57570833033 
19,r,r,0.7,0.3,0.3,0,1,0.4,1.11931572617 
20,l,l,0.2,0,0.65,0.3,2,0.35,1.17022625527 
21,l,l,0.6,0,0.65,0.3,1,0.35,1.27404700884 
22,l,l,0.1,0,0.01,0.3,2,-0.29,1.05478789875 
23,l,r,0.7,0.3,0.7,0,1,0.4,1.6926941362 
24,r,l,0.4,0,0.5,0.3,2,0.2,0.943506792437 
25,l,l,0.2,0,0.4,0.3,2,0.1,1.62526852107 
26,l,r,0.55,0.3,0.5,0,2,0.25,0.879266098572 
27,l,l,0.3,0,0.9,0.3,1,0.6,2.04497501341 
28,r,r,0.01,0.3,0.7,0,2,-0.29,0.848688721198 
29,l,r,0.1,0.3,0.55,0,2,-0.2,1.22362755066 
30,r,l,0.5,0,0.9,0.3,1,0.6,1.03845584436 
31,l,r,0.5,0.3,0.3,0,2,0.2,0.837127435675 
32,r,r,0.6,0.3,0.1,0,1,0.3,1.05113878534 
33,r,r,0.65,0.3,0.2,0,2,0.35,2.00197537648 
34,l,l,0.65,0,0.9,0.3,1,0.6,1.27180881769 
35,l,r,0.6,0.3,0.2,0,2,0.3,1.04452148745 
36,r,l,0.1,0,0.5,0.3,1,0.2,2.24236632184 
37,l,l,0.01,0,0.5,0.3,2,0.2,1.04620119743 
38,r,r,0.01,0.3,0.65,0,2,-0.29,1.40399904943 
39,l,l,0.3,0,0.5,0.3,1,0.2,2.15477181415 
40,l,l,0.7,0,0.55,0.3,2,0.25,0.946512948529 
41,r,r,0.6,0.3,0.5,0,2,0.3,1.65246557277 
42,l,r,0.65,0.3,0.7,0,2,0.35,1.297152514 
43,r,r,0.7,0.3,0.65,0,1,0.4,1.72499175504 
44,r,r,0.01,0.3,0.1,0,2,-0.29,0.835898265125 
45,l,l,0.3,0,0.1,0.3,1,-0.2,1.69266981731 
46,l,r,0.55,0.3,0.3,0,2,0.25,1.58341357856 
47,r,l,0.55,0,0.9,0.3,1,0.6,0.9752088118 
48,r,l,0.1,0,0.7,0.3,1,0.4,1.15312324941 
49,r,r,0.4,0.3,0.55,0,2,0.1,0.865959826047 
50,r,l,0.01,0,0.3,0.3,2,0.0,1.45579700468 
51,l,l,0.65,0,0.01,0.3,2,-0.29,0.836747719677 
52,l,r,0.01,0.3,0.1,0,2,-0.29,0.837898813793 
53,r,r,0.7,0.3,0.6,0,1,0.4,0.937210759871 
54,l,l,0.6,0,0.2,0.3,2,-0.1,1.82799718584 
55,r,r,0.65,0.3,0.01,0,1,0.35,1.0738573215 
56,l,l,0.55,0,0.3,0.3,2,0.0,2.35075902668 
57,l,l,0.1,0,0.3,0.3,1,0.0,1.25345701551 
58,l,l,0.6,0,0.9,0.3,1,0.6,0.995172487059 
59,l,l,0.6,0,0.55,0.3,1,0.25,0.907107814171 
60,l,l,0.7,0,0.01,0.3,2,-0.29,1.89498591424 
61,l,l,0.1,0,0.55,0.3,1,0.25,0.977666299608 
62,l,l,0.65,0,0.2,0.3,2,-0.1,1.61057137871 
63,l,r,0.2,0.3,0.7,0,2,-0.1,1.52138334378 
64,l,l,0.2,0,0.2,0.3,2,-0.1,1.43518781223 
65,r,l,0.7,0,0.2,0.3,2,-0.1,1.80891368373 
66,l,l,0.9,0,0.2,0.3,2,-0.1,1.33476189034 
67,l,l,0.9,0,0.5,0.3,2,0.2,1.35359537719 
68,r,r,0.3,0.3,0.6,0,2,0.0,1.2664113041 
69,l,l,0.9,0,0.1,0.3,2,-0.2,1.12724027106 
70,r,r,0.4,0.3,0.55,0,1,0.1,2.20205925532 
71,l,l,0.2,0,0.6,0.3,1,0.3,2.48784119509 
72,l,l,0.9,0,0.7,0.3,2,0.4,1.20060012194 
73,l,l,0.9,0,0.65,0.3,2,0.35,1.05740537925 
74,r,l,0.9,0,0.55,0.3,2,0.25,1.09526263761 
75,r,r,0.3,0.3,0.3,0,2,0.0,1.33109229787 
76,r,r,0.3,0.3,0.4,0,2,0.0,0.8364938646 
77,r,r,0.7,0.3,0.01,0,1,0.4,0.837506298379 
78,l,l,0.9,0,0.5,0.3,2,0.2,1.60356455193 
79,r,r,0.3,0.3,0.65,0,2,0.0,1.19340301051 
80,r,r,0.9,0.3,0.3,0,1,0.6,0.985146278122 
81,r,r,0.01,0.3,0.2,0,2,-0.29,0.836579620685 
82,r,l,0.9,0,0.6,0.3,2,0.3,1.08090467977 
83,l,r,0.2,0.3,0.4,0,2,-0.1,0.93374766464 
84,r,r,0.9,0.3,0.5,0,1,0.6,1.21652899473 
85,l,r,0.7,0.3,0.2,0,1,0.4,0.836714441197 
86,r,r,0.3,0.3,0.3,0,2,0.0,1.00723806956 
87,r,r,0.01,0.3,0.6,0,2,-0.29,1.1580804631 
88,l,l,0.01,0,0.2,0.3,2,-0.1,1.16791212092 
89,l,l,0.01,0,0.01,0.3,2,-0.29,0.865682505375 
90,l,l,0.2,0,0.55,0.3,1,0.25,0.84755469297 
91,r,r,0.01,0.3,0.5,0,2,-0.29,0.974436153741 
92,r,l,0.01,0,0.9,0.3,1,0.6,0.927207589883 
93,l,l,0.6,0,0.9,0.3,1,0.6,0.97810915939 
94,r,r,0.2,0.3,0.65,0,2,-0.1,1.05197842701 
95,r,r,0.4,0.3,0.65,0,2,0.1,1.07278430382 
96,l,r,0.7,0.3,0.4,0,1,0.4,0.836100495892 
97,r,r,0.65,0.3,0.55,0,1,0.35,0.844456807732 
98,l,r,0.55,0.3,0.2,0,1,0.25,0.837240923828 
99,r,r,0.1,0.3,0.7,0,2,-0.2,1.11410337747 
100,l,l,0.5,0,0.2,0.3,2,-0.1,1.23798977497 
101,r,l,0.6,0,0.5,0.3,2,0.2,1.28376347192 
102,r,l,0.9,0,0.2,0.3,2,-0.1,0.904582062814 
103,l,r,0.65,0.3,0.1,0,1,0.35,0.837269935837 
104,r,l,0.7,0,0.55,0.3,2,0.25,0.931193754568 
