# Time : Thu Feb 23 13:16:31 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S05JV_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05D935F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05D93D28> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,l,0.55,0,0.55,0.3,2,0.25,1.4985282868 
1,l,l,0.3,0,0.7,0.3,2,0.4,1.06234227454 
2,l,r,0.55,0.3,0.01,0,2,0.25,1.42821115703 
3,l,r,0.1,0.3,0.1,0,2,-0.2,0.836335423469 
4,r,r,0.9,0.3,0.65,0,1,0.6,1.76883329984 
5,r,l,0.7,0,0.4,0.3,2,0.1,2.20063851746 
6,r,r,0.3,0.3,0.1,0,2,0.0,0.870397083111 
7,r,l,0.3,0,0.1,0.3,2,-0.2,0.916245247704 
8,l,l,0.5,0,0.55,0.3,2,0.25,1.20820208655 
9,l,l,0.7,0,0.1,0.3,2,-0.2,1.84690513583 
10,l,l,0.7,0,0.65,0.3,2,0.35,1.20369287165 
11,l,l,0.55,0,0.9,0.3,1,0.6,0.866592259714 
12,l,r,0.2,0.3,0.9,0,2,-0.1,1.2573610192 
13,l,l,0.5,0,0.5,0.3,2,0.2,1.96633810707 
14,r,r,0.6,0.3,0.5,0,2,0.3,1.11795891149 
15,r,l,0.5,0,0.01,0.3,2,-0.29,1.4888148517 
16,l,l,0.7,0,0.3,0.3,2,0.0,0.892636399591 
17,l,l,0.9,0,0.55,0.3,2,0.25,0.836866170307 
18,l,l,0.7,0,0.01,0.3,2,-0.29,0.836809426473 
19,r,r,0.1,0.3,0.5,0,2,-0.2,1.03014633509 
20,r,r,0.6,0.3,0.65,0,2,0.3,0.836819239317 
21,l,r,0.55,0.3,0.5,0,2,0.25,0.836814972863 
22,l,l,0.4,0,0.7,0.3,1,0.4,1.21875345316 
23,r,l,0.9,0,0.7,0.3,2,0.4,1.53751002083 
24,l,l,0.2,0,0.3,0.3,2,0.0,1.05830962252 
25,r,r,0.5,0.3,0.1,0,2,0.2,0.976153083771 
26,l,l,0.55,0,0.65,0.3,2,0.35,2.36903203125 
27,l,l,0.3,0,0.3,0.3,2,0.0,0.836012452925 
28,r,r,0.7,0.3,0.5,0,1,0.4,0.836050851008 
29,l,l,0.3,0,0.9,0.3,1,0.6,0.837454087625 
30,l,l,0.2,0,0.3,0.3,2,0.0,0.900296390538 
31,r,r,0.6,0.3,0.01,0,2,0.3,1.52217467971 
32,r,l,0.5,0,0.3,0.3,2,0.0,0.836770601745 
33,l,l,0.2,0,0.01,0.3,2,-0.29,0.836855930819 
34,l,l,0.6,0,0.65,0.3,1,0.35,0.835991973947 
35,r,r,0.4,0.3,0.3,0,2,0.1,1.02363188696 
36,l,l,0.7,0,0.55,0.3,2,0.25,0.89431951557 
37,r,l,0.01,0,0.65,0.3,1,0.35,1.31516421367 
38,l,l,0.2,0,0.7,0.3,1,0.4,1.07897675081 
39,r,r,0.4,0.3,0.3,0,2,0.1,0.836878969669 
40,l,l,0.1,0,0.7,0.3,1,0.4,0.836849531138 
41,r,r,0.6,0.3,0.4,0,2,0.3,0.83608754251 
42,l,r,0.3,0.3,0.2,0,2,0.0,0.836168178485 
43,r,r,0.1,0.3,0.55,0,2,-0.2,0.836314091201 
44,l,l,0.1,0,0.6,0.3,1,0.3,0.965070543678 
45,l,l,0.65,0,0.1,0.3,2,-0.2,1.87886556703 
46,l,l,0.6,0,0.01,0.3,2,-0.29,0.969660821198 
47,r,r,0.2,0.3,0.01,0,2,-0.1,0.836846971266 
48,r,r,0.7,0.3,0.1,0,1,0.4,1.05734796386 
49,l,r,0.65,0.3,0.7,0,2,0.35,0.879227362303 
50,l,l,0.1,0,0.65,0.3,1,0.35,1.0370498838 
51,r,r,0.01,0.3,0.1,0,2,-0.29,0.836403686728 
52,r,l,0.9,0,0.6,0.3,2,0.3,1.08960064714 
53,r,r,0.55,0.3,0.65,0,2,0.25,1.77341888426 
54,r,l,0.01,0,0.3,0.3,2,0.0,0.997220405424 
55,r,r,0.3,0.3,0.1,0,2,0.0,0.836037198356 
56,l,l,0.2,0,0.7,0.3,1,0.4,0.836224069028 
57,r,r,0.5,0.3,0.7,0,2,0.2,0.83633073037 
58,l,l,0.5,0,0.3,0.3,2,0.0,1.08159336686 
59,r,r,0.7,0.3,0.9,0,2,0.4,0.846437532505 
60,l,r,0.7,0.3,0.6,0,1,0.4,0.917309301253 
61,r,r,0.9,0.3,0.55,0,1,0.6,1.0892260525 
62,l,l,0.6,0,0.4,0.3,2,0.1,0.836002640082 
63,l,l,0.55,0,0.1,0.3,2,-0.2,2.1238402179 
64,r,r,0.65,0.3,0.5,0,1,0.35,0.837115757848 
65,r,r,0.4,0.3,0.65,0,2,0.1,1.26745459533 
66,r,r,0.5,0.3,0.3,0,2,0.2,1.07224770006 
