# Time : Thu Feb 16 17:48:17 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : JVn_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05E4D350> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05E4DE68> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.7,0,0.1,0.3,2,-0.2,0.947667029175 
1,r,l,0.01,0,0.7,0.3,1,0.4,0.862520623058 
2,l,r,0.3,0.3,0.4,0,2,0.0,0.948284814304 
3,r,l,0.4,0,0.55,0.3,2,0.25,0.836723400788 
4,l,r,0.3,0.3,0.55,0,2,0.0,1.04604291132 
5,r,l,0.5,0,0.65,0.3,2,0.35,0.90785615334 
6,r,l,0.55,0,0.1,0.3,2,-0.2,0.959624669935 
7,r,l,0.2,0,0.1,0.3,2,-0.2,0.837284015194 
8,r,l,0.4,0,0.01,0.3,2,-0.29,0.837396650052 
9,l,r,0.3,0.3,0.01,0,2,0.0,1.47916532451 
10,r,l,0.55,0,0.3,0.3,2,0.0,0.837309614025 
11,l,r,0.5,0.3,0.9,0,2,0.2,0.937900221729 
12,r,l,0.7,0,0.3,0.3,2,0.0,0.837785752288 
13,l,r,0.3,0.3,0.2,0,2,0.0,1.05861236415 
14,r,l,0.7,0,0.4,0.3,2,0.1,0.836184118741 
15,l,r,0.7,0.3,0.9,0,1,0.4,0.83629206048 
16,r,l,0.4,0,0.65,0.3,2,0.35,0.83728913496 
17,l,r,0.1,0.3,0.3,0,2,-0.2,0.837404329701 
18,l,r,0.65,0.3,0.6,0,1,0.35,0.899773748996 
19,r,l,0.1,0,0.9,0.3,1,0.6,0.837715355502 
20,r,l,0.5,0,0.6,0.3,2,0.3,0.894444072313 
21,r,l,0.1,0,0.2,0.3,2,-0.1,0.837103116786 
22,r,l,0.3,0,0.9,0.3,1,0.6,1.33818872056 
23,r,l,0.01,0,0.5,0.3,1,0.2,0.996005729018 
24,r,l,0.55,0,0.6,0.3,2,0.3,0.837866815254 
25,l,r,0.65,0.3,0.7,0,1,0.35,1.29874262807 
26,l,r,0.5,0.3,0.1,0,1,0.2,1.10246273557 
27,l,r,0.4,0.3,0.6,0,2,0.1,0.986300785415 
28,r,l,0.6,0,0.65,0.3,2,0.35,1.07516456849 
29,l,r,0.65,0.3,0.7,0,1,0.35,0.960003105992 
