# Time : Thu Feb 16 17:52:48 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : JVn_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05C64EE0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0595B5A8> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.4,0.3,0.55,0,2,0.1,0.836309126367 
1,r,l,0.6,0,0.3,0.3,2,0.0,1.10506144359 
2,l,r,0.3,0.3,0.01,0,1,0.0,0.836787824513 
3,l,r,0.3,0.3,0.01,0,2,0.0,0.995665264562 
4,r,l,0.9,0,0.55,0.3,2,0.25,1.25948596693 
5,l,r,0.4,0.3,0.6,0,2,0.1,0.836073617119 
6,r,l,0.01,0,0.5,0.3,1,0.2,0.836110308777 
7,r,l,0.7,0,0.7,0.3,1,0.4,0.837144501563 
8,l,r,0.65,0.3,0.3,0,1,0.35,1.01292186341 
9,r,l,0.5,0,0.01,0.3,2,-0.29,0.836377389918 
10,l,r,0.6,0.3,0.1,0,1,0.3,0.836644897705 
11,r,l,0.5,0,0.1,0.3,2,-0.2,1.10630725339 
12,l,r,0.2,0.3,0.7,0,2,-0.1,1.44525156612 
13,r,l,0.65,0,0.2,0.3,2,-0.1,1.06704333925 
14,l,r,0.5,0.3,0.6,0,1,0.2,0.857854382755 
15,l,r,0.5,0.3,0.55,0,2,0.2,1.87972901077 
16,r,l,0.5,0,0.7,0.3,2,0.4,0.970506733133 
17,l,r,0.1,0.3,0.65,0,2,-0.2,1.09133961671 
