# Time : Thu Feb 16 17:43:10 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : JVn_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05E381C0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05E38198> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.5,0,0.7,0.3,1,0.4,4.16077516674 
1,l,r,0.4,0.3,0.5,0,2,0.1,1.03546632751 
2,l,r,0.65,0.3,0.1,0,1,0.35,0.870386717278 
3,r,l,0.55,0,0.01,0.3,2,-0.29,0.836590713512 
4,l,r,0.5,0.3,0.65,0,1,0.2,1.07001408362 
5,l,r,0.01,0.3,0.55,0,2,-0.29,0.837506298379 
6,r,l,0.4,0,0.9,0.3,1,0.6,0.836779718217 
7,r,l,0.65,0,0.1,0.3,2,-0.2,0.856700302109 
8,r,l,0.9,0,0.2,0.3,2,-0.1,1.31835901252 
9,l,r,0.01,0.3,0.3,0,2,-0.29,0.994166452988 
10,r,l,0.6,0,0.6,0.3,1,0.3,0.978069054554 
11,r,l,0.9,0,0.5,0.3,2,0.2,1.12384799926 
12,l,r,0.7,0.3,0.9,0,1,0.4,0.8937251718 
13,l,r,0.01,0.3,0.3,0,2,-0.29,0.83615084026 
14,r,l,0.55,0,0.4,0.3,1,0.1,1.27338058593 
15,l,r,0.2,0.3,0.65,0,2,-0.1,1.05419187263 
16,r,l,0.9,0,0.55,0.3,2,0.25,0.987023525753 
17,r,l,0.4,0,0.55,0.3,1,0.25,0.859861331131 
18,r,l,0.1,0,0.65,0.3,1,0.35,0.96968757053 
19,l,r,0.2,0.3,0.4,0,2,-0.1,0.979539707414 
20,r,l,0.2,0,0.1,0.3,2,-0.2,0.836612899166 
21,r,l,0.4,0,0.7,0.3,1,0.4,0.836728093907 
22,r,l,0.55,0,0.4,0.3,2,0.1,1.16898940507 
23,r,l,0.6,0,0.2,0.3,2,-0.1,1.1539215063 
24,l,r,0.65,0.3,0.01,0,1,0.35,0.963738828777 
25,r,l,0.2,0,0.3,0.3,2,0.0,0.836632098289 
26,r,l,0.01,0,0.5,0.3,1,0.2,0.876439560946 
27,l,r,0.6,0.3,0.2,0,1,0.3,0.836151266907 
28,l,r,0.2,0.3,0.7,0,2,-0.1,0.836262621824 
29,r,l,0.65,0,0.1,0.3,2,-0.2,0.836383362978 
30,r,l,0.9,0,0.6,0.3,1,0.3,1.06180112524 
31,r,l,0.1,0,0.65,0.3,1,0.35,0.859675739604 
32,l,r,0.3,0.3,0.55,0,2,0.0,0.837386837166 
33,r,l,0.01,0,0.3,0.3,1,0.0,1.26436894401 
34,r,l,0.1,0,0.6,0.3,1,0.3,0.837191432754 
35,r,l,0.3,0,0.9,0.3,1,0.6,0.837225137882 
36,l,r,0.4,0.3,0.4,0,2,0.1,0.836468692416 
37,l,r,0.01,0.3,0.6,0,2,-0.29,0.837522510972 
38,l,r,0.6,0.3,0.2,0,1,0.3,0.836738760086 
39,r,l,0.01,0,0.2,0.3,2,-0.1,1.05545986807 
40,l,r,0.4,0.3,0.7,0,2,0.1,1.5482505972 
41,r,l,0.5,0,0.1,0.3,2,-0.2,1.19807522387 
42,r,l,0.55,0,0.4,0.3,2,0.1,0.836567247917 
43,r,l,0.5,0,0.65,0.3,1,0.35,0.86876716455 
44,r,l,0.6,0,0.3,0.3,2,0.0,0.837075811366 
45,r,l,0.7,0,0.5,0.3,2,0.2,1.64032831354 
46,l,r,0.7,0.3,0.1,0,1,0.4,0.836112868661 
47,r,l,0.9,0,0.6,0.3,2,0.3,0.932004384227 
48,l,r,0.4,0.3,0.7,0,2,0.1,0.835868826469 
49,r,l,0.2,0,0.55,0.3,2,0.25,1.18177644797 
50,r,l,0.5,0,0.6,0.3,1,0.3,0.92655396639 
51,r,l,0.3,0,0.3,0.3,2,0.0,0.836844568589 
52,r,l,0.65,0,0.5,0.3,1,0.2,1.39326247292 
53,r,l,0.5,0,0.1,0.3,2,-0.2,0.836176439092 
54,r,l,0.7,0,0.65,0.3,2,0.35,0.870989996403 
55,l,r,0.1,0.3,0.3,0,1,-0.2,0.980753518666 
56,r,l,0.3,0,0.55,0.3,1,0.25,1.30163316277 
57,r,l,0.01,0,0.3,0.3,1,0.0,1.20254051335 
58,r,l,0.6,0,0.2,0.3,2,-0.1,0.969291641939 
59,l,r,0.5,0.3,0.01,0,1,0.2,1.38619506224 
60,r,l,0.4,0,0.9,0.3,1,0.6,0.938036748829 
61,l,r,0.65,0.3,0.2,0,1,0.35,0.980776130967 
62,l,r,0.5,0.3,0.1,0,1,0.2,0.901638197211 
63,r,l,0.1,0,0.9,0.3,1,0.6,0.836419201342 
64,l,r,0.01,0.3,0.6,0,2,-0.29,0.837447421067 
65,l,r,0.01,0.3,0.55,0,2,-0.29,0.836717854374 
66,l,r,0.55,0.3,0.7,0,2,0.25,1.14995966051 
67,l,r,0.55,0.3,0.5,0,1,0.25,0.879851031868 
68,r,l,0.3,0,0.3,0.3,2,0.0,1.67662702972 
69,r,l,0.2,0,0.7,0.3,1,0.4,0.83631168625 
70,r,l,0.65,0,0.55,0.3,2,0.25,0.836435413935 
