# Time : Thu Feb 16 17:38:47 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : JVn_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05C6A698> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0574E6E8> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.3,0,0.3,0.3,2,0.0,0.83719655252 
1,r,l,0.4,0,0.9,0.3,1,0.6,0.837265242717 
2,r,l,0.01,0,0.55,0.3,1,0.25,1.84453275093 
3,l,r,0.3,0.3,0.1,0,2,0.0,0.836773318509 
4,r,l,0.3,0,0.01,0.3,2,-0.29,0.837767833106 
5,r,l,0.01,0,0.3,0.3,2,0.0,0.836865474302 
6,r,l,0.7,0,0.6,0.3,2,0.3,0.988870481433 
7,r,l,0.7,0,0.01,0.3,2,-0.29,0.836489171481 
8,r,l,0.01,0,0.1,0.3,2,-0.2,0.964587856682 
9,l,r,0.9,0.3,0.4,0,1,0.6,0.837634292536 
10,l,r,0.7,0.3,0.55,0,1,0.4,0.836690122307 
11,r,l,0.6,0,0.6,0.3,2,0.3,0.892027969283 
12,r,l,0.01,0,0.4,0.3,2,0.1,1.0320006724 
13,l,r,0.4,0.3,0.55,0,2,0.1,0.836881686895 
14,r,l,0.6,0,0.55,0.3,2,0.25,0.885615035388 
15,r,l,0.5,0,0.5,0.3,2,0.2,0.837148341388 
16,r,l,0.65,0,0.7,0.3,2,0.4,1.07325233579 
17,l,r,0.65,0.3,0.01,0,1,0.35,0.846282004406 
18,l,r,0.65,0.3,0.5,0,2,0.35,1.07703072329 
19,r,l,0.9,0,0.1,0.3,2,-0.2,1.19384245711 
20,l,r,0.55,0.3,0.7,0,2,0.25,1.3296306046 
21,l,r,0.65,0.3,0.9,0,1,0.35,0.836798064046 
22,l,r,0.4,0.3,0.3,0,2,0.1,0.837748633982 
23,r,l,0.7,0,0.1,0.3,2,-0.2,0.83595202267 
24,l,r,0.5,0.3,0.6,0,2,0.2,0.904027421468 
25,r,l,0.1,0,0.55,0.3,2,0.25,0.836917525259 
26,r,l,0.4,0,0.2,0.3,2,-0.1,0.836989201986 
27,l,r,0.3,0.3,0.5,0,2,0.0,0.836207584336 
28,r,l,0.3,0,0.2,0.3,2,-0.1,0.837199965698 
29,l,r,0.01,0.3,0.01,0,2,-0.29,0.837268655895 
30,l,r,0.55,0.3,0.2,0,2,0.25,0.846099399409 
31,r,l,0.4,0,0.9,0.3,1,0.6,0.909013647164 
32,r,l,0.65,0,0.55,0.3,2,0.25,0.960767657754 
33,l,r,0.9,0.3,0.2,0,1,0.6,0.837481552842 
34,l,r,0.6,0.3,0.6,0,2,0.3,0.881394641397 
