# Time : Tue Feb 21 17:49:04 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : LN_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05C90EB8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05AE9A58> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,r,0.2,0.3,0.1,0,2,-0.1,0.8366267104 
1,l,r,0.5,0.3,0.7,0,2,0.2,0.836703505616 
2,l,l,0.3,0,0.55,0.3,2,0.25,0.941388611099 
3,r,r,0.55,0.3,0.6,0,2,0.25,1.21518830187 
4,r,r,0.5,0.3,0.9,0,2,0.2,1.23104224761 
5,r,l,0.2,0,0.1,0.3,2,-0.2,0.980895910057 
6,l,l,0.3,0,0.65,0.3,2,0.35,0.87068026909 
7,r,r,0.9,0.3,0.2,0,1,0.6,0.931549863987 
8,r,r,0.4,0.3,0.65,0,2,0.1,1.00638296238 
9,r,r,0.55,0.3,0.5,0,2,0.25,0.836043066757 
10,r,r,0.01,0.3,0.7,0,2,-0.29,0.836120288613 
11,r,l,0.5,0,0.6,0.3,1,0.3,1.25990402305 
12,l,l,0.2,0,0.7,0.3,2,0.4,1.1777071167 
13,r,r,0.55,0.3,0.9,0,2,0.25,1.24956141399 
14,l,l,0.4,0,0.2,0.3,2,-0.1,0.919376542304 
15,r,r,0.5,0.3,0.1,0,2,0.2,0.83719414172 
16,r,r,0.01,0.3,0.3,0,2,-0.29,0.836771768031 
17,r,r,0.9,0.3,0.2,0,1,0.6,1.04890234038 
18,r,r,0.4,0.3,0.1,0,2,0.1,0.998749091257 
19,l,l,0.9,0,0.65,0.3,2,0.35,1.13569629369 
20,l,r,0.01,0.3,0.3,0,2,-0.29,1.25740732524 
21,l,r,0.5,0.3,0.3,0,2,0.2,1.17436823135 
22,r,r,0.9,0.3,0.65,0,1,0.6,0.855143743579 
23,l,l,0.2,0,0.4,0.3,1,0.1,1.30095063945 
24,l,l,0.9,0,0.3,0.3,2,0.0,1.2648308628 
25,l,l,0.2,0,0.7,0.3,2,0.4,1.25354281931 
26,l,l,0.5,0,0.4,0.3,1,0.1,1.4593599716 
27,l,l,0.5,0,0.3,0.3,2,0.0,1.37634263636 
28,l,l,0.65,0,0.2,0.3,2,-0.1,1.75204019291 
29,r,r,0.7,0.3,0.5,0,1,0.4,1.08984869636 
30,l,r,0.2,0.3,0.9,0,2,-0.1,1.17370437938 
31,l,l,0.1,0,0.7,0.3,1,0.4,1.31844330977 
32,r,r,0.3,0.3,0.4,0,2,0.0,1.26534325755 
33,r,r,0.01,0.3,0.3,0,2,-0.29,1.27018775577 
34,r,l,0.5,0,0.9,0.3,1,0.6,1.20300730067 
35,r,r,0.55,0.3,0.4,0,2,0.25,1.25782671245 
36,r,r,0.65,0.3,0.5,0,1,0.35,0.983550038056 
37,l,l,0.1,0,0.2,0.3,1,-0.1,1.17642804971 
38,l,l,0.3,0,0.6,0.3,1,0.3,1.43323210586 
39,r,l,0.6,0,0.5,0.3,1,0.2,1.54306377075 
40,l,l,0.2,0,0.6,0.3,2,0.3,0.985060343974 
41,r,r,0.9,0.3,0.65,0,1,0.6,1.00870943079 
42,l,r,0.6,0.3,0.01,0,2,0.3,1.12853897955 
43,l,l,0.7,0,0.01,0.3,2,-0.29,0.955349981398 
44,l,r,0.9,0.3,0.3,0,1,0.6,1.34917632864 
45,r,r,0.65,0.3,0.1,0,1,0.35,1.71900929051 
46,l,l,0.6,0,0.55,0.3,2,0.25,0.984844464089 
47,l,l,0.3,0,0.7,0.3,2,0.4,0.913679190544 
48,l,l,0.65,0,0.01,0.3,2,-0.29,1.01349291948 
49,l,l,0.3,0,0.3,0.3,1,0.0,1.30933667705 
50,r,r,0.3,0.3,0.1,0,2,0.0,1.15216972084 
51,r,l,0.7,0,0.01,0.3,2,-0.29,0.956826582749 
52,r,r,0.5,0.3,0.5,0,2,0.2,1.21466566776 
53,l,r,0.65,0.3,0.2,0,2,0.35,1.36648426381 
54,r,r,0.6,0.3,0.4,0,2,0.3,0.855331038578 
55,l,r,0.4,0.3,0.01,0,1,0.1,1.19732786779 
56,r,l,0.6,0,0.65,0.3,2,0.35,1.29305353139 
57,r,r,0.9,0.3,0.5,0,1,0.6,1.06486977238 
58,r,l,0.01,0,0.65,0.3,2,0.35,1.35861574063 
59,l,l,0.9,0,0.7,0.3,2,0.4,1.64746772041 
60,r,r,0.55,0.3,0.4,0,2,0.25,1.23627541495 
61,l,l,0.55,0,0.6,0.3,1,0.3,1.5301075645 
62,l,l,0.4,0,0.5,0.3,2,0.2,0.979977353944 
63,r,r,0.01,0.3,0.9,0,2,-0.29,1.12476620123 
64,r,l,0.5,0,0.5,0.3,2,0.2,1.11963500087 
65,l,l,0.1,0,0.4,0.3,1,0.1,1.45038943707 
66,r,r,0.55,0.3,0.01,0,2,0.25,0.952302064597 
67,l,l,0.7,0,0.55,0.3,2,0.25,1.3860358992 
68,l,l,0.1,0,0.4,0.3,1,0.1,1.10504305652 
69,r,l,0.5,0,0.1,0.3,1,-0.2,1.27671193602 
70,r,r,0.5,0.3,0.4,0,2,0.2,1.12154890831 
71,l,l,0.2,0,0.5,0.3,2,0.2,1.51621744309 
72,r,l,0.4,0,0.3,0.3,1,0.0,1.00616580258 
73,r,r,0.65,0.3,0.55,0,1,0.35,1.16601291184 
74,l,l,0.55,0,0.2,0.3,2,-0.1,1.45606204371 
75,r,r,0.5,0.3,0.6,0,2,0.2,0.972695034251 
76,r,r,0.5,0.3,0.4,0,1,0.2,1.41355290508 
77,l,r,0.4,0.3,0.7,0,2,0.1,1.06037767887 
78,r,l,0.9,0,0.4,0.3,2,0.1,1.27416020165 
79,l,l,0.2,0,0.1,0.3,2,-0.2,1.04608096946 
80,r,r,0.6,0.3,0.6,0,1,0.3,1.10080652043 
81,l,l,0.1,0,0.5,0.3,2,0.2,0.904596449672 
82,r,r,0.4,0.3,0.1,0,2,0.1,0.940605726534 
83,l,l,0.65,0,0.2,0.3,2,-0.1,0.927304368453 
84,l,r,0.6,0.3,0.01,0,1,0.3,1.13012608068 
85,r,l,0.65,0,0.55,0.3,1,0.25,1.55703196729 
86,l,l,0.55,0,0.4,0.3,2,0.1,0.836395471471 
87,r,l,0.9,0,0.55,0.3,2,0.25,0.83648293269 
88,l,r,0.3,0.3,0.7,0,2,0.0,1.20341644851 
89,l,r,0.9,0.3,0.2,0,1,0.6,1.34625981699 
90,l,l,0.65,0,0.5,0.3,2,0.2,0.84417909327 
91,l,l,0.65,0,0.1,0.3,2,-0.2,0.836458614205 
92,r,r,0.1,0.3,0.2,0,2,-0.2,0.857890452477 
93,r,l,0.5,0,0.4,0.3,2,0.1,1.16764694338 
94,l,r,0.65,0.3,0.6,0,2,0.35,1.25743121708 
95,r,l,0.5,0,0.65,0.3,2,0.35,1.59030904102 
96,l,l,0.01,0,0.1,0.3,2,-0.2,0.836370299706 
97,r,l,0.65,0,0.5,0.3,2,0.2,0.875980845567 
98,r,l,0.6,0,0.55,0.3,2,0.25,0.83695650319 
99,r,l,0.1,0,0.3,0.3,2,0.0,0.836963329431 
100,l,l,0.55,0,0.9,0.3,1,0.6,0.950571185752 
101,l,r,0.7,0.3,0.65,0,2,0.4,0.83672099786 
102,r,r,0.55,0.3,0.7,0,2,0.25,0.83772061559 
103,l,l,0.01,0,0.55,0.3,1,0.25,1.18151615942 
104,l,l,0.9,0,0.1,0.3,2,-0.2,0.836100236529 
105,l,r,0.2,0.3,0.01,0,2,-0.1,1.18921359992 
106,r,l,0.1,0,0.01,0.3,2,-0.29,0.836088290607 
107,l,l,0.65,0,0.2,0.3,2,-0.1,0.83620092359 
108,r,r,0.4,0.3,0.3,0,2,0.1,0.836272599126 
109,r,r,0.2,0.3,0.2,0,2,-0.1,0.836440268681 
110,l,l,0.3,0,0.65,0.3,2,0.35,0.83653284958 
111,l,l,0.9,0,0.7,0.3,1,0.4,0.871272445535 
112,r,r,0.2,0.3,0.65,0,2,-0.1,0.837029458645 
113,r,r,0.4,0.3,0.01,0,2,0.1,1.2429826238 
114,r,l,0.4,0,0.9,0.3,2,0.6,0.840822715684 
115,l,l,0.5,0,0.55,0.3,2,0.25,1.06367091373 
116,l,l,0.4,0,0.2,0.3,2,-0.1,0.91750572551 
117,r,l,0.9,0,0.1,0.3,2,-0.2,0.85030223184 
118,l,l,0.1,0,0.9,0.3,2,0.6,0.837129719066 
119,l,r,0.1,0.3,0.9,0,2,-0.2,1.33601533515 
120,l,r,0.6,0.3,0.65,0,2,0.3,1.14587251311 
121,l,l,0.4,0,0.3,0.3,2,0.0,0.837335359589 
122,l,l,0.9,0,0.55,0.3,2,0.25,0.837264537334 
123,r,r,0.1,0.3,0.4,0,2,-0.2,0.945377695939 
