# Time : Tue Feb 21 18:06:09 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S06LN_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05BA3968> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05BA3B98> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,l,0.3,0,0.01,0.3,2,-0.29,0.836707345377 
1,r,l,0.4,0,0.1,0.3,2,-0.2,1.13316631796 
2,r,r,0.55,0.3,0.4,0,1,0.25,1.02402623666 
3,r,l,0.7,0,0.9,0.3,1,0.6,1.43885820873 
4,l,l,0.01,0,0.7,0.3,1,0.4,1.16366681798 
5,l,r,0.3,0.3,0.3,0,2,0.0,0.836526876619 
6,l,l,0.7,0,0.6,0.3,1,0.3,1.25228423104 
7,r,r,0.65,0.3,0.3,0,1,0.35,0.945203626782 
8,r,r,0.01,0.3,0.5,0,2,-0.29,0.836662548168 
9,l,l,0.2,0,0.6,0.3,1,0.3,1.05079107605 
10,r,l,0.1,0,0.5,0.3,1,0.2,1.32867328585 
11,l,l,0.3,0,0.7,0.3,1,0.4,1.05149887196 
12,r,r,0.3,0.3,0.55,0,2,0.0,0.837246618451 
13,r,r,0.2,0.3,0.2,0,1,-0.1,1.04815700014 
14,r,l,0.6,0,0.5,0.3,1,0.2,1.46900715731 
15,l,l,0.6,0,0.65,0.3,1,0.35,0.906936997205 
16,r,r,0.01,0.3,0.01,0,2,-0.29,0.837680938062 
17,l,l,0.6,0,0.65,0.3,1,0.35,1.18157546239 
18,r,l,0.3,0,0.4,0.3,1,0.1,1.11735076983 
19,l,l,0.7,0,0.4,0.3,2,0.1,0.837551666115 
20,r,l,0.65,0,0.1,0.3,1,-0.2,0.837775225522 
21,l,l,0.1,0,0.2,0.3,2,-0.1,1.20786374481 
22,l,l,0.9,0,0.2,0.3,2,-0.1,0.836391205071 
23,r,l,0.65,0,0.01,0.3,2,-0.29,0.837449699133 
24,r,r,0.6,0.3,0.6,0,2,0.3,0.940344196159 
25,l,r,0.65,0.3,0.6,0,1,0.35,1.24621186264 
26,r,r,0.3,0.3,0.5,0,2,0.0,0.835930007133 
27,r,r,0.55,0.3,0.4,0,2,0.25,0.837110093622 
28,r,r,0.5,0.3,0.3,0,1,0.2,0.969751217631 
29,r,r,0.9,0.3,0.4,0,2,0.6,0.835823773751 
30,l,r,0.7,0.3,0.2,0,1,0.4,1.36945837187 
31,l,l,0.4,0,0.4,0.3,1,0.1,1.25029736814 
32,l,l,0.1,0,0.3,0.3,1,0.0,1.20009548205 
33,r,r,0.2,0.3,0.01,0,2,-0.1,1.20782449392 
34,l,l,0.7,0,0.5,0.3,1,0.2,1.03070699383 
35,l,l,0.1,0,0.2,0.3,1,-0.1,1.18263736958 
36,l,l,0.65,0,0.7,0.3,1,0.4,1.0943390833 
37,l,l,0.65,0,0.01,0.3,2,-0.29,0.891235788619 
38,l,l,0.9,0,0.2,0.3,2,-0.1,0.83695778311 
39,l,l,0.65,0,0.6,0.3,1,0.3,0.933868226235 
40,r,r,0.1,0.3,0.3,0,2,-0.2,0.837533747231 
41,r,r,0.3,0.3,0.55,0,2,0.0,0.92852285255 
42,r,r,0.9,0.3,0.5,0,2,0.6,0.836398031312 
43,r,l,0.2,0,0.5,0.3,1,0.2,1.25822220781 
44,r,r,0.6,0.3,0.6,0,1,0.3,0.919131224252 
45,l,l,0.3,0,0.9,0.3,2,0.6,0.837689897504 
46,r,r,0.65,0.3,0.6,0,1,0.35,1.10578925003 
47,r,l,0.55,0,0.4,0.3,1,0.1,1.20472751351 
48,r,l,0.7,0,0.2,0.3,2,-0.1,1.73237464461 
49,r,l,0.3,0,0.65,0.3,2,0.35,0.989212405329 
50,r,r,0.55,0.3,0.9,0,2,0.25,0.910082614587 
51,r,l,0.7,0,0.1,0.3,2,-0.2,0.83629521105 
52,l,r,0.2,0.3,0.1,0,1,-0.1,1.10645651514 
53,l,l,0.01,0,0.6,0.3,2,0.3,0.886463392574 
54,r,r,0.1,0.3,0.6,0,2,-0.2,0.979182523457 
55,l,r,0.2,0.3,0.4,0,2,-0.1,1.52404415554 
56,l,l,0.01,0,0.2,0.3,1,-0.1,1.58981925819 
57,l,l,0.3,0,0.3,0.3,2,0.0,0.836658281767 
58,l,l,0.9,0,0.7,0.3,2,0.4,0.987447821917 
59,l,l,0.5,0,0.3,0.3,2,0.0,0.836797366436 
60,r,l,0.01,0,0.4,0.3,1,0.1,1.06512490315 
61,l,r,0.9,0.3,0.7,0,1,0.6,0.920004129876 
62,r,r,0.3,0.3,0.1,0,2,0.0,0.83771848239 
63,r,l,0.4,0,0.01,0.3,2,-0.29,0.836803339397 
64,l,l,0.65,0,0.9,0.3,2,0.6,0.837024338964 
65,r,r,0.4,0.3,0.4,0,1,0.1,1.01536544284 
66,l,r,0.7,0.3,0.2,0,1,0.4,1.33521581162 
67,r,l,0.4,0,0.55,0.3,1,0.25,1.38504438763 
68,r,r,0.01,0.3,0.9,0,2,-0.29,1.14484601706 
69,r,r,0.1,0.3,0.1,0,2,-0.2,0.837738534474 
70,l,r,0.5,0.3,0.3,0,1,0.2,1.546361272 
71,r,r,0.5,0.3,0.6,0,2,0.2,1.50731687754 
72,r,r,0.55,0.3,0.55,0,1,0.25,1.02215200674 
73,r,r,0.6,0.3,0.7,0,1,0.3,1.25304322376 
74,r,r,0.1,0.3,0.1,0,2,-0.2,0.837189448679 
75,r,r,0.65,0.3,0.4,0,2,0.35,0.888661442317 
76,l,l,0.4,0,0.1,0.3,2,-0.2,0.837600303085 
77,l,r,0.3,0.3,0.65,0,2,0.0,1.36428536078 
78,l,l,0.55,0,0.4,0.3,2,0.1,1.16512848693 
79,l,l,0.9,0,0.2,0.3,2,-0.1,0.836937731026 
80,r,l,0.55,0,0.9,0.3,1,0.6,1.4687643991 
81,r,r,0.5,0.3,0.65,0,1,0.2,1.33662543048 
82,r,r,0.1,0.3,0.9,0,2,-0.2,0.835189359937 
83,r,l,0.65,0,0.01,0.3,2,-0.29,1.30529810196 
84,r,r,0.01,0.3,0.6,0,2,-0.29,0.972130589412 
85,l,l,0.5,0,0.6,0.3,1,0.3,1.24602243444 
86,r,l,0.65,0,0.2,0.3,2,-0.1,1.10782346998 
87,r,r,0.55,0.3,0.2,0,1,0.25,1.46260243629 
88,r,l,0.5,0,0.5,0.3,2,0.2,1.21143600228 
89,r,l,0.01,0,0.1,0.3,1,-0.2,1.81931450883 
90,r,r,0.9,0.3,0.7,0,1,0.6,0.836095970128 
91,r,r,0.5,0.3,0.5,0,2,0.2,1.2638602566 
92,l,l,0.4,0,0.01,0.3,2,-0.29,1.46173721018 
93,l,l,0.3,0,0.01,0.3,2,-0.29,0.837190301959 
94,r,r,0.5,0.3,0.9,0,1,0.2,1.07237437156 
95,l,l,0.4,0,0.55,0.3,2,0.25,0.998224323946 
96,l,l,0.01,0,0.3,0.3,1,0.0,1.24606381853 
97,r,l,0.2,0,0.1,0.3,1,-0.2,1.25181151382 
98,r,r,0.2,0.3,0.2,0,2,-0.1,1.28866127166 
99,r,l,0.2,0,0.4,0.3,1,0.1,1.45254994249 
100,l,r,0.65,0.3,0.6,0,2,0.35,1.57729225187 
101,r,l,0.01,0,0.5,0.3,1,0.2,1.12184926294 
102,l,l,0.7,0,0.01,0.3,2,-0.29,0.852669231058 
103,r,l,0.65,0,0.65,0.3,1,0.35,0.890619720329 
104,l,l,0.7,0,0.4,0.3,2,0.1,1.07937468215 
105,l,r,0.3,0.3,0.1,0,2,0.0,1.26820814575 
106,r,l,0.9,0,0.65,0.3,1,0.35,1.01710741432 
107,l,l,0.3,0,0.5,0.3,2,0.2,1.32093360798 
108,l,l,0.7,0,0.2,0.3,2,-0.1,0.837427087209 
109,l,l,0.1,0,0.55,0.3,1,0.25,1.2345381365 
110,r,r,0.4,0.3,0.1,0,1,0.1,1.98547631806 
111,l,l,0.4,0,0.7,0.3,1,0.4,0.840198541232 
112,r,r,0.4,0.3,0.4,0,2,0.1,0.837160437152 
113,l,l,0.01,0,0.01,0.3,2,-0.29,0.837246191811 
114,l,l,0.01,0,0.65,0.3,1,0.35,1.07672695376 
115,l,r,0.9,0.3,0.2,0,1,0.6,1.42555173096 
116,r,r,0.5,0.3,0.65,0,1,0.2,1.31138241628 
117,l,l,0.7,0,0.4,0.3,2,0.1,1.30721115613 
118,r,r,0.2,0.3,0.7,0,2,-0.1,1.11005522429 
119,l,l,0.55,0,0.5,0.3,2,0.2,0.840858980091 
120,r,r,0.4,0.3,0.65,0,2,0.1,1.11167219023 
121,l,l,0.1,0,0.1,0.3,2,-0.2,0.836488905651 
122,r,r,0.1,0.3,0.9,0,2,-0.2,1.26631770352 
123,l,l,0.01,0,0.55,0.3,1,0.25,1.17518823361 
124,l,l,0.55,0,0.55,0.3,2,0.25,1.73599980545 
