# Time : Tue Feb 21 18:37:40 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S06LN_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05869F58> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05B7C940> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,l,0.6,0,0.01,0.3,2,-0.29,0.837113080103 
1,l,l,0.3,0,0.01,0.3,2,-0.29,0.8371971282 
2,l,l,0.01,0,0.01,0.3,2,-0.29,0.837392102721 
3,l,r,0.9,0.3,0.9,0,1,0.6,0.83757342476 
4,r,l,0.6,0,0.2,0.3,2,-0.1,1.22001146809 
5,r,r,0.3,0.3,0.01,0,2,0.0,0.836067811882 
6,r,l,0.1,0,0.7,0.3,2,0.4,0.837046524249 
7,l,l,0.5,0,0.4,0.3,2,0.1,0.855516627018 
8,r,r,0.2,0.3,0.55,0,2,-0.1,1.05352882551 
9,r,r,0.7,0.3,0.1,0,1,0.4,0.83624529416 
10,l,r,0.3,0.3,0.4,0,2,0.0,0.882086065252 
11,l,l,0.65,0,0.9,0.3,1,0.6,0.836857096049 
12,r,l,0.4,0,0.55,0.3,2,0.25,0.901724308587 
13,l,l,0.7,0,0.3,0.3,2,0.0,1.42655220197 
14,r,r,0.3,0.3,0.7,0,2,0.0,0.8804136361 
15,r,r,0.3,0.3,0.6,0,2,0.0,0.917340189155 
16,r,r,0.5,0.3,0.7,0,1,0.2,0.835963711701 
17,l,l,0.5,0,0.6,0.3,1,0.3,1.09593898364 
18,l,l,0.55,0,0.1,0.3,2,-0.2,1.20484099977 
19,l,l,0.55,0,0.5,0.3,2,0.2,1.20363488824 
20,l,l,0.3,0,0.5,0.3,2,0.2,0.837799970647 
21,r,r,0.9,0.3,0.2,0,2,0.6,1.28927947315 
22,r,l,0.01,0,0.1,0.3,2,-0.2,0.893068207804 
23,l,r,0.55,0.3,0.6,0,1,0.25,0.836279425367 
24,l,l,0.1,0,0.7,0.3,2,0.4,1.03281374259 
25,r,r,0.2,0.3,0.1,0,2,-0.1,0.951587869086 
26,l,r,0.7,0.3,0.9,0,1,0.4,1.0974667818 
27,r,l,0.55,0,0.4,0.3,1,0.1,0.981314017345 
28,l,l,0.1,0,0.01,0.3,2,-0.29,0.89518348937 
29,l,l,0.65,0,0.55,0.3,2,0.25,0.837773945602 
30,r,l,0.65,0,0.65,0.3,1,0.35,0.836059279081 
31,l,l,0.9,0,0.5,0.3,1,0.2,1.75266735384 
32,l,l,0.9,0,0.2,0.3,2,-0.1,0.837839221535 
33,l,l,0.55,0,0.01,0.3,2,-0.29,0.959301521911 
34,r,l,0.55,0,0.01,0.3,2,-0.29,1.11317566991 
35,r,l,0.5,0,0.65,0.3,2,0.35,0.941009328059 
36,r,r,0.1,0.3,0.3,0,2,-0.2,0.836687293293 
37,l,l,0.65,0,0.01,0.3,2,-0.29,0.836808032438 
38,r,r,0.55,0.3,0.2,0,2,0.25,0.836753849147 
39,l,l,0.1,0,0.4,0.3,1,0.1,0.867413485923 
