# Time : Tue Feb 21 18:20:29 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : SO6LN_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05D69B98> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05D695F8> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,r,0.01,0.3,0.5,0,2,-0.29,0.836020454832 
1,l,l,0.1,0,0.4,0.3,2,0.1,0.836203910071 
2,r,r,0.9,0.3,0.6,0,2,0.6,0.837193288439 
3,r,r,0.4,0.3,0.5,0,2,0.1,0.836376272667 
4,l,l,0.4,0,0.6,0.3,2,0.3,0.837423247448 
5,l,l,0.65,0,0.55,0.3,2,0.25,0.858809008591 
6,r,r,0.55,0.3,0.55,0,2,0.25,1.28059265428 
7,l,l,0.9,0,0.1,0.3,2,-0.2,0.836852829648 
8,r,r,0.7,0.3,0.3,0,1,0.4,1.22727970866 
9,l,l,0.5,0,0.4,0.3,2,0.1,0.837141664989 
10,l,l,0.3,0,0.01,0.3,2,-0.29,0.837273496776 
11,r,r,0.5,0.3,0.1,0,2,0.2,0.903836177032 
12,l,l,0.5,0,0.2,0.3,2,-0.1,0.837254297972 
13,r,l,0.4,0,0.4,0.3,2,0.1,1.73047865605 
14,r,l,0.2,0,0.65,0.3,1,0.35,1.34830342302 
15,l,r,0.2,0.3,0.9,0,2,-0.1,1.18905702301 
16,l,l,0.6,0,0.4,0.3,2,0.1,0.837825995693 
17,l,r,0.55,0.3,0.2,0,2,0.25,1.0037970968 
18,l,r,0.55,0.3,0.4,0,2,0.25,0.836073358204 
19,r,l,0.65,0,0.2,0.3,2,-0.1,1.50646658384 
20,l,r,0.6,0.3,0.3,0,2,0.3,0.94130157652 
21,r,r,0.1,0.3,0.1,0,2,-0.2,0.837267950455 
22,l,l,0.55,0,0.2,0.3,2,-0.1,0.836900186698 
23,l,r,0.1,0.3,0.65,0,2,-0.2,0.836034107315 
24,r,r,0.2,0.3,0.7,0,2,-0.1,0.837014099602 
25,r,r,0.2,0.3,0.2,0,2,-0.1,0.837095587859 
26,l,l,0.1,0,0.6,0.3,2,0.3,1.14535414541 
27,r,r,0.5,0.3,0.6,0,2,0.2,0.836973142153 
28,r,r,0.3,0.3,0.4,0,2,0.0,0.836155273101 
29,r,r,0.6,0.3,0.2,0,2,0.3,0.836298624171 
30,r,r,0.01,0.3,0.4,0,2,-0.29,0.836401871073 
31,r,r,0.7,0.3,0.9,0,2,0.4,0.836521756938 
32,l,l,0.5,0,0.65,0.3,2,0.35,0.836642922724 
33,r,r,0.6,0.3,0.6,0,2,0.3,0.836823391482 
