# Time : Tue Feb 21 18:51:41 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S06LNn_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05B835F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05B83D50> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.5,0,0.55,0.3,2,0.25,1.1179911566 
1,l,r,0.7,0.3,0.6,0,2,0.4,0.920845464133 
2,l,r,0.1,0.3,0.1,0,2,-0.2,0.837520094748 
3,r,l,0.3,0,0.5,0.3,2,0.2,0.837217606925 
4,l,r,0.65,0.3,0.3,0,2,0.35,0.835973951063 
5,r,l,0.55,0,0.01,0.3,2,-0.29,1.08021217665 
6,r,l,0.55,0,0.65,0.3,2,0.35,0.836026854434 
7,r,l,0.2,0,0.2,0.3,2,-0.1,0.836000829388 
8,r,l,0.65,0,0.2,0.3,2,-0.1,0.836116875493 
9,r,l,0.1,0,0.65,0.3,1,0.35,0.905588814521 
10,l,r,0.6,0.3,0.55,0,1,0.3,1.03741377604 
11,r,l,0.9,0,0.65,0.3,1,0.35,0.837738107834 
12,l,r,0.3,0.3,0.65,0,2,0.0,1.18709277203 
13,r,l,0.1,0,0.3,0.3,1,0.0,1.3390137617 
14,r,l,0.65,0,0.5,0.3,2,0.2,0.83776711936 
