# Time : Tue Feb 21 18:56:02 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S06LNn_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05D49918> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05D458C8> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.9,0.3,0.7,0,1,0.6,1.26068946745 
1,l,r,0.4,0.3,0.1,0,1,0.1,1.00252997573 
2,r,l,0.5,0,0.7,0.3,2,0.4,1.12135393379 
3,l,r,0.4,0.3,0.5,0,1,0.1,0.860359418677 
4,r,l,0.7,0,0.2,0.3,2,-0.1,1.37911366375 
5,l,r,0.6,0.3,0.6,0,1,0.3,1.02686851294 
6,l,r,0.7,0.3,0.5,0,1,0.4,1.00175050429 
7,r,l,0.7,0,0.9,0.3,1,0.6,0.836415096916 
8,r,l,0.65,0,0.4,0.3,1,0.1,1.0564244318 
9,l,r,0.55,0.3,0.55,0,1,0.25,1.27833743477 
10,r,l,0.01,0,0.55,0.3,2,0.25,0.836178738306 
11,r,l,0.55,0,0.55,0.3,2,0.25,0.836251693761 
12,r,l,0.2,0,0.1,0.3,2,-0.2,0.836369019786 
13,l,r,0.65,0.3,0.4,0,1,0.35,1.07060936151 
14,l,r,0.01,0.3,0.55,0,2,-0.29,0.971523053924 
15,r,l,0.01,0,0.65,0.3,1,0.35,1.14025025001 
16,l,r,0.1,0.3,0.2,0,2,-0.2,0.846177475451 
17,l,r,0.55,0.3,0.2,0,2,0.25,0.836920238782 
18,l,r,0.65,0.3,0.6,0,1,0.35,0.837142091629 
19,l,r,0.01,0.3,0.5,0,2,-0.29,0.898607702731 
20,l,r,0.6,0.3,0.1,0,2,0.3,0.836465440446 
21,l,r,0.7,0.3,0.55,0,1,0.4,0.836587032872 
22,l,r,0.65,0.3,0.65,0,1,0.35,0.836680467051 
23,r,l,0.65,0,0.7,0.3,1,0.4,1.23611670484 
24,r,l,0.1,0,0.6,0.3,2,0.3,1.00881651746 
25,l,r,0.3,0.3,0.2,0,2,0.0,1.45763933212 
26,l,r,0.65,0.3,0.3,0,1,0.35,0.836084024206 
27,l,r,0.9,0.3,0.01,0,1,0.6,0.836140767338 
28,l,r,0.3,0.3,0.55,0,2,0.0,0.836249560561 
29,r,l,0.6,0,0.2,0.3,2,-0.1,1.36214576073 
30,l,r,0.01,0.3,0.5,0,2,-0.29,0.836447948202 
31,r,l,0.3,0,0.55,0.3,1,0.25,0.905674142539 
32,l,r,0.6,0.3,0.2,0,1,0.3,0.981503445545 
33,r,l,0.6,0,0.4,0.3,2,0.1,0.942357937383 
34,l,r,0.6,0.3,0.1,0,1,0.3,0.945263356395 
