# Time : Tue Feb 21 19:04:57 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S06LNn_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x054F75F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05923198> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.4,0.3,0.4,0,2,0.1,0.837021779123 
1,r,l,0.2,0,0.55,0.3,2,0.25,0.836180871506 
2,l,r,0.9,0.3,0.9,0,1,0.6,0.837191155239 
3,r,l,0.3,0,0.2,0.3,2,-0.1,0.883371531843 
4,l,r,0.01,0.3,0.01,0,2,-0.29,0.836229508476 
5,r,l,0.2,0,0.65,0.3,2,0.35,1.09605332318 
6,r,l,0.5,0,0.5,0.3,2,0.2,1.21985617109 
7,r,l,0.65,0,0.4,0.3,1,0.1,1.59466162321 
8,l,r,0.4,0.3,0.65,0,1,0.1,0.835969258022 
9,l,r,0.01,0.3,0.55,0,2,-0.29,0.836145887019 
10,l,r,0.6,0.3,0.01,0,2,0.3,1.27126630192 
11,r,l,0.4,0,0.65,0.3,2,0.35,1.81199549809 
12,r,l,0.65,0,0.3,0.3,1,0.0,1.31382365088 
13,r,l,0.1,0,0.7,0.3,1,0.4,0.836204336711 
14,r,l,0.1,0,0.2,0.3,2,-0.1,0.83634128818 
15,l,r,0.65,0.3,0.9,0,1,0.35,1.45831640994 
16,l,r,0.1,0.3,0.01,0,2,-0.2,1.1111312106 
17,l,r,0.01,0.3,0.65,0,2,-0.29,0.837026045524 
18,l,r,0.65,0.3,0.9,0,1,0.35,0.856825132173 
19,r,l,0.6,0,0.6,0.3,1,0.3,0.836780300832 
20,r,l,0.01,0,0.55,0.3,2,0.25,0.893510206938 
21,l,r,0.5,0.3,0.01,0,1,0.2,0.906390044609 
22,l,r,0.5,0.3,0.2,0,1,0.2,1.01422930028 
23,r,l,0.55,0,0.1,0.3,1,-0.2,0.886094348896 
24,l,r,0.6,0.3,0.5,0,1,0.3,1.04296223041 
25,l,r,0.3,0.3,0.4,0,2,0.0,0.848753101673 
26,l,r,0.2,0.3,0.55,0,2,-0.1,1.03960073314 
27,l,r,0.65,0.3,0.9,0,1,0.35,0.836568687348 
28,l,r,0.55,0.3,0.7,0,1,0.25,1.30123051535 
29,r,l,0.6,0,0.4,0.3,2,0.1,1.28107774406 
30,l,r,0.2,0.3,0.5,0,1,-0.1,1.35793951609 
31,l,r,0.9,0.3,0.7,0,1,0.6,0.837250458211 
32,l,r,0.3,0.3,0.6,0,2,0.0,0.837537160352 
33,r,l,0.65,0,0.5,0.3,1,0.2,0.836538395902 
34,l,r,0.1,0.3,0.55,0,2,-0.2,0.837613528928 
35,l,r,0.3,0.3,0.2,0,2,0.0,0.836797793076 
36,l,r,0.3,0.3,0.1,0,2,0.0,0.836811018919 
37,r,l,0.7,0,0.7,0.3,1,0.4,0.836974848713 
38,l,r,0.7,0.3,0.4,0,1,0.4,1.18165055105 
39,l,r,0.9,0.3,0.01,0,1,0.6,0.836278145447 
40,r,l,0.6,0,0.6,0.3,2,0.3,0.933371190531 
41,r,l,0.3,0,0.3,0.3,2,0.0,0.99216304819 
42,r,l,0.1,0,0.6,0.3,1,0.3,1.20901140665 
43,l,r,0.55,0.3,0.5,0,1,0.25,1.13577564875 
44,r,l,0.5,0,0.1,0.3,2,-0.2,0.905654943735 
45,r,l,0.9,0,0.7,0.3,1,0.4,0.837819169451 
46,l,r,0.01,0.3,0.01,0,2,-0.29,0.836896773577 
47,r,l,0.1,0,0.9,0.3,2,0.6,0.915249652715 
48,r,l,0.2,0,0.5,0.3,1,0.2,1.56702686467 
49,l,r,0.55,0.3,0.3,0,2,0.25,0.837224006526 
50,r,l,0.4,0,0.65,0.3,1,0.35,1.03065750358 
51,r,l,0.3,0,0.01,0.3,2,-0.29,0.837076389055 
52,l,r,0.2,0.3,0.55,0,1,-0.1,1.22043170857 
53,l,r,0.5,0.3,0.6,0,2,0.2,1.01921202989 
54,l,r,0.65,0.3,0.1,0,1,0.35,0.83638949851 
55,r,l,0.6,0,0.55,0.3,2,0.25,0.992840126012 
56,l,r,0.1,0.3,0.7,0,2,-0.2,0.835900995607 
57,l,r,0.9,0.3,0.7,0,1,0.6,0.836991914317 
58,r,l,0.7,0,0.3,0.3,1,0.0,1.45437809527 
59,r,l,0.55,0,0.7,0.3,2,0.4,0.837355838314 
60,l,r,0.7,0.3,0.3,0,2,0.4,0.83719627492 
61,l,r,0.4,0.3,0.3,0,2,0.1,1.17687047548 
62,l,r,0.4,0.3,0.6,0,1,0.1,0.929733230485 
63,l,r,0.2,0.3,0.9,0,2,-0.1,1.6445772338 
64,r,l,0.4,0,0.6,0.3,2,0.3,1.24133877954 
65,l,r,0.1,0.3,0.1,0,2,-0.2,0.836046479878 
66,l,r,0.5,0.3,0.2,0,1,0.2,1.01401726015 
67,l,r,0.01,0.3,0.4,0,2,-0.29,0.836319102895 
68,l,r,0.01,0.3,0.5,0,2,-0.29,0.836429176039 
69,l,r,0.6,0.3,0.5,0,1,0.3,0.836687293293 
70,l,r,0.2,0.3,0.65,0,2,-0.1,1.21038945414 
71,r,l,0.55,0,0.55,0.3,2,0.25,1.22518917222 
72,l,r,0.4,0.3,0.2,0,2,0.1,0.836517063897 
73,l,r,0.1,0.3,0.3,0,2,-0.2,1.31891816019 
74,r,l,0.65,0,0.9,0.3,1,0.6,0.836066105322 
