# Time : Tue Feb 21 19:00:29 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S06LNn_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x059D1968> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x059D1B98> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.01,0.3,0.7,0,2,-0.29,0.842281398151 
1,r,l,0.1,0,0.2,0.3,2,-0.1,0.99311360231 
2,r,l,0.1,0,0.2,0.3,2,-0.1,0.83638821859 
3,l,r,0.7,0.3,0.9,0,1,0.4,0.836598552154 
4,l,r,0.4,0.3,0.4,0,2,0.1,0.951677890145 
5,r,l,0.1,0,0.3,0.3,1,0.0,1.22550360596 
6,r,l,0.55,0,0.3,0.3,2,0.0,1.10332881664 
7,l,r,0.4,0.3,0.65,0,2,0.1,0.836321236096 
8,r,l,0.9,0,0.55,0.3,2,0.25,1.21803356463 
9,r,l,0.01,0,0.65,0.3,1,0.35,1.16885433483 
10,r,l,0.9,0,0.9,0.3,1,0.6,0.836139060777 
11,r,l,0.2,0,0.5,0.3,2,0.2,0.888538996611 
12,l,r,0.2,0.3,0.65,0,2,-0.1,1.13338731753 
13,l,r,0.65,0.3,0.4,0,1,0.35,0.984241621642 
14,l,r,0.4,0.3,0.5,0,2,0.1,0.837187315478 
15,r,l,0.2,0,0.5,0.3,2,0.2,0.836440695321 
16,l,r,0.9,0.3,0.2,0,1,0.6,1.46279314441 
17,r,l,0.55,0,0.65,0.3,1,0.35,1.13149218225 
18,r,l,0.4,0,0.5,0.3,2,0.2,0.837509428746 
19,l,r,0.1,0.3,0.2,0,1,-0.2,1.09327077652 
20,l,r,0.3,0.3,0.2,0,2,0.0,0.836354940663 
21,l,r,0.2,0.3,0.6,0,2,-0.1,0.836452641243 
22,l,r,0.6,0.3,0.1,0,2,0.3,0.836599405434 
23,r,l,0.01,0,0.3,0.3,1,0.0,0.941634782431 
24,l,r,0.1,0.3,0.01,0,2,-0.2,0.836965462631 
25,l,r,0.01,0.3,0.3,0,2,-0.29,0.837224006526 
26,r,l,0.6,0,0.1,0.3,2,-0.2,1.28515770324 
27,l,r,0.1,0.3,0.7,0,2,-0.2,1.14498339517 
28,l,r,0.6,0.3,0.6,0,2,0.3,1.24286700434 
29,l,r,0.01,0.3,0.01,0,2,-0.29,0.836060132361 
30,l,r,0.9,0.3,0.4,0,1,0.6,0.863466211811 
31,l,r,0.6,0.3,0.01,0,1,0.3,0.836916825661 
32,r,l,0.65,0,0.9,0.3,1,0.6,0.836278572087 
33,l,r,0.3,0.3,0.9,0,2,0.0,1.25905074287 
34,r,l,0.3,0,0.3,0.3,1,0.0,0.836834910764 
35,r,l,0.7,0,0.7,0.3,1,0.4,1.06263801807 
36,r,l,0.3,0,0.65,0.3,2,0.35,0.868525736637 
37,r,l,0.65,0,0.2,0.3,1,-0.1,1.2103199118 
38,r,l,0.7,0,0.7,0.3,1,0.4,0.836343848021 
39,l,r,0.7,0.3,0.7,0,1,0.4,0.836477813009 
40,r,l,0.2,0,0.9,0.3,1,0.6,0.83662585712 
41,r,l,0.55,0,0.6,0.3,2,0.3,0.836706492097 
42,r,l,0.9,0,0.9,0.3,1,0.6,0.836801206197 
43,l,r,0.7,0.3,0.6,0,2,0.4,1.28250357524 
44,r,l,0.1,0,0.1,0.3,2,-0.2,0.836279852007 
45,l,r,0.1,0.3,0.9,0,2,-0.2,1.31808194562 
46,l,r,0.4,0.3,0.55,0,2,0.1,1.36086498718 
47,r,l,0.4,0,0.01,0.3,2,-0.29,1.13775909853 
48,l,r,0.01,0.3,0.55,0,2,-0.29,1.31652044289 
49,l,r,0.2,0.3,0.5,0,2,-0.1,0.837600729725 
50,r,l,0.2,0,0.55,0.3,1,0.25,1.46218987532 
51,r,l,0.7,0,0.55,0.3,2,0.25,1.50701822948 
52,r,l,0.65,0,0.65,0.3,1,0.35,0.860788191968 
53,r,l,0.1,0,0.65,0.3,1,0.35,0.83686306901 
54,l,r,0.01,0.3,0.5,0,2,-0.29,1.5134941994 
55,l,r,0.6,0.3,0.5,0,2,0.3,1.38026900511 
56,l,r,0.6,0.3,0.6,0,2,0.3,0.836826377962 
57,r,l,0.65,0,0.5,0.3,1,0.2,0.955950264005 
58,l,r,0.4,0.3,0.55,0,2,0.1,0.836786700434 
59,l,r,0.5,0.3,0.1,0,2,0.2,0.836074638124 
60,r,l,0.3,0,0.7,0.3,2,0.4,0.946600873076 
61,l,r,0.01,0.3,0.3,0,2,-0.29,0.836511517576 
62,l,r,0.4,0.3,0.6,0,2,0.1,0.837442019612 
63,r,l,0.65,0,0.3,0.3,2,0.0,0.837557639076 
64,l,r,0.65,0.3,0.4,0,2,0.35,0.921900118435 
65,r,l,0.5,0,0.4,0.3,2,0.1,1.17272481373 
66,r,l,0.3,0,0.55,0.3,1,0.25,0.836550768464 
67,r,l,0.5,0,0.5,0.3,1,0.2,0.836677053931 
68,l,r,0.55,0.3,0.01,0,2,0.25,1.17926093991 
69,r,l,0.6,0,0.1,0.3,2,-0.2,1.28300999703 
70,l,r,0.55,0.3,0.4,0,2,0.25,0.839926344855 
71,l,r,0.2,0.3,0.5,0,2,-0.1,0.837505162345 
72,r,l,0.55,0,0.55,0.3,2,0.25,1.62962221873 
73,l,r,0.5,0.3,0.01,0,1,0.2,1.03556002485 
74,l,r,0.6,0.3,0.3,0,2,0.3,0.836277292167 
