# Time : Thu Feb 23 15:15:21 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S07GM_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05A3BAA8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05A37878> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.5,0.3,0.5,0,2,0.2,1.27620978494 
1,r,r,0.6,0.3,0.2,0,2,0.3,0.83723436526 
2,r,l,0.7,0,0.2,0.3,1,-0.1,0.999769184856 
3,r,r,0.5,0.3,0.3,0,2,0.2,0.835906644874 
4,l,r,0.65,0.3,0.3,0,2,0.35,0.942466445408 
5,r,r,0.1,0.3,0.55,0,2,-0.2,0.921295022286 
6,r,r,0.5,0.3,0.5,0,2,0.2,0.852139647855 
7,l,r,0.1,0.3,0.1,0,2,-0.2,0.906982350108 
8,l,l,0.9,0,0.55,0.3,2,0.25,0.836830332096 
9,l,r,0.2,0.3,0.7,0,2,-0.1,0.981682407748 
10,l,l,0.2,0,0.65,0.3,1,0.35,1.09451688172 
11,l,r,0.01,0.3,0.3,0,2,-0.29,1.10633111862 
12,r,r,0.6,0.3,0.65,0,2,0.3,1.34217385201 
13,r,r,0.4,0.3,0.4,0,2,0.1,0.864007642072 
14,l,l,0.9,0,0.3,0.3,2,0.0,1.26188346011 
15,r,r,0.4,0.3,0.2,0,2,0.1,0.978660478602 
16,l,r,0.7,0.3,0.1,0,2,0.4,0.940494490515 
17,r,l,0.3,0,0.7,0.3,2,0.4,0.92631791821 
18,l,l,0.2,0,0.3,0.3,2,0.0,0.835878912925 
19,l,l,0.4,0,0.6,0.3,2,0.3,0.836011172989 
20,r,r,0.7,0.3,0.3,0,2,0.4,0.836101195162 
21,l,l,0.7,0,0.7,0.3,2,0.4,0.885767835803 
22,r,r,0.9,0.3,0.01,0,1,0.6,1.16273662285 
23,l,r,0.3,0.3,0.55,0,2,0.0,0.916411639398 
24,r,r,0.6,0.3,0.6,0,2,0.3,0.872356238643 
25,r,r,0.1,0.3,0.4,0,2,-0.2,0.89321407742 
26,r,r,0.2,0.3,0.1,0,2,-0.1,0.836561118869 
27,r,l,0.4,0,0.2,0.3,2,-0.1,0.87278672382 
28,r,r,0.2,0.3,0.4,0,2,-0.1,0.836154952478 
29,l,r,0.4,0.3,0.55,0,1,0.1,0.932444972347 
30,l,l,0.01,0,0.3,0.3,2,0.0,0.836928887177 
31,l,l,0.5,0,0.3,0.3,1,0.0,0.836180124555 
32,l,l,0.1,0,0.6,0.3,2,0.3,0.844998457677 
33,r,r,0.9,0.3,0.7,0,1,0.6,0.837261243919 
34,r,l,0.3,0,0.55,0.3,1,0.25,1.15473488897 
35,r,r,0.55,0.3,0.4,0,2,0.25,0.836890062448 
36,l,r,0.4,0.3,0.55,0,2,0.1,0.931399264549 
37,r,l,0.65,0,0.5,0.3,2,0.2,0.958238244747 
38,r,l,0.1,0,0.3,0.3,2,0.0,0.896108866245 
39,r,r,0.1,0.3,0.1,0,2,-0.2,0.836844411394 
40,r,r,0.3,0.3,0.1,0,2,0.0,0.836927607241 
41,r,r,0.1,0.3,0.65,0,2,-0.2,1.12165792684 
42,l,l,0.6,0,0.9,0.3,1,0.6,1.25238761414 
43,l,l,0.2,0,0.7,0.3,1,0.4,2.11422064477 
44,l,r,0.55,0.3,0.2,0,2,0.25,1.11501292522 
45,r,l,0.7,0,0.5,0.3,2,0.2,1.07096605737 
46,l,l,0.55,0,0.7,0.3,1,0.4,0.971663067913 
47,l,l,0.2,0,0.5,0.3,1,0.2,1.2205048324 
48,l,l,0.3,0,0.4,0.3,2,0.1,1.63530481892 
49,r,r,0.6,0.3,0.2,0,2,0.3,0.857167663524 
50,r,l,0.9,0,0.01,0.3,2,-0.29,1.54308030276 
51,r,l,0.7,0,0.3,0.3,1,0.0,1.03351427363 
52,l,l,0.6,0,0.1,0.3,2,-0.2,0.836352915929 
53,l,l,0.1,0,0.6,0.3,1,0.3,2.11223887704 
54,l,l,0.4,0,0.01,0.3,2,-0.29,0.836000506855 
55,l,r,0.01,0.3,0.3,0,2,-0.29,1.16781839584 
56,r,r,0.9,0.3,0.3,0,1,0.6,0.961647994532 
57,r,r,0.4,0.3,0.2,0,2,0.1,0.836574771521 
58,l,r,0.2,0.3,0.4,0,1,-0.1,1.2343183295 
59,r,l,0.2,0,0.4,0.3,2,0.1,0.993195859663 
60,r,r,0.01,0.3,0.01,0,1,-0.29,1.05800585101 
61,l,r,0.9,0.3,0.01,0,1,0.6,1.25482333255 
62,r,l,0.2,0,0.3,0.3,2,0.0,0.972648192069 
63,l,l,0.01,0,0.7,0.3,1,0.4,0.836366141936 
64,r,r,0.01,0.3,0.2,0,2,-0.29,0.836502241808 
65,l,l,0.65,0,0.2,0.3,2,-0.1,0.875223722165 
66,r,r,0.7,0.3,0.01,0,1,0.4,1.00011348767 
67,r,r,0.2,0.3,0.4,0,2,-0.1,0.836835451841 
68,l,l,0.3,0,0.9,0.3,1,0.6,0.880722327675 
69,r,r,0.55,0.3,0.7,0,1,0.25,0.925569155588 
70,l,l,0.9,0,0.65,0.3,1,0.35,0.837125570692 
71,l,l,0.9,0,0.1,0.3,2,-0.2,0.847267357747 
72,r,r,0.9,0.3,0.1,0,1,0.6,1.3102283534 
73,r,r,0.1,0.3,0.01,0,2,-0.2,1.11303158413 
74,r,r,0.3,0.3,0.65,0,1,0.0,0.837299215357 
75,l,l,0.3,0,0.1,0.3,2,-0.2,0.843660924447 
76,l,r,0.7,0.3,0.65,0,1,0.4,1.47443135639 
77,r,r,0.55,0.3,0.6,0,1,0.25,0.934401568007 
78,r,r,0.3,0.3,0.5,0,2,0.0,1.07312104313 
79,r,r,0.1,0.3,0.55,0,2,-0.2,0.990031430964 
80,r,l,0.6,0,0.7,0.3,1,0.4,1.24574175924 
81,r,l,0.65,0,0.01,0.3,1,-0.29,0.955587070427 
82,r,r,0.55,0.3,0.7,0,1,0.25,0.853525818658 
83,l,r,0.9,0.3,0.9,0,1,0.6,1.1632993681 
84,r,r,0.6,0.3,0.65,0,1,0.3,0.836586290946 
85,l,l,0.4,0,0.1,0.3,2,-0.2,0.87602837533 
86,r,l,0.65,0,0.6,0.3,1,0.3,0.936770729738 
87,r,r,0.55,0.3,0.9,0,1,0.25,0.939611334602 
88,l,l,0.55,0,0.3,0.3,2,0.0,1.00646282404 
89,r,r,0.65,0.3,0.6,0,1,0.35,0.878320740895 
90,r,r,0.1,0.3,0.65,0,2,-0.2,0.90714703522 
91,l,l,0.3,0,0.1,0.3,2,-0.2,0.919010336337 
92,l,l,0.5,0,0.4,0.3,2,0.1,0.874918244081 
