# Time : Thu Feb 23 15:28:18 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S07GM_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05C735F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05C73B20> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,l,0.55,0,0.3,0.3,2,0.0,0.837433608648 
1,l,l,0.65,0,0.01,0.3,2,-0.29,0.837426355676 
2,r,r,0.1,0.3,0.4,0,2,-0.2,0.836698925323 
3,l,l,0.65,0,0.1,0.3,2,-0.2,0.836848251202 
4,l,r,0.1,0.3,0.2,0,2,-0.2,0.83586184711 
5,l,r,0.65,0.3,0.65,0,1,0.35,0.837033415292 
6,r,r,0.6,0.3,0.7,0,2,0.3,0.836077303021 
7,l,l,0.3,0,0.01,0.3,2,-0.29,0.873497088359 
8,l,l,0.4,0,0.5,0.3,1,0.2,0.895282027521 
9,l,l,0.01,0,0.5,0.3,1,0.2,0.891169592814 
10,r,l,0.6,0,0.01,0.3,2,-0.29,2.20806257352 
11,l,l,0.5,0,0.65,0.3,1,0.35,1.06977315692 
12,l,l,0.1,0,0.1,0.3,2,-0.2,0.83677102839 
13,l,l,0.5,0,0.5,0.3,2,0.2,0.960478559577 
14,r,l,0.6,0,0.6,0.3,2,0.3,0.922365475515 
15,l,l,0.4,0,0.4,0.3,2,0.1,0.837644798105 
16,l,l,0.5,0,0.01,0.3,2,-0.29,0.836673753246 
17,l,l,0.6,0,0.5,0.3,1,0.2,0.8377143413 
18,r,l,0.5,0,0.6,0.3,1,0.3,1.00970874201 
19,l,l,0.55,0,0.6,0.3,1,0.3,0.836042318101 
20,r,r,0.2,0.3,0.65,0,2,-0.1,0.837251857721 
21,l,l,0.4,0,0.4,0.3,1,0.1,0.895173232952 
22,r,r,0.55,0.3,0.01,0,2,0.25,0.932012780589 
23,r,r,0.01,0.3,0.9,0,2,-0.29,1.06284870259 
