# Time : Thu Feb 23 14:59:41 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S07GM_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05C925F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05946850> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,r,0.7,0.3,0.2,0,1,0.4,0.836715564492 
1,r,l,0.1,0,0.4,0.3,2,0.1,1.57375397154 
2,l,l,0.7,0,0.3,0.3,2,0.0,0.925644671818 
3,l,l,0.3,0,0.65,0.3,2,0.35,0.987464305782 
4,l,l,0.6,0,0.4,0.3,1,0.1,0.848339090913 
5,r,r,0.2,0.3,0.3,0,2,-0.1,0.86310784699 
6,r,l,0.9,0,0.65,0.3,2,0.35,1.21397715826 
7,l,l,0.6,0,0.9,0.3,1,0.6,1.35676085716 
8,l,l,0.3,0,0.65,0.3,1,0.35,0.837195967177 
9,r,l,0.6,0,0.5,0.3,2,0.2,1.22040457074 
10,r,r,0.2,0.3,0.7,0,2,-0.1,0.907243457073 
11,r,l,0.9,0,0.55,0.3,2,0.25,2.06311108949 
12,r,l,0.2,0,0.1,0.3,2,-0.2,1.00185761393 
13,r,l,0.7,0,0.4,0.3,2,0.1,1.01770578279 
14,l,l,0.65,0,0.55,0.3,1,0.25,1.64853253192 
15,r,r,0.7,0.3,0.7,0,1,0.4,1.15835326834 
16,r,r,0.55,0.3,0.3,0,1,0.25,0.836265880274 
17,l,l,0.5,0,0.01,0.3,2,-0.29,0.966036468793 
18,r,r,0.2,0.3,0.1,0,2,-0.1,0.911848240536 
19,r,l,0.55,0,0.4,0.3,2,0.1,1.57966898292 
20,r,r,0.65,0.3,0.6,0,1,0.35,1.09949071342 
21,r,l,0.65,0,0.4,0.3,2,0.1,1.30333077773 
22,l,l,0.01,0,0.3,0.3,2,0.0,1.29919786404 
23,r,l,0.55,0,0.6,0.3,2,0.3,1.26298463181 
24,l,r,0.9,0.3,0.55,0,2,0.6,1.16378190401 
25,l,l,0.7,0,0.6,0.3,1,0.3,1.10861025818 
26,l,l,0.2,0,0.7,0.3,2,0.4,1.70444824728 
27,l,l,0.2,0,0.7,0.3,1,0.4,1.74633927608 
28,l,l,0.4,0,0.6,0.3,1,0.3,0.955055470298 
29,r,r,0.4,0.3,0.4,0,2,0.1,1.68486607815 
30,r,r,0.3,0.3,0.3,0,2,0.0,1.11269112113 
31,r,r,0.6,0.3,0.01,0,2,0.3,1.66050036116 
32,l,r,0.1,0.3,0.1,0,2,-0.2,1.67231459806 
33,r,r,0.9,0.3,0.2,0,1,0.6,1.03615435517 
34,l,l,0.5,0,0.7,0.3,1,0.4,0.897975013087 
35,r,r,0.6,0.3,0.65,0,2,0.3,1.20677922425 
36,r,r,0.1,0.3,0.4,0,1,-0.2,1.07062431443 
37,r,l,0.01,0,0.65,0.3,1,0.35,1.01942900344 
38,l,l,0.65,0,0.01,0.3,2,-0.29,1.12227784256 
39,l,l,0.4,0,0.4,0.3,2,0.1,0.877120160828 
40,r,r,0.01,0.3,0.4,0,2,-0.29,0.921962295642 
41,r,r,0.9,0.3,0.65,0,1,0.6,1.39778622251 
42,r,l,0.65,0,0.55,0.3,2,0.25,0.868611145598 
43,l,r,0.6,0.3,0.65,0,1,0.3,1.59444115216 
44,r,r,0.6,0.3,0.3,0,1,0.3,1.09727898383 
45,r,l,0.1,0,0.2,0.3,2,-0.1,1.12510863458 
46,r,l,0.2,0,0.65,0.3,2,0.35,1.33591709769 
47,r,l,0.6,0,0.9,0.3,1,0.6,1.67373490049 
48,l,l,0.7,0,0.2,0.3,2,-0.1,1.20553384642 
49,l,l,0.5,0,0.7,0.3,1,0.4,0.972357646573 
50,l,l,0.4,0,0.5,0.3,1,0.2,1.32619384974 
51,r,r,0.9,0.3,0.7,0,1,0.6,0.837379424686 
52,l,l,0.3,0,0.2,0.3,2,-0.1,0.836442511457 
53,r,r,0.6,0.3,0.4,0,1,0.3,0.921279663053 
54,r,r,0.1,0.3,0.9,0,2,-0.2,0.837056027496 
55,r,r,0.4,0.3,0.4,0,2,0.1,1.09105550784 
56,l,l,0.55,0,0.2,0.3,2,-0.1,0.92682733278 
