# Time : Thu Feb 23 14:39:28 2012#
# audio_feedback : False 
# cue_reliability : 0.7 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S07GM_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05C095F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0598A940> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.7,0,0.2,0.3,2,-0.1,1.2514703266 
1,l,l,0.9,0,0.1,0.3,2,-0.2,1.14634192128 
2,l,r,0.6,0.3,0.4,0,2,0.3,1.10012940154 
3,l,l,0.01,0,0.7,0.3,2,0.4,1.03998691052 
4,l,r,0.7,0.3,0.55,0,2,0.4,0.950849600255 
5,r,l,0.4,0,0.9,0.3,2,0.6,0.944622284456 
6,r,l,0.65,0,0.5,0.3,1,0.2,1.19551791975 
7,l,l,0.5,0,0.1,0.3,2,-0.2,1.3872950129 
8,r,l,0.65,0,0.6,0.3,2,0.3,0.979119549019 
9,l,r,0.2,0.3,0.65,0,2,-0.1,0.836274413181 
10,r,r,0.1,0.3,0.4,0,2,-0.2,0.836375954779 
11,r,l,0.3,0,0.5,0.3,1,0.2,1.84162966585 
12,r,r,0.5,0.3,0.6,0,2,0.2,0.836768041873 
13,l,r,0.65,0.3,0.4,0,2,0.35,0.836890062448 
14,r,r,0.2,0.3,0.3,0,2,-0.1,0.907130396051 
15,l,r,0.3,0.3,0.7,0,2,0.0,0.839987507824 
16,r,r,0.7,0.3,0.55,0,2,0.4,0.836005199954 
17,l,l,0.4,0,0.5,0.3,1,0.2,0.964675896713 
18,l,r,0.3,0.3,0.55,0,2,0.0,2.04648002638 
19,l,r,0.55,0.3,0.6,0,2,0.25,1.29827375017 
20,l,l,0.1,0,0.7,0.3,1,0.4,1.09511930498 
21,r,l,0.7,0,0.01,0.3,2,-0.29,1.58694456639 
22,r,r,0.6,0.3,0.55,0,2,0.3,1.42578439818 
23,r,r,0.5,0.3,0.4,0,2,0.2,0.887561879578 
24,l,r,0.3,0.3,0.9,0,2,0.0,0.844414380167 
25,r,r,0.4,0.3,0.6,0,2,0.1,0.907247296882 
26,l,l,0.6,0,0.01,0.3,2,-0.29,1.10308306743 
27,l,l,0.9,0,0.65,0.3,1,0.35,1.59491003542 
28,l,l,0.01,0,0.5,0.3,1,0.2,1.61779273312 
29,r,r,0.7,0.3,0.2,0,1,0.4,2.01650520273 
30,r,r,0.1,0.3,0.9,0,2,-0.2,0.836009893053 
31,r,r,0.65,0.3,0.4,0,2,0.35,0.908158611389 
32,r,r,0.2,0.3,0.6,0,2,-0.1,1.44799768929 
33,r,l,0.65,0,0.01,0.3,2,-0.29,1.14179260171 
34,r,r,0.9,0.3,0.9,0,2,0.6,1.98363345702 
35,r,l,0.6,0,0.7,0.3,2,0.4,1.21440551021 
36,l,l,0.6,0,0.01,0.3,2,-0.29,1.30239215792 
37,r,r,0.6,0.3,0.3,0,2,0.3,1.86506572259 
38,r,l,0.4,0,0.5,0.3,2,0.2,1.19685033323 
39,r,r,0.4,0.3,0.55,0,2,0.1,1.19666346256 
40,l,l,0.4,0,0.6,0.3,1,0.3,1.37250663114 
41,l,l,0.2,0,0.2,0.3,2,-0.1,0.893302819657 
42,l,l,0.01,0,0.1,0.3,2,-0.2,1.44116325713 
43,r,r,0.9,0.3,0.6,0,1,0.6,1.78300304582 
44,l,r,0.3,0.3,0.9,0,2,0.0,1.99880325974 
45,l,l,0.9,0,0.01,0.3,2,-0.29,1.13252458437 
46,r,r,0.7,0.3,0.01,0,1,0.4,1.55934914396 
47,r,r,0.7,0.3,0.6,0,1,0.4,1.11223887704 
48,r,l,0.9,0,0.9,0.3,1,0.6,1.21899664102 
49,l,l,0.1,0,0.4,0.3,2,0.1,1.34598038199 
50,l,r,0.9,0.3,0.55,0,1,0.6,1.64363677632 
51,l,l,0.55,0,0.2,0.3,2,-0.1,2.09836692952 
52,r,r,0.6,0.3,0.1,0,2,0.3,0.964143443293 
53,l,r,0.9,0.3,0.5,0,2,0.6,1.20586918968 
54,r,r,0.1,0.3,0.01,0,2,-0.2,1.15786433275 
55,l,l,0.1,0,0.7,0.3,1,0.4,0.836150686024 
56,l,l,0.3,0,0.5,0.3,1,0.2,1.02938861292 
57,r,r,0.7,0.3,0.7,0,1,0.4,0.844226656205 
58,l,l,0.3,0,0.4,0.3,1,0.1,0.947061842673 
59,r,l,0.9,0,0.2,0.3,2,-0.1,1.03802562176 
60,l,r,0.01,0.3,0.01,0,2,-0.29,1.85170361629 
61,r,l,0.3,0,0.6,0.3,1,0.3,1.80851345234 
62,l,l,0.3,0,0.6,0.3,2,0.3,1.20632100712 
63,r,l,0.55,0,0.4,0.3,1,0.1,1.20612944335 
64,l,l,0.2,0,0.55,0.3,1,0.25,1.11695629488 
65,l,r,0.55,0.3,0.65,0,2,0.25,1.48078367928 
66,l,l,0.01,0,0.1,0.3,2,-0.2,1.18861650426 
67,r,r,0.1,0.3,0.3,0,2,-0.2,1.50839659418 
68,r,r,0.5,0.3,0.5,0,2,0.2,1.0792361512 
69,l,l,0.3,0,0.65,0.3,1,0.35,1.04416760849 
70,l,l,0.5,0,0.65,0.3,1,0.35,1.22594712072 
71,r,r,0.5,0.3,0.1,0,2,0.2,1.08871749122 
72,l,r,0.5,0.3,0.55,0,2,0.2,1.03760196291 
73,l,r,0.4,0.3,0.01,0,2,0.1,1.13138288137 
74,l,l,0.3,0,0.4,0.3,1,0.1,1.1582692192 
75,r,r,0.3,0.3,0.5,0,2,0.0,0.835946322893 
76,r,l,0.4,0,0.2,0.3,1,-0.1,1.39788264437 
77,l,l,0.55,0,0.9,0.3,1,0.6,0.941704883426 
78,r,r,0.01,0.3,0.2,0,2,-0.29,1.00856106596 
79,l,l,0.9,0,0.5,0.3,1,0.2,1.20839706349 
80,r,r,0.9,0.3,0.4,0,1,0.6,1.22325200193 
81,l,l,0.55,0,0.1,0.3,2,-0.2,1.42207855651 
82,l,l,0.7,0,0.6,0.3,1,0.3,1.3240597696 
83,l,l,0.1,0,0.9,0.3,1,0.6,1.06978808951 
84,l,r,0.9,0.3,0.55,0,2,0.6,1.33156147512 
85,l,l,0.55,0,0.1,0.3,1,-0.2,1.3013481567 
86,l,l,0.2,0,0.3,0.3,2,0.0,1.19318374293 
87,l,r,0.01,0.3,0.1,0,2,-0.29,0.929105192402 
88,l,l,0.1,0,0.55,0.3,2,0.25,1.74081421855 
89,r,r,0.01,0.3,0.6,0,2,-0.29,0.949622141529 
90,l,l,0.7,0,0.6,0.3,2,0.3,1.23146492527 
91,r,r,0.65,0.3,0.1,0,2,0.35,0.910328103088 
92,r,l,0.9,0,0.6,0.3,1,0.3,0.842235075625 
93,l,r,0.65,0.3,0.5,0,2,0.35,1.09700465086 
94,r,r,0.01,0.3,0.7,0,2,-0.29,1.31678119962 
95,r,l,0.55,0,0.9,0.3,1,0.6,1.43961581438 
96,l,r,0.7,0.3,0.65,0,2,0.4,1.18947107494 
97,r,l,0.65,0,0.4,0.3,2,0.1,1.03723504789 
98,r,l,0.7,0,0.1,0.3,1,-0.2,1.32418648328 
99,r,l,0.4,0,0.9,0.3,1,0.6,0.958005723021 
100,l,l,0.01,0,0.65,0.3,1,0.35,1.59981389729 
101,l,l,0.01,0,0.2,0.3,2,-0.1,0.899513069641 
102,r,r,0.01,0.3,0.3,0,2,-0.29,0.837900358681 
103,l,r,0.55,0.3,0.4,0,2,0.25,1.24632455681 
104,r,r,0.2,0.3,0.5,0,2,-0.1,0.852176766003 
105,l,l,0.1,0,0.2,0.3,2,-0.1,0.837148609541 
106,l,l,0.9,0,0.2,0.3,2,-0.1,1.35275124399 
107,r,r,0.3,0.3,0.5,0,2,0.0,0.89056844949 
108,l,l,0.55,0,0.01,0.3,2,-0.29,1.17439769407 
109,r,l,0.6,0,0.3,0.3,2,0.0,1.2232498687 
110,r,l,0.65,0,0.6,0.3,2,0.3,2.58203643807 
111,l,l,0.9,0,0.7,0.3,1,0.4,1.27578143299 
112,r,r,0.6,0.3,0.1,0,1,0.3,0.959626975421 
113,l,l,0.2,0,0.3,0.3,1,0.0,1.25746640061 
114,l,l,0.5,0,0.4,0.3,2,0.1,0.887290533123 
115,l,l,0.7,0,0.2,0.3,2,-0.1,0.931144557264 
116,r,r,0.2,0.3,0.01,0,2,-0.1,0.966984048156 
117,l,l,0.65,0,0.01,0.3,2,-0.29,1.09781101061 
118,l,r,0.01,0.3,0.6,0,2,-0.29,1.69363449377 
119,l,l,0.2,0,0.7,0.3,2,0.4,1.56844906302 
120,l,l,0.65,0,0.5,0.3,1,0.2,1.74522658496 
121,r,l,0.6,0,0.01,0.3,2,-0.29,1.95404432077 
122,r,r,0.3,0.3,0.6,0,1,0.0,1.44181261138 
123,r,r,0.4,0.3,0.3,0,2,0.1,2.03961359582 
124,l,l,0.7,0,0.65,0.3,1,0.35,1.25139011727 
125,l,l,0.2,0,0.9,0.3,1,0.6,1.41721778582 
126,l,l,0.1,0,0.01,0.3,2,-0.29,1.20803654815 
127,l,l,0.65,0,0.55,0.3,2,0.25,1.12685830723 
128,l,l,0.5,0,0.55,0.3,1,0.25,1.93774604105 
129,r,r,0.6,0.3,0.2,0,2,0.3,1.3385183545 
130,l,l,0.7,0,0.4,0.3,2,0.1,1.09230045903 
131,l,l,0.2,0,0.65,0.3,1,0.35,1.08014234596 
132,r,r,0.65,0.3,0.1,0,1,0.35,1.21297240842 
133,r,r,0.01,0.3,0.1,0,2,-0.29,0.940828127193 
134,r,l,0.9,0,0.3,0.3,2,0.0,1.47061800008 
135,l,l,0.6,0,0.5,0.3,1,0.2,1.81048156743 
136,r,r,0.65,0.3,0.3,0,1,0.35,1.88928424693 
137,l,l,0.65,0,0.3,0.3,2,0.0,1.23503082726 
138,r,r,0.01,0.3,0.7,0,2,-0.29,1.31285136913 
139,l,r,0.65,0.3,0.6,0,1,0.35,1.49964865754 
140,l,l,0.5,0,0.1,0.3,2,-0.2,1.18348396048 
141,r,r,0.6,0.3,0.01,0,1,0.3,1.15233884858 
142,l,l,0.2,0,0.4,0.3,1,0.1,1.2331203093 
143,r,r,0.65,0.3,0.9,0,1,0.35,1.09606347118 
144,r,r,0.6,0.3,0.2,0,1,0.3,1.08380765632 
145,l,l,0.5,0,0.6,0.3,1,0.3,1.22464926551 
146,l,l,0.5,0,0.5,0.3,1,0.2,1.02348128115 
147,l,l,0.7,0,0.4,0.3,1,0.1,1.24628701202 
148,r,r,0.2,0.3,0.2,0,2,-0.1,1.0441893674 
149,l,r,0.7,0.3,0.55,0,1,0.4,1.95505504365 
150,r,r,0.01,0.3,0.2,0,2,-0.29,1.14673571495 
151,l,r,0.55,0.3,0.7,0,2,0.25,0.971339670724 
152,l,l,0.2,0,0.5,0.3,1,0.2,1.47601591729 
153,r,r,0.7,0.3,0.3,0,2,0.4,1.22383309292 
154,l,r,0.55,0.3,0.6,0,1,0.25,1.5186284034 
155,r,l,0.01,0,0.55,0.3,2,0.25,1.91245493025 
156,r,r,0.4,0.3,0.2,0,2,0.1,1.06624607966 
157,r,r,0.7,0.3,0.3,0,1,0.4,1.4160824825 
158,r,l,0.7,0,0.2,0.3,1,-0.1,1.15889297473 
159,l,r,0.9,0.3,0.1,0,1,0.6,1.33671023143 
160,r,r,0.55,0.3,0.65,0,2,0.25,1.18654940745 
161,r,r,0.1,0.3,0.4,0,1,-0.2,2.48234520133 
162,l,r,0.01,0.3,0.1,0,2,-0.29,1.46813193752 
163,r,r,0.7,0.3,0.9,0,1,0.4,0.836206149922 
164,l,r,0.7,0.3,0.1,0,2,0.4,2.11178449972 
165,r,r,0.6,0.3,0.2,0,2,0.3,0.96154687958 
166,r,r,0.9,0.3,0.9,0,1,0.6,1.47540368118 
167,l,r,0.6,0.3,0.7,0,1,0.3,1.44718492986 
168,l,l,0.65,0,0.4,0.3,2,0.1,1.29207757949 
169,l,l,0.55,0,0.1,0.3,2,-0.2,1.15183156723 
170,r,r,0.55,0.3,0.5,0,2,0.25,1.10564720609 
171,r,l,0.2,0,0.4,0.3,2,0.1,0.845485260042 
172,l,r,0.65,0.3,0.65,0,1,0.35,1.21238747762 
173,l,l,0.4,0,0.6,0.3,1,0.3,1.13128304635 
174,r,r,0.3,0.3,0.5,0,2,0.0,1.4380982368 
175,l,r,0.5,0.3,0.3,0,2,0.2,0.842939467128 
176,l,l,0.5,0,0.3,0.3,2,0.0,1.48166726184 
177,r,r,0.1,0.3,0.4,0,2,-0.2,1.2704607386 
178,l,l,0.3,0,0.3,0.3,2,0.0,1.08231055772 
179,l,r,0.5,0.3,0.2,0,2,0.2,1.04712127437 
180,r,l,0.65,0,0.9,0.3,2,0.6,2.11811079724 
181,r,r,0.9,0.3,0.3,0,1,0.6,1.3508065944 
182,l,l,0.3,0,0.65,0.3,1,0.35,0.993613118833 
183,l,r,0.6,0.3,0.65,0,1,0.3,1.92138717769 
184,r,r,0.3,0.3,0.55,0,2,0.0,1.72219968113 
185,l,r,0.3,0.3,0.9,0,2,0.0,1.78000159565 
186,l,l,0.55,0,0.55,0.3,2,0.25,1.05983189319 
187,r,r,0.9,0.3,0.55,0,2,0.6,1.28866441654 
188,l,l,0.4,0,0.1,0.3,2,-0.2,1.14840560493 
189,l,r,0.65,0.3,0.65,0,1,0.35,0.959242567944 
190,r,l,0.1,0,0.7,0.3,2,0.4,1.9841552443 
191,r,l,0.01,0,0.4,0.3,2,0.1,1.33585480746 
192,l,r,0.5,0.3,0.7,0,1,0.2,1.2576562578 
193,r,l,0.6,0,0.65,0.3,1,0.35,1.32658209702 
194,r,l,0.1,0,0.4,0.3,1,0.1,1.17632271797 
195,r,l,0.7,0,0.3,0.3,2,0.0,1.12119160345 
196,l,l,0.3,0,0.55,0.3,1,0.25,1.10798650265 
197,r,l,0.01,0,0.2,0.3,2,-0.1,1.35979387909 
198,l,l,0.01,0,0.4,0.3,2,0.1,1.3766280254 
