# Time : Thu Feb 23 15:51:26 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S07GMn_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05F0DC38> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05F1B7D8> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.55,0.3,0.1,0,2,0.25,0.836894328902 
1,r,l,0.6,0,0.65,0.3,2,0.35,0.836000506855 
2,r,l,0.6,0,0.01,0.3,2,-0.29,0.836207003213 
3,r,l,0.6,0,0.6,0.3,1,0.3,0.84364215205 
4,r,l,0.01,0,0.01,0.3,2,-0.29,0.962481659582 
5,r,l,0.6,0,0.7,0.3,2,0.4,0.948368230791 
6,l,r,0.9,0.3,0.01,0,1,0.6,2.2551923808 
7,r,l,0.3,0,0.1,0.3,2,-0.2,1.33794451648 
8,r,l,0.3,0,0.3,0.3,2,0.0,0.836692098997 
9,r,l,0.3,0,0.65,0.3,2,0.35,0.914616315687 
10,l,r,0.2,0.3,0.55,0,1,-0.1,1.12645555401 
11,l,r,0.3,0.3,0.1,0,2,0.0,0.83682819887 
12,l,r,0.4,0.3,0.1,0,2,0.1,0.848146247206 
13,r,l,0.7,0,0.01,0.3,2,-0.29,1.50200629985 
14,l,r,0.01,0.3,0.01,0,2,-0.29,0.836250094395 
15,l,r,0.55,0.3,0.2,0,2,0.25,0.967626576081 
16,l,r,0.7,0.3,0.7,0,2,0.4,1.05644731548 
17,l,r,0.65,0.3,0.01,0,1,0.35,1.93428765369 
18,l,r,0.4,0.3,0.7,0,1,0.1,1.45508426886 
19,l,r,0.9,0.3,0.9,0,1,0.6,0.836358888964 
20,r,l,0.55,0,0.3,0.3,1,0.0,1.01072330469 
21,l,r,0.5,0.3,0.4,0,1,0.2,0.836497548709 
22,l,r,0.7,0.3,0.2,0,1,0.4,0.836587570882 
23,l,r,0.1,0.3,0.4,0,1,-0.2,1.0722668991 
24,r,l,0.3,0,0.4,0.3,2,0.1,0.836633648582 
25,r,l,0.5,0,0.2,0.3,2,-0.1,0.955948865699 
26,r,l,0.65,0,0.2,0.3,2,-0.1,0.836700205259 
27,l,r,0.7,0.3,0.1,0,1,0.4,0.860637570306 
28,l,r,0.65,0.3,0.7,0,1,0.35,0.890464774665 
29,r,l,0.2,0,0.9,0.3,1,0.6,0.895388262218 
30,l,r,0.1,0.3,0.01,0,2,-0.2,0.836221935801 
31,r,l,0.5,0,0.01,0.3,2,-0.29,0.93802890693 
32,l,r,0.5,0.3,0.1,0,1,0.2,0.916873696332 
33,l,r,0.4,0.3,0.5,0,2,0.1,0.837750606156 
34,r,l,0.65,0,0.2,0.3,1,-0.1,1.07257067061 
35,r,l,0.2,0,0.3,0.3,2,0.0,0.836879396314 
36,r,l,0.6,0,0.9,0.3,1,0.6,0.836007759826 
37,r,l,0.65,0,0.4,0.3,1,0.1,0.836067063532 
38,r,l,0.3,0,0.6,0.3,1,0.3,0.836175431456 
39,l,r,0.4,0.3,0.3,0,2,0.1,0.839751572935 
40,r,l,0.9,0,0.5,0.3,1,0.2,0.85468629406 
41,r,l,0.2,0,0.5,0.3,1,0.2,0.836231748644 
42,l,r,0.01,0.3,0.4,0,1,-0.29,0.915408169491 
