# Time : Thu Feb 23 15:55:40 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S07GMn_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05D89B98> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05D895F8> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,l,r,0.65,0.3,0.3,0,1,0.35,0.836359742255 
1,l,r,0.01,0.3,0.7,0,2,-0.29,0.899438406701 
2,l,r,0.2,0.3,0.4,0,2,-0.1,1.10426615503 
3,r,l,0.1,0,0.3,0.3,1,0.0,0.836922060851 
4,l,r,0.5,0.3,0.55,0,1,0.2,0.969974405544 
5,l,r,0.5,0.3,0.6,0,2,0.2,1.35577530636 
6,l,r,0.55,0.3,0.7,0,1,0.25,1.20458925357 
7,l,r,0.3,0.3,0.5,0,1,0.0,1.30743638611 
8,l,r,0.65,0.3,0.2,0,2,0.35,1.77426534867 
9,l,r,0.4,0.3,0.7,0,1,0.1,1.15803627083 
10,r,l,0.1,0,0.3,0.3,1,0.0,0.943870961962 
11,l,r,0.7,0.3,0.5,0,1,0.4,0.921692229124 
12,r,l,0.4,0,0.1,0.3,2,-0.2,0.981542041421 
13,r,l,0.4,0,0.65,0.3,1,0.35,0.886443642067 
14,l,r,0.2,0.3,0.1,0,2,-0.1,0.859231773817 
15,r,l,0.2,0,0.2,0.3,1,-0.1,0.849070361074 
16,r,l,0.1,0,0.01,0.3,2,-0.29,0.836723670754 
17,l,r,0.3,0.3,0.2,0,2,0.0,0.838789487629 
