# Time : Thu Feb 23 15:46:57 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S07GMn_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x05ACBAA8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x05AC7878> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.9,0,0.01,0.3,2,-0.29,1.25813367397 
1,l,r,0.4,0.3,0.5,0,1,0.1,1.00698205146 
2,l,r,0.6,0.3,0.55,0,2,0.3,0.990939758954 
3,l,r,0.5,0.3,0.65,0,1,0.2,1.06363202349 
4,r,l,0.7,0,0.1,0.3,2,-0.2,0.941479188026 
5,r,l,0.9,0,0.65,0.3,2,0.35,1.88730717229 
6,l,r,0.2,0.3,0.6,0,2,-0.1,0.946141995258 
7,r,l,0.6,0,0.4,0.3,2,0.1,1.12496101528 
8,r,l,0.55,0,0.3,0.3,2,0.0,0.975811340831 
9,r,l,0.9,0,0.4,0.3,1,0.1,0.896711289506 
10,l,r,0.01,0.3,0.6,0,2,-0.29,0.84548824656 
11,r,l,0.4,0,0.3,0.3,2,0.0,0.924281966511 
12,l,r,0.6,0.3,0.01,0,2,0.3,0.96728312656 
13,l,r,0.65,0.3,0.7,0,1,0.35,0.969991471359 
14,r,l,0.01,0,0.01,0.3,2,-0.29,0.836722817464 
15,l,r,0.5,0.3,0.2,0,2,0.2,0.897662708678 
16,r,l,0.4,0,0.2,0.3,2,-0.1,0.942521909306 
17,r,l,0.3,0,0.1,0.3,2,-0.2,0.864441540412 
18,r,l,0.1,0,0.9,0.3,1,0.6,0.836888355867 
