# Time : Thu Feb 23 15:42:09 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S07GMn_90_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0541B5F8> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0541BD50> 
# center_ori : 90 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.2,0,0.65,0.3,2,0.35,1.16235562854 
1,l,r,0.4,0.3,0.5,0,2,0.1,0.987101657219 
2,l,r,0.01,0.3,0.55,0,2,-0.29,0.891943954158 
3,r,l,0.2,0,0.55,0.3,1,0.25,1.16880224006 
4,l,r,0.5,0.3,0.7,0,2,0.2,0.977631409973 
5,r,l,0.9,0,0.4,0.3,1,0.1,0.836617862703 
6,l,r,0.3,0.3,0.01,0,2,0.0,0.83677102839 
7,l,r,0.01,0.3,0.3,0,2,-0.29,0.840166698878 
8,r,l,0.3,0,0.1,0.3,1,-0.2,0.835946322893 
9,r,l,0.01,0,0.7,0.3,2,0.4,0.836055970753 
10,l,r,0.4,0.3,0.6,0,2,0.1,0.836234308517 
11,r,l,0.6,0,0.55,0.3,1,0.25,1.9945372327 
12,r,l,0.65,0,0.6,0.3,2,0.3,1.44131898269 
13,l,r,0.5,0.3,0.01,0,2,0.2,1.16619842337 
14,l,r,0.7,0.3,0.2,0,2,0.4,0.92796220946 
