# Time : Tue May 29 17:12:54 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S013MGn_0_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0BA4D670> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0BA4D5F8> 
# center_ori : 0 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.3,0,0.5,0.3,2,0.2,0.863152204705 
1,r,l,0.4,0,0.01,0.3,2,-0.29,1.04602465297 
2,l,r,0.1,0.3,0.65,0,2,-0.2,0.931884349818 
3,r,l,0.6,0,0.4,0.3,2,0.1,0.950671019533 
4,r,l,0.3,0,0.1,0.3,2,-0.2,0.836877574773 
5,r,l,0.5,0,0.65,0.3,2,0.35,0.919395741108 
6,r,l,0.2,0,0.7,0.3,2,0.4,0.867200592518 
7,l,r,0.5,0.3,0.01,0,2,0.2,0.836875868213 
8,l,r,0.3,0.3,0.9,0,2,0.0,0.836933464625 
9,r,l,0.7,0,0.9,0.3,2,0.6,1.03875385256 
10,r,l,0.2,0,0.6,0.3,2,0.3,1.00560434422 
11,r,l,0.01,0,0.3,0.3,2,0.0,0.836777314352 
12,r,l,0.7,0,0.5,0.3,2,0.2,1.06829953206 
13,l,r,0.01,0.3,0.5,0,2,-0.29,0.836088290607 
14,r,l,0.4,0,0.2,0.3,2,-0.1,0.86397988648 
15,l,r,0.1,0.3,0.01,0,2,-0.2,0.909792925966 
16,l,r,0.01,0.3,0.4,0,2,-0.29,0.977637659691 
17,l,r,0.65,0.3,0.1,0,2,0.35,1.43548988522 
18,r,l,0.1,0,0.55,0.3,2,0.25,1.0903248267 
19,r,l,0.7,0,0.9,0.3,2,0.6,0.862112056166 
20,r,l,0.3,0,0.4,0.3,2,0.1,1.13197556547 
21,r,l,0.2,0,0.9,0.3,1,0.6,1.35879578275 
22,l,r,0.65,0.3,0.65,0,2,0.35,0.836185137907 
23,l,r,0.6,0.3,0.2,0,2,0.3,0.910462324267 
24,r,l,0.65,0,0.5,0.3,2,0.2,1.29029487656 
25,r,l,0.2,0,0.2,0.3,2,-0.1,1.0221281149 
26,l,r,0.9,0.3,0.55,0,1,0.6,0.837050364009 
27,l,r,0.3,0.3,0.1,0,2,0.0,0.836069091803 
28,r,l,0.65,0,0.65,0.3,2,0.35,0.954670770375 
29,l,r,0.01,0.3,0.7,0,2,-0.29,0.996647462174 
30,r,l,0.6,0,0.9,0.3,2,0.6,1.01345878827 
31,r,l,0.1,0,0.1,0.3,2,-0.2,0.949252441235 
32,r,l,0.7,0,0.5,0.3,2,0.2,0.836189830948 
33,r,l,0.5,0,0.3,0.3,2,0.0,1.02194892606 
34,r,l,0.3,0,0.3,0.3,2,0.0,0.852831354292 
35,l,r,0.7,0.3,0.5,0,1,0.4,1.06658315898 
36,r,l,0.1,0,0.5,0.3,2,0.2,0.992367835433 
37,l,r,0.55,0.3,0.1,0,1,0.25,0.865236341544 
38,r,l,0.01,0,0.6,0.3,2,0.3,0.855084867247 
39,r,l,0.4,0,0.4,0.3,2,0.1,0.83729312222 
40,r,l,0.9,0,0.01,0.3,2,-0.29,1.12381052743 
41,l,r,0.01,0.3,0.9,0,2,-0.29,0.836448801483 
42,l,r,0.2,0.3,0.55,0,2,-0.1,0.836475253168 
