# Time : Tue May 29 17:07:59 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S013MGn_0_90 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0BA7D210> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0BA7D468> 
# center_ori : 0 
# surr_ori : 90 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.4,0,0.5,0.3,2,0.2,1.55231674102 
1,r,l,0.5,0,0.5,0.3,1,0.2,1.40911414158 
2,l,r,0.1,0.3,0.1,0,2,-0.2,1.02391061719 
3,r,l,0.7,0,0.5,0.3,2,0.2,1.13474787277 
4,l,r,0.4,0.3,0.3,0,1,0.1,0.83724405861 
5,r,l,0.65,0,0.2,0.3,2,-0.1,1.01546527662 
6,r,l,0.6,0,0.55,0.3,1,0.25,1.047297747 
7,l,r,0.6,0.3,0.4,0,1,0.3,0.958095837017 
8,r,l,0.2,0,0.6,0.3,1,0.3,1.2399176414 
9,l,r,0.01,0.3,0.6,0,2,-0.29,1.11774285207 
10,r,l,0.1,0,0.55,0.3,1,0.25,1.02465297095 
11,r,l,0.6,0,0.1,0.3,2,-0.2,1.00843851434 
12,r,l,0.9,0,0.1,0.3,2,-0.2,1.39127418623 
13,r,l,0.5,0,0.7,0.3,1,0.4,0.87110776246 
14,r,l,0.55,0,0.6,0.3,1,0.3,1.12491040558 
15,l,r,0.55,0.3,0.1,0,1,0.25,1.33575167158 
16,l,r,0.55,0.3,0.6,0,1,0.25,1.104682119 
17,r,l,0.3,0,0.3,0.3,1,0.0,0.980382662029 
18,l,r,0.3,0.3,0.2,0,1,0.0,0.861222511579 
19,r,l,0.7,0,0.4,0.3,2,0.1,1.02011821344 
20,l,r,0.3,0.3,0.5,0,2,0.0,1.16290227894 
21,r,l,0.65,0,0.55,0.3,2,0.25,0.907824835232 
22,r,l,0.01,0,0.9,0.3,1,0.6,0.895577704813 
23,l,r,0.2,0.3,0.1,0,2,-0.1,0.836618177598 
24,r,l,0.2,0,0.4,0.3,1,0.1,1.37927962674 
25,l,r,0.65,0.3,0.65,0,1,0.35,1.38707178134 
26,l,r,0.7,0.3,0.2,0,1,0.4,1.12293079556 
27,l,r,0.65,0.3,0.3,0,1,0.35,0.85381731954 
28,l,r,0.65,0.3,0.65,0,1,0.35,1.50756304887 
29,l,r,0.7,0.3,0.4,0,1,0.4,1.11037648428 
30,r,l,0.4,0,0.4,0.3,2,0.1,1.13823138911 
31,r,l,0.01,0,0.3,0.3,1,0.0,1.10005563387 
32,l,r,0.5,0.3,0.5,0,1,0.2,1.07188117562 
33,l,r,0.6,0.3,0.7,0,2,0.3,1.00484193838 
34,r,l,0.6,0,0.7,0.3,1,0.4,0.940578421568 
35,l,r,0.2,0.3,0.1,0,2,-0.1,0.959397089291 
36,r,l,0.55,0,0.9,0.3,1,0.6,0.889289456529 
37,r,l,0.55,0,0.01,0.3,2,-0.29,0.836853256288 
38,r,l,0.7,0,0.6,0.3,1,0.3,1.03591370948 
39,l,r,0.65,0.3,0.55,0,1,0.35,1.21872941462 
40,r,l,0.55,0,0.65,0.3,1,0.35,1.07374559281 
41,r,l,0.6,0,0.55,0.3,1,0.25,1.06243237755 
42,r,l,0.55,0,0.7,0.3,1,0.4,1.13226824057 
43,l,r,0.6,0.3,0.5,0,2,0.3,1.10210819934 
44,l,r,0.5,0.3,0.65,0,1,0.2,1.15391681201 
45,l,r,0.01,0.3,0.5,0,2,-0.29,0.836782434033 
46,l,r,0.5,0.3,0.9,0,2,0.2,1.02661295552 
47,l,r,0.1,0.3,0.3,0,2,-0.2,1.03344047688 
48,r,l,0.9,0,0.5,0.3,2,0.2,1.88028052439 
49,r,l,0.01,0,0.1,0.3,1,-0.2,1.01903113449 
50,l,r,0.4,0.3,0.01,0,2,0.1,1.31387442105 
51,r,l,0.01,0,0.2,0.3,1,-0.1,1.33368033394 
52,r,l,0.55,0,0.9,0.3,1,0.6,1.1435119135 
53,l,r,0.3,0.3,0.4,0,2,0.0,0.836256813442 
54,l,r,0.2,0.3,0.2,0,2,-0.1,0.836595139033 
55,l,r,0.9,0.3,0.9,0,1,0.6,1.01501474468 
56,l,r,0.3,0.3,0.4,0,2,0.0,0.870882496493 
57,l,r,0.4,0.3,0.65,0,2,0.1,1.09970365579 
58,l,r,0.01,0.3,0.7,0,2,-0.29,0.837138678508 
59,r,l,0.9,0,0.01,0.3,2,-0.29,0.951450490977 
60,r,l,0.5,0,0.9,0.3,1,0.6,1.0014164451 
61,l,r,0.3,0.3,0.4,0,2,0.0,0.921097608426 
62,l,r,0.6,0.3,0.2,0,1,0.3,0.972934805981 
63,l,r,0.9,0.3,0.01,0,1,0.6,1.66995549291 
64,l,r,0.1,0.3,0.01,0,1,-0.2,2.02562741692 
65,l,r,0.65,0.3,0.7,0,2,0.35,0.894363487117 
66,r,l,0.1,0,0.01,0.3,2,-0.29,0.978281459587 
67,r,l,0.9,0,0.55,0.3,2,0.25,1.08409758795 
68,l,r,0.01,0.3,0.3,0,2,-0.29,0.836078904525 
69,l,r,0.4,0.3,0.6,0,2,0.1,1.215785598 
70,r,l,0.2,0,0.65,0.3,1,0.35,0.919536105698 
71,l,r,0.1,0.3,0.3,0,2,-0.2,0.898430647094 
72,l,r,0.2,0.3,0.65,0,2,-0.1,0.83743306017 
73,l,r,0.2,0.3,0.3,0,2,-0.1,0.966159761355 
74,l,r,0.7,0.3,0.1,0,1,0.4,0.836664681368 
