# Time : Tue May 29 16:53:01 2012#
# audio_feedback : False 
# cue_reliability : False 
# iti : 0.2 
# center_size : 3 
# rgb : [ 1.  1.  1.] 
# div_color : -1 
# cue_to_stim : 0.3 
# subject : S013MGn_90_0 
# surr_contrast : 1 
# monitor : ESI_psychophys 
# refresh_rate : 60 
# res : 128 
# cue_dur : 0.5 
# full_screen : True 
# center_comparison : [-0.29 -0.2  -0.1   0.    0.1   0.2   0.25  0.3   0.35  0.4   0.6 ] 
# temporal_freq : 4 
# incorrect_sound : <psychopy.sound.SoundPygame instance at 0x0BA3D7B0> 
# ecc : 6 
# stim_dur : 0.38 
# stim_to_stim : 0.4 
# fixation_size : 0.25 
# correct_sound : <psychopy.sound.SoundPygame instance at 0x0BA3D738> 
# center_ori : 90 
# surr_ori : 0 
# surround_w_target : False 
# surr_size : 8 
# screen_number : 0 
# center_contrast : [ 0.3] 
# sf : 2 
trial,cue_side,ask_side,r_contrast1,r_contrast2,l_contrast1,l_contrast2,answer,ask_contrast,rt 
0,r,l,0.9,0,0.6,0.3,2,0.3,1.01810105909 
1,l,r,0.3,0.3,0.3,0,1,0.0,1.18496213143 
2,l,r,0.9,0.3,0.9,0,1,0.6,1.152750378 
3,r,l,0.55,0,0.5,0.3,2,0.2,1.05857896425 
4,r,l,0.1,0,0.7,0.3,1,0.4,1.10443381447 
5,r,l,0.01,0,0.1,0.3,2,-0.2,1.20323384655 
6,r,l,0.5,0,0.01,0.3,2,-0.29,1.03511077283 
7,l,r,0.01,0.3,0.2,0,2,-0.29,1.05696754464 
8,l,r,0.7,0.3,0.6,0,1,0.4,0.934762037224 
9,r,l,0.2,0,0.55,0.3,1,0.25,1.01760828979 
10,r,l,0.5,0,0.1,0.3,2,-0.2,0.985473758221 
11,l,r,0.01,0.3,0.3,0,2,-0.29,0.962221873325 
12,l,r,0.7,0.3,0.4,0,1,0.4,0.916121278418 
13,l,r,0.55,0.3,0.5,0,1,0.25,1.13590193422 
14,r,l,0.3,0,0.55,0.3,2,0.25,0.905723206149 
15,r,l,0.6,0,0.55,0.3,2,0.25,0.836299050811 
16,r,l,0.1,0,0.65,0.3,1,0.35,0.932414236809 
17,l,r,0.6,0.3,0.01,0,1,0.3,0.903331888446 
18,l,r,0.65,0.3,0.7,0,1,0.35,1.05912165045 
19,l,r,0.5,0.3,0.55,0,1,0.2,1.16096490629 
